,Star Name,Star RA,Star Dec,Planet Name,Transit Mid Time,Transit Duration [hrs],Planet Period [days],Priority,Immediate Followup,Transit Observations,Phase Curve Observations,Known,Observe Transit,Observe Phase Curve
0,55Cnc,133.1468373,28.3298154,55Cnce,2455568.027,1.596,0.73654625,28,0,1,1,1,0,1
1,AUMic,311.2911369,-31.34245,AUMicb,2458525.041,3.4927,8.463,76,0,1,1,1,1,0
2,CoRoT-2,291.7770457,1.3836634,CoRoT-2b,2454237.536,2.26704,1.74299705,75,0,2,1,1,0,1
3,DSTucA,354.9154673,-69.196043,DSTucAb,2458332.31,3.1764,8.138268,26,0,1,1,1,1,0
4,EPIC211945201,136.5741931,19.4020565,EPIC211945201b,2458113.94,3.91,19.4921498,10,0,1,7,1,1,0
5,G9-40,134.7188514,21.0747961,G9-40b,2458497.777,1.3368,5.7459996,10,0,2,287,1,1,0
6,GJ1252,306.9286462,-56.4622865,GJ1252b,2458668.097,0.724,0.5182464,10,0,1,18,1,1,0
7,GJ3090,20.4384281,-46.7147234,GJ3090b,2458370.418,1.281,2.853136,15,0,1,21,1,1,0
8,GJ3473,120.5936065,3.3371629,GJ3473b,2458492.204,0.95,1.1980035,10,0,2,113,1,1,0
9,GJ357,144.0074644,-21.6650634,GJ357b,2459272.676,1.291,3.930623,13,0,1,145,1,1,0
10,GJ367,146.121464,-45.7790165,GJ367b,2458544.136,0.629,0.321962,10,0,1,15,1,1,0
11,GJ3929,239.5775678,35.4081141,GJ3929b,2458956.396,1.19,2.616235,10,0,2,268,1,1,0
12,GJ806,311.2697002,44.5002351,GJ806b,2459445.574,0.93,0.9263237,17,0,1,8,1,1,0
13,GJ9827,351.7717763,-1.2853435,GJ9827b,2457738.826,1.25976,1.2089749,10,0,1,10,1,1,0
14,GJ9827,351.7717763,-1.2853435,GJ9827c,2457742.199,1.8264,3.6481145,10,0,3,121,1,1,0
15,GJ9827,351.7717763,-1.2853435,GJ9827d,2457740.961,1.2264,6.20147,10,0,2,42,1,1,0
16,GPX-1,38.3691648,56.025708,GPX-1b,2458770.238,2.09,1.744579,36,0,421,1,1,0,1
17,HAT-P-11,297.7101763,48.0818635,HAT-P-11b,2454605.891,2.2968,4.88780201,20,0,1,1,1,1,0
18,HAT-P-12,209.3886452,43.49331,HAT-P-12b,2454419.196,2.3376,3.21305762,27,0,1,1,1,1,0
19,HAT-P-13,129.8823772,47.3519076,HAT-P-13b,2454779.93,3.228,2.91624268,44,0,1,1,1,1,0
20,HAT-P-17,324.5359781,30.4881882,HAT-P-17b,2454801.169,4.056,10.33853522,21,0,1,1,1,1,0
21,HAT-P-18,256.346376,33.0123251,HAT-P-18b,2454715.022,2.7144,5.50802941,27,0,1,1,1,1,0
22,HAT-P-19,9.5165832,34.7114025,HAT-P-19b,2455091.534,2.8368,4.00878423,24,0,1,1,1,1,0
23,HAT-P-1,344.4453632,38.674919,HAT-P-1b,2453979.932,2.85,4.46529913,58,0,1,1,1,1,0
24,HAT-P-22,155.6814593,50.1287115,HAT-P-22b,2454930.22,2.8704,3.21223218,72,0,1,1,1,1,0
25,HAT-P-23,306.1239076,16.7621462,HAT-P-23b,2454852.265,2.1792,1.212886397,53,0,3,1,1,0,1
26,HAT-P-24,108.8251171,14.2626064,HAT-P-24b,2455216.977,3.6936,3.35524439,28,0,1,1,1,1,0
27,HAT-P-25,48.4354731,25.1973548,HAT-P-25b,2450000.0,2.81304,3.65281524,19,0,1,1,1,1,0
28,HAT-P-26,213.1565508,4.0594175,HAT-P-26b,2455304.651,2.4552,4.2345002,21,0,1,2,1,1,0
29,HAT-P-27,222.7673221,5.9473626,HAT-P-27b,2455407.909,1.68,3.03957804,23,0,1,1,1,1,0
30,HAT-P-28,13.0009159,34.728402,HAT-P-28b,2455417.598,3.2184,3.25721296,21,0,1,1,1,1,0
31,HAT-P-29,33.1310921,51.7787754,HAT-P-29b,2456170.549,3.8928,5.7233685,18,0,2,1,1,1,0
32,HAT-P-30,123.9498431,5.8368669,HAT-P-30b,2455456.466,2.1288,2.81060097,63,0,1,1,1,1,0
33,HAT-P-32,31.0427614,46.6878512,HAT-P-32b,2455867.403,3.12048,2.150008197,119,0,1,1,1,1,0
34,HAT-P-35,123.250703,4.7870288,HAT-P-35b,2455578.661,3.936,3.6466584,23,0,2,1,1,1,0
35,HAT-P-36,188.2662048,44.9153672,HAT-P-36b,2456698.736,2.23248,1.327346813,55,0,2,1,1,0,1
36,HAT-P-37,284.2960393,51.2691212,HAT-P-37b,2455642.143,2.3304,2.79744256,19,0,3,1,1,1,0
37,HAT-P-38,35.3834942,32.2460441,HAT-P-38b,2455863.12,3.0408,4.64032787,10,0,1,1,1,1,0
38,HAT-P-39,113.7582526,17.8300283,HAT-P-39b,2455208.75,4.188,3.5438737,27,0,1,1,1,1,0
39,HAT-P-3,206.0940142,48.028565,HAT-P-3b,2454856.701,2.075,2.89973815,21,0,1,1,1,1,0
40,HAT-P-40,335.5129199,45.4573423,HAT-P-40b,2455813.176,6.1368,4.4572184,44,0,1,1,1,1,0
41,HAT-P-41,297.3226523,4.6724124,HAT-P-41b,2454983.862,4.0896,2.69404968,72,0,1,1,1,1,0
42,HAT-P-43,128.9256885,10.2065866,HAT-P-43b,2455997.371,3.2496,3.33268054,17,0,1,1,1,1,0
43,HAT-P-44,213.1438604,47.0147826,HAT-P-44b,2455696.937,3.1248,4.30119043,17,0,1,1,1,1,0
44,HAT-P-45,274.3732697,-3.3810594,HAT-P-45b,2455729.986,3.4464,3.12899506,52,0,1,1,1,1,0
45,HAT-P-46,270.4441831,-2.97098,HAT-P-46b,2455701.336,3.0984,4.46313574,33,0,1,1,1,1,0
46,HAT-P-49,305.4413294,26.6926759,HAT-P-49b,2456399.624,4.1088,2.69155536,57,0,1,1,1,1,0
47,HAT-P-4,229.99122,36.229545,HAT-P-4b,2454248.872,4.224,3.05652301,36,0,1,1,1,1,0
48,HAT-P-51,21.0651251,32.8107,HAT-P-51b,2456194.122,3.3672,4.21802122,17,0,1,1,1,1,0
49,HAT-P-55,264.2735096,25.7311468,HAT-P-55b,2456730.835,2.9352,3.58523207,15,0,2,1,1,1,0
50,HAT-P-56,100.8480137,27.2521823,HAT-P-56b,2456553.616,2.27112,2.790825,58,0,2,1,1,1,0
51,HAT-P-58,68.8465093,56.8682691,HAT-P-58b,2457369.031,4.15,4.0138379,25,0,1,1,1,1,0
52,HAT-P-5,274.4055335,36.6214617,HAT-P-5b,2454241.777,2.9208,2.78847323,36,0,1,1,1,1,0
53,HAT-P-60,28.2825719,52.0539209,HAT-P-60b,2458360.94,5.035,4.7947813,80,0,1,1,1,1,0
54,HAT-P-61,75.4801665,50.1311784,HAT-P-61b,2457851.211,1.658,1.90231289,16,0,10,1,1,0,1
55,HAT-P-62,74.5043816,48.3008551,HAT-P-62b,2457118.39,3.103,2.64532306,22,0,2,1,1,1,0
56,HAT-P-64,68.9743955,2.4312732,HAT-P-64b,2457751.464,4.925,4.007232,35,0,1,1,1,1,0
57,HAT-P-65,315.9054895,11.9893675,HAT-P-65b,2456409.333,4.3656,2.60544724,40,0,1,1,1,1,0
58,HAT-P-67,256.6107279,44.7768849,HAT-P-67b,2455961.385,6.9888,4.8101042,90,0,1,1,1,1,0
59,HAT-P-68,118.4831501,23.9382192,HAT-P-68b,2456614.204,2.0868,2.29840555,20,0,1,1,1,1,0
60,HAT-P-6,354.7740917,42.4659866,HAT-P-6b,2454035.676,3.5064,3.85299668,49,0,1,1,1,1,0
61,HAT-P-8,343.0414932,35.4471778,HAT-P-8b,2454437.676,3.8088,3.07634347,75,0,1,1,1,1,0
62,HAT-P-9,110.1685157,37.1405946,HAT-P-9b,2455484.913,3.36,3.92281131,28,0,1,1,1,1,0
63,HATS-13,316.9614798,-26.0967205,HATS-13b,2456340.317,2.63472,3.04405362,17,0,1,1,1,1,0
64,HATS-1,175.5252399,-23.3548451,HATS-1b,2455241.287,2.4168,3.4464563,35,0,3,1,1,1,0
65,HATS-25,207.9076746,-23.7812403,HATS-25b,2456870.369,3.204,4.29864716,17,0,1,1,1,1,0
66,HATS-26,144.9268593,-28.5856004,HATS-26b,2456867.423,5.2152,3.3023928,29,0,1,1,1,1,0
67,HATS-27,193.5524603,-46.5877159,HATS-27b,2457029.337,4.8312,4.6370496,19,0,1,1,1,1,0
68,HATS-29,285.0965172,-54.8933408,HATS-29b,2457031.956,3.2112,4.6058787,20,0,1,1,1,1,0
69,HATS-2,176.7388264,-22.5630097,HATS-2b,2455954.586,2.0688,1.354133683,30,0,3,1,1,0,1
70,HATS-30,5.618525,-59.9425892,HATS-30b,2456629.762,2.7504,3.17435131,25,0,1,1,1,1,0
71,HATS-31,191.7028214,-24.4273897,HATS-31b,2456960.148,4.5936,3.3779344,27,0,1,1,1,1,0
72,HATS-35,296.688442,-63.5656488,HATS-35b,2456981.802,3.1176,1.82100088,41,0,1,1,1,0,1
73,HATS-37A,199.80183,-22.9868431,HATS-37Ab,2458006.801,2.9136,4.3315366,11,0,1,3,1,1,0
74,HATS-38,154.2710615,-25.2762982,HATS-38b,2457725.16,3.216,4.375021,10,0,1,3,1,1,0
75,HATS-39,112.4192251,-29.9379163,HATS-39b,2457315.283,3.732,4.5776335,20,0,1,1,1,1,0
76,HATS-3,312.4574879,-24.4286938,HATS-3b,2456155.967,3.5856,3.54785091,35,0,1,1,1,1,0
77,HATS-51,102.8474248,-29.0586551,HATS-51b,2457042.004,3.3216,3.34886782,32,0,1,1,1,1,0
78,HATS-52,140.0875894,-31.2692116,HATS-52b,2456929.03,2.0904,1.36665617,33,0,5,1,1,0,1
79,HATS-56,180.165072,-45.7994559,HATS-56b,2457788.003,4.6416,4.3247662,39,0,1,1,1,1,0
80,HATS-5,67.2228465,-21.4820568,HATS-5b,2456273.791,2.9856,4.76338959,13,0,1,1,1,1,0
81,HATS-60,341.3640336,-14.9917747,HATS-60b,2458015.724,3.8592,3.5608104,17,0,2,1,1,1,0
82,HATS-65,292.9397825,-26.7402021,HATS-65b,2457520.961,2.8848,3.10515933,33,0,1,1,1,1,0
83,HATS-70,109.1045212,-31.2443947,HATS-70b,2456911.875,3.624,1.88823968,18,0,615,1,1,0,1
84,HATS-72,339.0258401,-17.0003046,HATS-72b,2458087.648,3.08472,7.3279496,19,0,1,3,1,1,0
85,HATS-7,208.8567465,-21.2078587,HATS-7b,2456528.297,2.2992,3.1853109,10,0,2,4,1,1,0
86,HATS-9,290.8101704,-20.1663771,HATS-9b,2456124.259,3.4968,1.915311,14,0,7,1,1,0,1
87,HD106315,183.4724742,-0.3934357,HD106315c,2457569.017,4.638,21.056614,10,0,1,9,1,1,0
88,HD108236,186.5740627,-51.3630519,HD108236d,2458571.337,3.734,14.175876,10,0,2,32,1,1,0
89,HD108236,186.5740627,-51.3630519,HD108236e,2458586.568,4.013,19.590186,10,0,1,30,1,1,0
90,HD110067,189.8392243,20.0273377,HD110067b,2459640.158,3.0948,9.113678,11,0,1,16,1,1,0
91,HD110067,189.8392243,20.0273377,HD110067c,2459657.457,3.7044,13.673694,10,0,1,21,1,1,0
92,HD110067,189.8392243,20.0273377,HD110067d,2459708.203,3.8177,20.519617,14,0,1,22,1,1,0
93,HD110067,189.8392243,20.0273377,HD110067f,2459641.576,5.165,41.05854,17,0,1,128,1,1,0
94,HD149026,247.6229827,38.3475349,HD149026b,2454456.788,3.24,2.8758885,69,0,1,1,1,1,0
95,HD152843,253.7848853,20.491524,HD152843b,2458994.283,5.53,11.6264,10,0,1,9,1,1,0
96,HD152843,253.7848853,20.491524,HD152843c,2459002.771,6.359,24.38,12,0,1,3,1,1,0
