,Planet Name,Eclipse Flux Ratio 1.95-1.9695um,Eclipse Flux Ratio 1.9695-1.989um,Eclipse Flux Ratio 1.989-2.0085um,Eclipse Flux Ratio 2.0085-2.028um,Eclipse Flux Ratio 2.028-2.0475um,Eclipse Flux Ratio 2.0475-2.067um,Eclipse Flux Ratio 2.067-2.0865um,Eclipse Flux Ratio 2.0865-2.106um,Eclipse Flux Ratio 2.106-2.1255um,Eclipse Flux Ratio 2.1255-2.145um,Eclipse Flux Ratio 2.145-2.1645um,Eclipse Flux Ratio 2.1645-2.184um,Eclipse Flux Ratio 2.184-2.2035um,Eclipse Flux Ratio 2.2035-2.223um,Eclipse Flux Ratio 2.223-2.2425um,Eclipse Flux Ratio 2.2425-2.262um,Eclipse Flux Ratio 2.262-2.2815um,Eclipse Flux Ratio 2.2815-2.301um,Eclipse Flux Ratio 2.301-2.3205um,Eclipse Flux Ratio 2.3205-2.34um,Eclipse Flux Ratio 2.34-2.3595um,Eclipse Flux Ratio 2.3595-2.379um,Eclipse Flux Ratio 2.379-2.3985um,Eclipse Flux Ratio 2.3985-2.418um,Eclipse Flux Ratio 2.418-2.4375um,Eclipse Flux Ratio 2.4375-2.457um,Eclipse Flux Ratio 2.457-2.4765um,Eclipse Flux Ratio 2.4765-2.496um,Eclipse Flux Ratio 2.496-2.5155um,Eclipse Flux Ratio 2.5155-2.535um,Eclipse Flux Ratio 2.535-2.5545um,Eclipse Flux Ratio 2.5545-2.574um,Eclipse Flux Ratio 2.574-2.5935um,Eclipse Flux Ratio 2.5935-2.613um,Eclipse Flux Ratio 2.613-2.6325um,Eclipse Flux Ratio 2.6325-2.652um,Eclipse Flux Ratio 2.652-2.6715um,Eclipse Flux Ratio 2.6715-2.691um,Eclipse Flux Ratio 2.691-2.7105um,Eclipse Flux Ratio 2.7105-2.73um,Eclipse Flux Ratio 2.73-2.7495um,Eclipse Flux Ratio 2.7495-2.769um,Eclipse Flux Ratio 2.769-2.7885um,Eclipse Flux Ratio 2.7885-2.808um,Eclipse Flux Ratio 2.808-2.8275um,Eclipse Flux Ratio 2.8275-2.847um,Eclipse Flux Ratio 2.847-2.8665um,Eclipse Flux Ratio 2.8665-2.886um,Eclipse Flux Ratio 2.886-2.9055um,Eclipse Flux Ratio 2.9055-2.925um,Eclipse Flux Ratio 2.925-2.9445um,Eclipse Flux Ratio 2.9445-2.964um,Eclipse Flux Ratio 2.964-2.9835um,Eclipse Flux Ratio 2.9835-3.003um,Eclipse Flux Ratio 3.003-3.0225um,Eclipse Flux Ratio 3.0225-3.042um,Eclipse Flux Ratio 3.042-3.0615um,Eclipse Flux Ratio 3.0615-3.081um,Eclipse Flux Ratio 3.081-3.1005um,Eclipse Flux Ratio 3.1005-3.12um,Eclipse Flux Ratio 3.12-3.1395um,Eclipse Flux Ratio 3.1395-3.159um,Eclipse Flux Ratio 3.159-3.1785um,Eclipse Flux Ratio 3.1785-3.198um,Eclipse Flux Ratio 3.198-3.2175um,Eclipse Flux Ratio 3.2175-3.237um,Eclipse Flux Ratio 3.237-3.2565um,Eclipse Flux Ratio 3.2565-3.276um,Eclipse Flux Ratio 3.276-3.2955um,Eclipse Flux Ratio 3.2955-3.315um,Eclipse Flux Ratio 3.315-3.3345um,Eclipse Flux Ratio 3.3345-3.354um,Eclipse Flux Ratio 3.354-3.3735um,Eclipse Flux Ratio 3.3735-3.393um,Eclipse Flux Ratio 3.393-3.4125um,Eclipse Flux Ratio 3.4125-3.432um,Eclipse Flux Ratio 3.432-3.4515um,Eclipse Flux Ratio 3.4515-3.471um,Eclipse Flux Ratio 3.471-3.4905um,Eclipse Flux Ratio 3.4905-3.51um,Eclipse Flux Ratio 3.51-3.5295um,Eclipse Flux Ratio 3.5295-3.549um,Eclipse Flux Ratio 3.549-3.5685um,Eclipse Flux Ratio 3.5685-3.588um,Eclipse Flux Ratio 3.588-3.6075um,Eclipse Flux Ratio 3.6075-3.627um,Eclipse Flux Ratio 3.627-3.6465um,Eclipse Flux Ratio 3.6465-3.666um,Eclipse Flux Ratio 3.666-3.6855um,Eclipse Flux Ratio 3.6855-3.705um,Eclipse Flux Ratio 3.705-3.7245um,Eclipse Flux Ratio 3.7245-3.744um,Eclipse Flux Ratio 3.744-3.7635um,Eclipse Flux Ratio 3.7635-3.783um,Eclipse Flux Ratio 3.783-3.8025um,Eclipse Flux Ratio 3.8025-3.822um,Eclipse Flux Ratio 3.822-3.8415um,Eclipse Flux Ratio 3.8415-3.861um,Eclipse Flux Ratio 3.861-3.8805um,Eclipse Flux Ratio 3.8805-3.9um
0,TOI-5704b,2.9645629602861064e-06,3.132935069390715e-06,3.307054178633523e-06,3.4869457715624686e-06,3.672630593158581e-06,3.864124739427504e-06,4.06143975372469e-06,4.2645827290945155e-06,4.473556415933785e-06,4.688359334320877e-06,4.908985890383723e-06,5.135426496111456e-06,5.367667692046874e-06,5.6056922723285966e-06,5.849479411583657e-06,6.099004793202129e-06,6.35424073855631e-06,6.615156336756464e-06,6.881717574564432e-06,7.153887466114358e-06,7.431626182117111e-06,7.714891178250847e-06,8.003637322465653e-06,8.297817020953883e-06,8.597380342560865e-06,8.902275141432563e-06,9.212447177717452e-06,9.527840236159379e-06,9.848396242437026e-06,1.0174055377122866e-05,1.0504756187151036e-05,1.084043569469907e-05,1.1181029503402929e-05,1.152647190183803e-05,1.1876695964212077e-05,1.2231633648226617e-05,1.2591215890075694e-05,1.29553726965595e-05,1.3324033234300735e-05,1.3697125916059364e-05,1.4074578484149839e-05,1.4456318090971483e-05,1.4842271376669798e-05,1.5232364543951841e-05,1.5626523430084685e-05,1.6024673576110345e-05,1.6426740293315257e-05,1.6832648726995937e-05,1.724232391756611e-05,1.765569085905336e-05,1.80726745550362e-05,1.8493200072074475e-05,1.891719259068815e-05,1.934457745394093e-05,1.9775280213686638e-05,2.0209226674537206e-05,2.064634293561215e-05,2.108655543012959e-05,2.1529790962899754e-05,2.1975976745781636e-05,2.2425040431163737e-05,2.2876910143529664e-05,2.333151450916898e-05,2.3788782684093267e-05,2.4248644380217004e-05,2.4711029889861956e-05,2.5175870108643307e-05,2.5643096556794612e-05,2.611264139898824e-05,2.658443746270651e-05,2.705841825521795e-05,2.753451797921214e-05,2.8012671547145406e-05,2.8492814594348122e-05,2.8974883490944192e-05,2.945881535263074e-05,2.994454805036622e-05,3.0432020219012763e-05,3.092117126497808e-05,3.141194137290079e-05,3.1904271511421756e-05,3.2398103438082756e-05,3.28933797033928e-05,3.339004365410087e-05,3.388803943571301e-05,3.4387311994290044e-05,3.4887807077561595e-05,3.538947123539036e-05,3.5892251819619764e-05,3.6396096983336904e-05,3.6900955679581576e-05,3.740677765953123e-05,3.791351347019017e-05,3.842111445161112e-05,3.892953273367514e-05,3.9438721232456066e-05,3.9948633646193625e-05,4.0459224450899266e-05,4.097044889561705e-05,4.1482262997361994e-05
1,TOI-672b,1.1001114011562045e-06,1.1951042292942334e-06,1.2961117280976817e-06,1.4033564519293473e-06,1.5170608201273374e-06,1.637446793006942e-06,1.7647355543805522e-06,1.8991472013818096e-06,2.040900442307321e-06,2.190212303117584e-06,2.3472978431689605e-06,2.512369880680368e-06,2.6856387283727606e-06,2.8673119396559854e-06,3.057594065677144e-06,3.2566864234863986e-06,3.464786875521441e-06,3.6820896205595338e-06,3.908784996237136e-06,4.145059293191002e-06,4.391094580831705e-06,4.6470685447204026e-06,4.913154335482815e-06,5.189520429159962e-06,5.476330498864137e-06,5.773743297579879e-06,6.081912551923912e-06,6.400986866654495e-06,6.731109639700085e-06,7.072418987458346e-06,7.425047680100476e-06,7.789123086601688e-06,8.164767129206562e-06,8.552096247027601e-06,8.95122136846724e-06,9.362247892146563e-06,9.785275676018878e-06,1.0220399034342668e-05,1.0667706742186126e-05,1.1127282047134145e-05,1.1599202687869107e-05,1.208354091929754e-05,1.2580363543897156e-05,1.3089731948961412e-05,1.3611702149423052e-05,1.4146324835941831e-05,1.469364542794767e-05,1.5253704131335329e-05,1.582653600051363e-05,1.6412171004518507e-05,1.701063409690642e-05,1.7621945289151852e-05,1.8246119727280656e-05,1.888316777147839e-05,1.9533095078421276e-05,2.019590268608536e-05,2.0871587100798198e-05,2.1560140386304846e-05,2.226155025462969e-05,2.2975800158522814e-05,2.3702869385288753e-05,2.444273315180362e-05,2.5195362700534976e-05,2.5960725396386546e-05,2.6738784824198936e-05,2.7529500886744445e-05,2.8332829903062286e-05,2.9148724706988758e-05,2.9977134745743417e-05,3.0818006178440316e-05,3.167128197440067e-05,3.2536902011149544e-05,3.3414803171986935e-05,3.4304919443029134e-05,3.520718200962402e-05,3.6121519352048565e-05,3.7047857340404256e-05,3.798611932863095e-05,3.893622624756574e-05,3.989809669697881e-05,4.087164703652334e-05,4.185679147554107e-05,4.2853442161671424e-05,4.3861509268214295e-05,4.4880901080203465e-05,4.5911524079150196e-05,4.695328302642134e-05,4.800608104521957e-05,4.9069819701138055e-05,5.014439908126406e-05,5.122971787181003e-05,5.232567343425457e-05,5.343216187997664e-05,5.454907814337191e-05,5.567631605344017e-05,5.6813768403837697e-05,5.796132702138875e-05,5.9118882833054395e-05,6.028632593135771e-05,6.146354563826751e-05
2,TOI-199b,3.794586339675701e-11,4.560802776880824e-11,5.461658948874026e-11,6.517194624053213e-11,7.749867068822374e-11,9.184768070270073e-11,1.0849852385318123e-10,1.2776177526606353e-10,1.4998154740528348e-10,1.7553810977811889e-10,2.0485061602251574e-10,2.3837993529023496e-10,2.766315843082955e-10,3.201587559827371e-10,3.6956543990712545e-10,4.2550962965646136e-10,4.887066112882993e-10,5.599323270393477e-10,6.400268078001791e-10,7.298976675748106e-10,8.305236527877807e-10,9.42958238990253e-10,1.068333267240098e-09,1.2078626121894526e-09,1.3628458737078883e-09,1.5346720837002423e-09,1.724823419645574e-09,1.934878916287411e-09,2.1665181668453743e-09,2.42152500509339e-09,2.7017911596597895e-09,3.009319871948303e-09,3.346229469155495e-09,3.7147568839679075e-09,4.117261112660364e-09,4.556226603483168e-09,5.034266567419565e-09,5.5541262036135445e-09,6.1186858320105836e-09,6.730963926017715e-09,7.394120038273941e-09,8.111457612923705e-09,8.886426678105138e-09,9.722626412697138e-09,1.0623807581715796e-08,1.1593874835105688e-08,1.2636888865038272e-08,1.3757068417201025e-08,1.495879215194001e-08,1.6246600351499954e-08,1.7625196469991458e-08,1.9099448523098834e-08,2.0674390314928867e-08,2.2355222499781975e-08,2.4147313477008184e-08,2.605620011748524e-08,2.808758832062669e-08,3.024735340118952e-08,3.2541540305509286e-08,3.497636365713553e-08,3.755820763218002e-08,4.02936256650179e-08,4.318933998530069e-08,4.625224098754372e-08,4.948938643484961e-08,5.290800049860763e-08,5.651547263628274e-08,6.031935630966236e-08,6.43273675461772e-08,6.854738334613824e-08,7.29874399389564e-08,7.765573089160949e-08,8.256060507281781e-08,8.771056447656215e-08,9.311426190874837e-08,9.87804985409667e-08,1.0471822133543964e-07,1.1093652034537098e-07,1.17444625895026e-07,1.2425190564396894e-07,1.3136786153997727e-07,1.3880212666522083e-07,1.4656446198036805e-07,1.5466475297132488e-07,1.631130062033636e-07,1.719193457874244e-07,1.8109400976339956e-07,1.9064734640521626e-07,2.005898104525456e-07,2.1093195927395074e-07,2.216844489662758e-07,2.3285803039506142e-07,2.444635451807263e-07,2.5651192163523553e-07,2.6901417065391577e-07,2.8198138156703834e-07,2.954247179557217e-07,3.09355413436657e-07,3.237847674200761e-07,3.387241408453217e-07
3,WASP-176b,0.0002389985790118562,0.00024500038082323546,0.00025101679775294255,0.00025704587215592497,0.0002630857114502332,0.00026913448720192076,0.0002751904341289596,0.00028125184903491924,0.00028731708968231695,0.00029338457361473047,0.0002994527769360252,0.00030552023305432827,0.0003115855313977255,0.0003176473161080381,0.00032370428471845624,0.0003297551868202678,0.00033579882272342574,0.00034183404211522456,0.00034785974272093305,0.00035387486896982747,0.00035987841066970213,0.00036586940169259445,0.0003718469186741466,0.00037781007972873817,0.00038375804318226185,0.00038969000632416145,0.00039560520418014555,0.00040150290830676447,0.00040738242560887385,0.0004132430971808205,0.0004190842971720446,0.00042490543167764285,0.00043070593765431967,0.00043648528186202506,0.00044224295983149144,0.0004479784948577694,0.0004536914370197964,0.0004593813622259432,0.0004650478712854243,0.00047069058900539644,0.0004763091633135168,0.0004819032644056839,0.00048747258391864876,0.0004930168341271429,0.0004985357471651434,0.0005040290742708647,0.0005094965850550491,0.0005149380667921054,0.0005203533237336321,0.0005257421764438473,0.000531104461156441,0.00053644002915235,0.0005417487461579669,0.000547030491763266,0.0005522851588593579,0.0005575126530949563,0.0005627128923512644,0.0005678858062347738,0.0005730313355874886,0.0005781494320140757,0.0005832400574254655,0.0005883031835984151,0.0005933387917505735,0.0005983468721305755,0.0006033274236227149,0.0006082804533657514,0.0006132059763854074,0.0006181040152401316,0.0006229745996797075,0.000627817766316299,0.0006326335583075303,0.0006374220250512132,0.000642183221891336,0.0006469172098349508,0.0006516240552795905,0.0006563038297508687,0.0006609566096499203,0.0006655824760103488,0.0006701815142643587,0.0006747538140177608,0.0006792994688335438,0.0006838185760237186,0.0006883112364491494,0.0006927775543270911,0.0006972176370461686,0.0007016315949885331,0.0007060195413589455,0.0007103815920205413,0.0007147178653370397,0.000719028482021171,0.0007233135649890956,0.0007275732392206048,0.0007318076316248943,0.0007360168709117098,0.0007402010874676692,0.0007443604132375808,0.0007484949816105662,0.0007526049273108222,0.0007566903862928486,0.0007607514956409782
4,TOI-1801b,3.022173715579202e-09,3.4147798577425268e-09,3.84892965406004e-09,4.327949983295983e-09,4.855336399017813e-09,5.434754813972939e-09,6.070042826337364e-09,6.7652106832717435e-09,7.524441878886121e-09,8.352093385333483e-09,9.252695517318115e-09,1.023095143180674e-08,1.1291736266165393e-08,1.2440095919304797e-08,1.368124548169929e-08,1.502056732134303e-08,1.646360883382355e-08,1.8016079865719893e-08,1.96838498214745e-08,2.147294446474035e-08,2.3389542425971568e-08,2.5439971428702888e-08,2.7630704247559503e-08,2.9968354411547165e-08,3.245967166660357e-08,3.511153721174273e-08,3.7930958723400545e-08,4.0925065182792637e-08,4.4101101521232995e-08,4.746642309842921e-08,5.1028490028781534e-08,5.479486137066234e-08,5.8773189193551783e-08,6.29712125377492e-08,6.739675128118654e-08,7.205769992762315e-08,7.696202133022558e-08,8.211774036421886e-08,8.753293756195207e-08,9.321574272334244e-08,9.917432851426962e-08,1.0541690406506456e-07,1.1195170858080486e-07,1.1878700497466967e-07,1.259310735351449e-07,1.3339220563738627e-07,1.4117869750857188e-07,1.4929884405657675e-07,1.5776093277081718e-07,1.6657323770361198e-07,1.757440135399214e-07,1.8528148976282525e-07,1.9519386492162466e-07,2.0548930100896206e-07,2.1617591795288468e-07,2.2726178822931033e-07,2.3875493159989566e-07,2.5066330997985685e-07,2.6299482243986614e-07,2.757573003457095e-07,2.8895850263898935e-07,3.0260611126174886e-07,3.1670772672751553e-07,3.312708638408769e-07,3.4630294756735693e-07,3.618113090550016e-07,3.7780318180876427e-07,3.942856980184516e-07,4.112658850407043e-07,4.2875066203518293e-07,4.467468367548657e-07,4.652611024900999e-07,4.843000351658098e-07,5.03870090591019e-07,5.23977601859646e-07,5.446287769013011e-07,5.658296961806519e-07,5.875863105437115e-07,6.09904439209266e-07,6.327897679034798e-07,6.562478471355978e-07,6.802840906124994e-07,7.04903773789778e-07,7.301120325568702e-07,7.559138620536897e-07,7.823141156161117e-07,8.093175038475859e-07,8.369285938140686e-07,8.651518083594246e-07,8.939914255383695e-07,9.234515781639949e-07,9.535362534668815e-07,9.842492928627436e-07,1.0155943918255816e-06,1.0475750998632267e-06,1.0801948205922208e-06,1.1134568119089152e-06,1.1473641862537066e-06,1.1819199109653076e-06,1.2171268087219793e-06
5,TOI-836c,8.328560450883457e-08,9.100077203732479e-08,9.925121338753601e-08,1.0806003839320054e-07,1.1745053736460012e-07,1.2744614815823168e-07,1.380704233014955e-07,1.4934699727720258e-07,1.612995540669127e-07,1.739517950461538e-07,1.8732740731852914e-07,2.0145003256959387e-07,2.1634323651526208e-07,2.320304790134068e-07,2.4853508490128523e-07,2.658802156154752e-07,2.840888416452143e-07,3.031837158643533e-07,3.2318734778165644e-07,3.441219787438684e-07,3.660095581208766e-07,3.8887172049739337e-07,4.127297638909384e-07,4.376046290114495e-07,4.6351687957366166e-07,4.904866836694246e-07,5.185337962034188e-07,5.476775423922126e-07,5.779368023233973e-07,6.093299965684709e-07,6.4187507284038e-07,6.755894936840488e-07,7.10490225185881e-07,7.465937266860492e-07,7.839159414754918e-07,8.224722884577437e-07,8.622776547541973e-07,9.033463892300005e-07,9.456922969165935e-07,9.893286343058142e-07,1.0342681054896484e-06,1.0805228591188956e-06,1.1281044861534595e-06,1.177024018376438e-06,1.2272919276438568e-06,1.2789181258415987e-06,1.3319119655209716e-06,1.3862822411842432e-06,1.4420371911915648e-06,1.4991845002607683e-06,1.5577313025317546e-06,1.6176841851674e-06,1.6790491924632797e-06,1.7418318304388355e-06,1.8060370718830817e-06,1.8716693618283842e-06,1.938732623426388e-06,2.007230264200683e-06,2.077165182651425e-06,2.1485397751876833e-06,2.2213559433639497e-06,2.295615101397873e-06,2.3713181839469854e-06,2.4484656541227805e-06,2.527057511721302e-06,2.6070933016499866e-06,2.6885721225312746e-06,2.771492635464156e-06,2.8558530729255763e-06,2.941651247794218e-06,3.0288845624799903e-06,3.1175500181431454e-06,3.2076442239876747e-06,3.2991634066142794e-06,3.3921034194188962e-06,3.4864597520233634e-06,3.582227539725522e-06,3.6794015729565798e-06,3.7779763067342597e-06,3.8779458701007905e-06,3.979304075535453e-06,4.082044428331846e-06,4.1861601359307255e-06,4.291644117199701e-06,4.398489011651661e-06,4.5066871885942445e-06,4.6162307562032465e-06,4.727111570513218e-06,4.839321244319092e-06,4.952851155982984e-06,5.0676924581408406e-06,5.183836086304006e-06,5.301272767351079e-06,5.419993027905966e-06,5.539987202598232e-06,5.661245442202361e-06,5.783757721652709e-06,5.9075138479314336e-06,6.0325034678267866e-06,6.158716075559668e-06
6,TOI-3807b,0.00042790159325139837,0.0004393374608157975,0.00045081972511108677,0.0004623443701489527,0.00047390749367596667,0.00048550530665104706,0.0004971341324974959,0.000508790406152395,0.0005204706729346256,0.0005321715872513071,0.0005438899111610655,0.0005556225128112143,0.0005673663647646691,0.0005791185422312316,0.000590876221216751,0.0006026366766026038,0.0006143972801669459,0.0006261554985582331,0.0006379088912306455,0.0006496551083502077,0.0006613918886796362,0.0006731170574492167,0.0006848285242203495,0.0006965242807477636,0.0007082023988458301,0.000719861028263853,0.0007314983945747249,0.0007431127970808576,0.0007547026067408811,0.0007662662641201959,0.0007778022773681038,0.0007893092202239026,0.0008007857300540209,0.0008122305059219796,0.0008236423066927105,0.0008350199491725214,0.0008463623062857718,0.000857668305289134,0.0008689369260241222,0.0008801671992084114,0.0008913582047663157,0.0009025090701986633,0.0009136189689921707,0.0009246871190683246,0.0009357127812716672,0.0009466952578972927,0.0009576338912572898,0.0009685280622857878,0.0009793771891822,0.0009901807260922118,0.0010009381618259969,0.00101164901861312,0.001022312850893534,0.0010329292441440552,0.0010434978137396707,0.0010540182038490144,0.0010644900863633212,0.001074913159858168,0.0010852871485872804,0.0010956118015076949,0.0011058868913355478,0.001116112213631764,0.0011262875859169167,0.0011364128468145307,0.0011464878552221059,0.0011565124895091385,0.0011664866467414239,0.00117641024193094,0.0011862832073106049,0.0011961054916332203,0.0012058770594939225,0.0012155978906754688,0.0012252679795157003,0.0012348873342965354,0.0012444559766538606,0.0012539739410076904,0.0012634412740119972,0.0012728580340236042,0.0012822242905895648,0.001291540123952458,0.0013008056245730427,0.0013100208926697266,0.0013191860377743249,0.0013283011783035877,0.0013373664411459975,0.001346381961263345,0.0013553478813066104,0.0013642643512456793,0.0013731315280124565,0.001381949575156922,0.0013907186625157183,0.0013994389658928531,0.001408110666752106,0.0014167339519207652,0.001425309013304303,0.0014338360476116342,0.0014423152560905906,0.0014507468442732784,0.0014591310217309753,0.0014674680018382498
7,TOI-4087b,0.0001933384741499761,0.0001996621561657219,0.0002060492117430219,0.0002124971302258201,0.00021900342981652935,0.00022556565983408803,0.000232181402747662,0.00023884827599814364,0.00024556393361931724,0.0002523260676702386,0.0002591324094900363,0.0002659807307859713,0.00027286884456521334,0.0002797946059203948,0.0002867559126786077,0.00029375070592309495,0.0003007769703964936,0.0003078327347940713,0.0003149160719550067,0.000322025098959364,0.00032915797713803103,0.00033631291200250456,0.0003434881531010467,0.000350681993807373,0.00035789277104768887,0.00036511886497155705,0.000372358698571758,0.00037961073725799105,0.0003868734883889745,0.0003941455007672118,0.00040142536410042344,0.0004087117084333821,0.00041600320355364786,0.00042329855837445335,0.0004305965202977797,0.0004378958745604409,0.0004451954435658008,0.0004524940862035516,0.0004597906971598097,0.0004670842062196081,0.0004743735775637092,0.0004816578090615103,0.0004889359315616728,0.0004962070081819691,0.0005034701335997246,0.000510724433344102,0.0005179690630913781,0.0005252032079642513,0.0005324260818361248,0.0005396369266412184,0.0005468350116912841,0.000554019632999608,0.0005611901126129281,0.0005683457979518062,0.0005754860611599517,0.0005826102984629142,0.0005897179295365297,0.0005968083968854304,0.0006038811652319052,0.0006109357209153335,0.00061797157130239,0.0006249882442081738,0.000631985287328382,0.0006389622676826196,0.0006459187710689031,0.0006528544015293954,0.0006597687808273832,0.0006666615479354791,0.0006735323585350272,0.0006803808845266498,0.0006872068135518816,0.0006940098485257993,0.0007007897071805578,0.0007075461216197257,0.0007142788378832987,0.000720987615523269,0.0007276722271896092,0.0007343324582265312,0.0007409681062788697,0.0007475789809084304,0.0007541649032201502,0.0007607257054978946,0.0007672612308497349,0.0007737713328625244,0.000780255875265606,0.000786714731603474,0.0007931477849172151,0.0007995549274345513,0.0008059360602683032,0.0008122910931231037,0.0008186199440101777,0.0008249225389700169,0.0008311988118027688,0.0008374487038061709,0.0008436721635208509,0.0008498691464828294,0.0008560396149830459,0.0008621835378337493,0.0008683008901415818,0.0008743916530871931
8,TOI-2818b,0.00017975822026382733,0.0001860493989372307,0.00019241816985356941,0.00019886204824296272,0.000205378560087939,0.00021196524528558735,0.00021861966057274765,0.00022533938222393807,0.0002321220085317679,0.0002389651620795663,0.000245866491815904,0.00025282367494056514,0.00025983441861138787,0.00026689646148120576,0.0002740075750739211,0.00028116556500850146,0.0002883682720794539,0.0002956135732020564,0.00030289938223035986,0.000310223650655688,0.00031758436819307373,0.00032497956326277814,0.0003324073033737522,0.00033986569541559806,0.0003473528858653062,0.0003548670609147546,0.000362406446524674,0.00036996930841050546,0.0003775539519653118,0.00038515872212463334,0.00039278200317792835,0.0004004222185309886,0.0004080778304234825,0.0004157473396055407,0.00042342928497708616,0.000431122243193386,0.00043882482824010566,0.0004465356909809401,0.00045425351868071725,0.0004619770345066804,0.00046970499701049135,0.0004774361995933243,0.0004851694699562731,0.0004929036695381406,0.0005006376929425379,0.0005083704673560905,0.0005161009519594215,0.0005238281373324561,0.0005315510448554909,0.0005392687261073454,0.0005469802622618361,0.000554684763483692,0.0005623813683249639,0.0005700692431228776,0.0005777475814000115,0.0005854156032676006,0.0005930725548327022,0.0006007177076098805,0.0006083503579380292,0.0006159698264028634,0.0006235754572655847,0.0006311666178981544,0.0006387426982255737,0.0006463031101755169,0.0006538472871356307,0.0006613746834187673,0.0006688847737363879,0.0006763770526803371,0.0006838510342131629,0.0006913062511671173,0.0006987422547519638,0.0007061586140716732,0.0007135549156500857,0.0007209307629655784,0.0007282857759947773,0.0007356195907653153,0.0007429318589176391,0.0007502222472758403,0.0007574904374274794,0.0007647361253123577,0.0007719590208201787,0.0007791588473970313,0.0007863353416606225,0.0007934882530241691,0.00080061734332886,0.00080772238648479,0.0008148031681202567,0.0008218594852393166,0.0008288911458874789,0.0008358979688254223,0.0008428797832106108,0.0008498364282866825,0.0008567677530804863,0.0008636736161066321,0.0008705538850794259,0.0008774084366320559,0.000884237156042894,0.0008910399369687813,0.0008978166811851585,0.000904567298332906
9,TOI-3235b,3.9350888267669855e-06,4.321642123183616e-06,4.737185570404643e-06,5.1831437763024636e-06,5.660963890794089e-06,6.172113792572721e-06,6.718080240713344e-06,7.300366997943299e-06,7.92049293219481e-06,8.5799901028564e-06,9.280401837919353e-06,1.0023280807974428e-05,1.0810187102758656e-05,1.1642686315682664e-05,1.2522347641490701e-05,1.3450741991917959e-05,1.442944013391887e-05,1.5460010854744022e-05,1.6544019157847783e-05,1.768302449331243e-05,1.887857902618172e-05,2.0132225945806176e-05,2.144549781901859e-05,2.2819914989678266e-05,2.4256984026851888e-05,2.575819622363428e-05,2.732502614835813e-05,2.895893024969451e-05,3.0661345516911675e-05,3.2433688196331925e-05,3.427735256481166e-05,3.619370976086477e-05,3.818410667385525e-05,4.0249864891500446e-05,4.239227970575608e-05,4.461261917698939e-05,4.691212325619778e-05,4.92920029648878e-05,5.17534396321002e-05,5.429758418794393e-05,5.69255565128936e-05,5.963844484200098e-05,6.243730522308028e-05,6.532316102784209e-05,6.829700251487762e-05,7.135978644332417e-05,7.451243573598814e-05,7.775583919064492e-05,8.109085123819416e-05,8.451829174630738e-05,8.803894586717568e-05,9.165356392793546e-05,9.536286136233428e-05,9.916751868217857e-05,0.00010306818148709825,0.00010706546051115572,0.00011115993170482593,0.00011535213635087467,0.00011964258121267134,0.00012403173871347898,0.000128520047145278,0.00013310791090569474,0.0001377957007616263,0.00014258375413816747,0.00014747237543147562,0.00015246183634422608,0.00015755237624234255,0.00016274420253170857,0.0001680374910536019,0.0001734323864976144,0.00017892900283086012,0.00018452742374229736,0.00019022770310103012,0.0001960298654274795,0.00020193390637635774,0.00020793979323039977,0.00021404746540385362,0.00022025683495475255,0.00022656778710503344,0.00023298018076759724,0.0002394938490794398,0.0002461085999400141,0.0002528242165540222,0.0002596404579778602,0.0002665570596689791,0.0002735737340374505,0.0002806901709990617,0.00028790603852928983,0.0002952209832175415,0.00030263463082106675,0.0003101465868179897,0.0003177564369589264,0.0003254637478166812,0.00033326806733355253,0.00034116892536578745,0.0003491658342247695,0.00035725828921452885,0.00036544576916520657,0.00037372773696211104,0.00038210364007004163
