,Planet Name,Full Phase Curve Noise Estimate 1.95-1.9695um,Full Phase Curve Noise Estimate 1.9695-1.989um,Full Phase Curve Noise Estimate 1.989-2.0085um,Full Phase Curve Noise Estimate 2.0085-2.028um,Full Phase Curve Noise Estimate 2.028-2.0475um,Full Phase Curve Noise Estimate 2.0475-2.067um,Full Phase Curve Noise Estimate 2.067-2.0865um,Full Phase Curve Noise Estimate 2.0865-2.106um,Full Phase Curve Noise Estimate 2.106-2.1255um,Full Phase Curve Noise Estimate 2.1255-2.145um,Full Phase Curve Noise Estimate 2.145-2.1645um,Full Phase Curve Noise Estimate 2.1645-2.184um,Full Phase Curve Noise Estimate 2.184-2.2035um,Full Phase Curve Noise Estimate 2.2035-2.223um,Full Phase Curve Noise Estimate 2.223-2.2425um,Full Phase Curve Noise Estimate 2.2425-2.262um,Full Phase Curve Noise Estimate 2.262-2.2815um,Full Phase Curve Noise Estimate 2.2815-2.301um,Full Phase Curve Noise Estimate 2.301-2.3205um,Full Phase Curve Noise Estimate 2.3205-2.34um,Full Phase Curve Noise Estimate 2.34-2.3595um,Full Phase Curve Noise Estimate 2.3595-2.379um,Full Phase Curve Noise Estimate 2.379-2.3985um,Full Phase Curve Noise Estimate 2.3985-2.418um,Full Phase Curve Noise Estimate 2.418-2.4375um,Full Phase Curve Noise Estimate 2.4375-2.457um,Full Phase Curve Noise Estimate 2.457-2.4765um,Full Phase Curve Noise Estimate 2.4765-2.496um,Full Phase Curve Noise Estimate 2.496-2.5155um,Full Phase Curve Noise Estimate 2.5155-2.535um,Full Phase Curve Noise Estimate 2.535-2.5545um,Full Phase Curve Noise Estimate 2.5545-2.574um,Full Phase Curve Noise Estimate 2.574-2.5935um,Full Phase Curve Noise Estimate 2.5935-2.613um,Full Phase Curve Noise Estimate 2.613-2.6325um,Full Phase Curve Noise Estimate 2.6325-2.652um,Full Phase Curve Noise Estimate 2.652-2.6715um,Full Phase Curve Noise Estimate 2.6715-2.691um,Full Phase Curve Noise Estimate 2.691-2.7105um,Full Phase Curve Noise Estimate 2.7105-2.73um,Full Phase Curve Noise Estimate 2.73-2.7495um,Full Phase Curve Noise Estimate 2.7495-2.769um,Full Phase Curve Noise Estimate 2.769-2.7885um,Full Phase Curve Noise Estimate 2.7885-2.808um,Full Phase Curve Noise Estimate 2.808-2.8275um,Full Phase Curve Noise Estimate 2.8275-2.847um,Full Phase Curve Noise Estimate 2.847-2.8665um,Full Phase Curve Noise Estimate 2.8665-2.886um,Full Phase Curve Noise Estimate 2.886-2.9055um,Full Phase Curve Noise Estimate 2.9055-2.925um,Full Phase Curve Noise Estimate 2.925-2.9445um,Full Phase Curve Noise Estimate 2.9445-2.964um,Full Phase Curve Noise Estimate 2.964-2.9835um,Full Phase Curve Noise Estimate 2.9835-3.003um,Full Phase Curve Noise Estimate 3.003-3.0225um,Full Phase Curve Noise Estimate 3.0225-3.042um,Full Phase Curve Noise Estimate 3.042-3.0615um,Full Phase Curve Noise Estimate 3.0615-3.081um,Full Phase Curve Noise Estimate 3.081-3.1005um,Full Phase Curve Noise Estimate 3.1005-3.12um,Full Phase Curve Noise Estimate 3.12-3.1395um,Full Phase Curve Noise Estimate 3.1395-3.159um,Full Phase Curve Noise Estimate 3.159-3.1785um,Full Phase Curve Noise Estimate 3.1785-3.198um,Full Phase Curve Noise Estimate 3.198-3.2175um,Full Phase Curve Noise Estimate 3.2175-3.237um,Full Phase Curve Noise Estimate 3.237-3.2565um,Full Phase Curve Noise Estimate 3.2565-3.276um,Full Phase Curve Noise Estimate 3.276-3.2955um,Full Phase Curve Noise Estimate 3.2955-3.315um,Full Phase Curve Noise Estimate 3.315-3.3345um,Full Phase Curve Noise Estimate 3.3345-3.354um,Full Phase Curve Noise Estimate 3.354-3.3735um,Full Phase Curve Noise Estimate 3.3735-3.393um,Full Phase Curve Noise Estimate 3.393-3.4125um,Full Phase Curve Noise Estimate 3.4125-3.432um,Full Phase Curve Noise Estimate 3.432-3.4515um,Full Phase Curve Noise Estimate 3.4515-3.471um,Full Phase Curve Noise Estimate 3.471-3.4905um,Full Phase Curve Noise Estimate 3.4905-3.51um,Full Phase Curve Noise Estimate 3.51-3.5295um,Full Phase Curve Noise Estimate 3.5295-3.549um,Full Phase Curve Noise Estimate 3.549-3.5685um,Full Phase Curve Noise Estimate 3.5685-3.588um,Full Phase Curve Noise Estimate 3.588-3.6075um,Full Phase Curve Noise Estimate 3.6075-3.627um,Full Phase Curve Noise Estimate 3.627-3.6465um,Full Phase Curve Noise Estimate 3.6465-3.666um,Full Phase Curve Noise Estimate 3.666-3.6855um,Full Phase Curve Noise Estimate 3.6855-3.705um,Full Phase Curve Noise Estimate 3.705-3.7245um,Full Phase Curve Noise Estimate 3.7245-3.744um,Full Phase Curve Noise Estimate 3.744-3.7635um,Full Phase Curve Noise Estimate 3.7635-3.783um,Full Phase Curve Noise Estimate 3.783-3.8025um,Full Phase Curve Noise Estimate 3.8025-3.822um,Full Phase Curve Noise Estimate 3.822-3.8415um,Full Phase Curve Noise Estimate 3.8415-3.861um,Full Phase Curve Noise Estimate 3.861-3.8805um,Full Phase Curve Noise Estimate 3.8805-3.9um
0,TOI-5704b,4.123946699384244e-05,4.1650123573981224e-05,4.2063176237996887e-05,4.2478595679974445e-05,4.2896353687269296e-05,4.331642308252041e-05,4.373877766943127e-05,4.416339218202092e-05,4.4590242237111444e-05,4.5019304289784895e-05,4.545055559160465e-05,4.5883974151414694e-05,4.631953869850703e-05,4.6757228648001425e-05,4.719702406829631e-05,4.7638905650420204e-05,4.80828546791698e-05,4.852885300591302e-05,4.897688302294566e-05,4.9426927639279984e-05,4.987897025779843e-05,5.03329947536702e-05,5.078898545393407e-05,5.124692711820085e-05,5.170680492039079e-05,5.216860443142523e-05,5.2632311602846025e-05,5.309791275127659e-05,5.3565394543687136e-05,5.4034743983411896e-05,5.450594839687276e-05,5.497899542096801e-05,5.545387299108626e-05,5.5930569329709314e-05,5.640907293556958e-05,5.688937257332974e-05,5.737145726375944e-05,5.785531627436412e-05,5.8340939110473854e-05,5.88283155067294e-05,5.9317435418959665e-05,5.9808289016446755e-05,6.030086667452396e-05,6.0795158967504975e-05,6.129115666194448e-05,6.178885071017754e-05,6.22882322441451e-05,6.278929256949017e-05,6.329202315991221e-05,6.379641565174234e-05,6.43024618387652e-05,6.481015366725704e-05,6.531948323121037e-05,6.583044276777729e-05,6.634302465288454e-05,6.685722139702959e-05,6.737302564124482e-05,6.789043015322122e-05,6.840942782358513e-05,6.893001166231965e-05,6.945217479532502e-05,6.997591046111052e-05,7.050121200761174e-05,7.102807288913305e-05,7.155648666338887e-05,7.20864469886801e-05,7.261794762115385e-05,7.315098241216261e-05,7.368554530574013e-05,7.422163033614737e-05,7.475923162550528e-05,7.529834338153304e-05,7.583895989534356e-05,7.638107553932077e-05,7.692468476507529e-05,7.74697821014761e-05,7.801636215272584e-05,7.856441959652344e-05,7.911394918228813e-05,7.966494572942015e-05,8.021740412564096e-05,8.077131932538828e-05,8.132668634823896e-05,8.188350027741207e-05,8.244175625830125e-05,8.300144949706034e-05,8.356257525923196e-05,8.412512886841949e-05,8.468910570499885e-05,8.525450120487576e-05,8.5821310858268e-05,8.63895302085363e-05,8.695915485105622e-05,8.753018043209792e-05,8.810260264776367e-05,8.86764172429572e-05,8.925162001035773e-05,8.98282067894487e-05,9.040617346557621e-05,9.09855159690003e-05
1,TOI-672b,5.442066031990393e-05,5.488986942360762e-05,5.5362525360924654e-05,5.583856938649903e-05,5.6317945234384115e-05,5.680059897852433e-05,5.728647890266865e-05,5.7775535378963156e-05,5.826772075458675e-05,5.876298924577916e-05,5.9261296838719465e-05,5.9762601196760196e-05,6.026686157351461e-05,6.077403873138418e-05,6.128409486515023e-05,6.179699353023206e-05,6.23126995753016e-05,6.283117907894852e-05,6.33523992901149e-05,6.387632857201607e-05,6.4402936349346e-05,6.493219305852829e-05,6.546407010078978e-05,6.599853979790592e-05,6.653557535042526e-05,6.707515079819132e-05,6.761724098305656e-05,6.816182151361117e-05,6.870886873181732e-05,6.925835968142492e-05,6.98102720780577e-05,7.03645842808676e-05,7.092127526566094e-05,7.148032459940772e-05,7.204171241605061e-05,7.260541939353593e-05,7.317142673200013e-05,7.373971613302318e-05,7.431026977992869e-05,7.488307031902363e-05,7.545810084174436e-05,7.603534486767995e-05,7.661478632838084e-05,7.719640955192995e-05,7.778019924825612e-05,7.836614049510551e-05,7.895421872466231e-05,7.954441971078377e-05,8.01367295568178e-05,8.073113468394244e-05,8.132762182004591e-05,8.192617798909678e-05,8.25267905009545e-05,8.312944694165052e-05,8.373413516406944e-05,8.434084327903336e-05,8.494955964676258e-05,8.556027286869464e-05,8.617297177964392e-05,8.678764544028512e-05,8.740428312994487e-05,8.802287433968617e-05,8.864340876567132e-05,8.926587630279672e-05,8.989026703856098e-05,9.051657124720682e-05,9.114477938406573e-05,9.177488208012192e-05,9.240687013681172e-05,9.304073452099607e-05,9.367646636012329e-05,9.431405693760083e-05,9.495349768831264e-05,9.559478019430951e-05,9.623789618066407e-05,9.688283751148495e-05,9.752959618604688e-05,9.817816433508765e-05,9.8828534217238e-05,9.94806982155501e-05,0.00010013464883417634,0.00010079037869516492,0.00010144788053533688,0.00010210714720330708,0.00010276817165658477,0.0001034309469587806,0.00010409546627690645,0.00010476172287876635,0.00010542971013043264,0.00010609942149381289,0.00010677085052428063,0.00010744399086839792,0.00010811883626171909,0.00010879538052663272,0.0001094736175703035,0.00011015354138267972,0.00011083514603453216,0.00011151842567558546,0.00011220337453270952,0.00011288998690812457
2,TOI-199b,7.627078875363335e-06,7.708648028027775e-06,7.790650119392426e-06,7.873080872787209e-06,7.95593615526679e-06,8.039211970350093e-06,8.122904451217977e-06,8.207009854332808e-06,8.291524553453834e-06,8.376445034014566e-06,8.461767887838553e-06,8.54748980817211e-06,8.633607585007083e-06,8.720118100675857e-06,8.807018325702455e-06,8.894305314887443e-06,8.98197620361398e-06,9.070028204360322e-06,9.158458603405337e-06,9.247264757711062e-06,9.336444091976099e-06,9.425994095846484e-06,9.51591232127131e-06,9.606196379999316e-06,9.696843941205167e-06,9.787852729234507e-06,9.879220521466835e-06,9.970945146283584e-06,1.0063024481137856e-05,1.0155456450719097e-05,1.0248239025207124e-05,1.0341370218610427e-05,1.0434848087183758e-05,1.0528670727920632e-05,1.0622836277116345e-05,1.0717342908997574e-05,1.0812188834415673e-05,1.0907372299597014e-05,1.1002891584953497e-05,1.109874500394299e-05,1.1194930901979994e-05,1.1291447655397254e-05,1.1388293670449204e-05,1.1485467382358169e-05,1.1582967254404449e-05,1.168079177705138e-05,1.1778939467107776e-05,1.1877408866925742e-05,1.1976198543632354e-05,1.2075307088388969e-05,1.2174733115683776e-05,1.2274475262652627e-05,1.2374532188423091e-05,1.2474902573488599e-05,1.2575585119104204e-05,1.2676578546706468e-05,1.277788159735541e-05,1.2879493031197475e-05,1.2981411626948726e-05,1.308363618139713e-05,1.3186165508923297e-05,1.3288998441038592e-05,1.3392133825939926e-05,1.3495570528081447e-05,1.35993074277585e-05,1.3703343420711116e-05,1.3807677417737392e-05,1.3912308344320164e-05,1.401723514027054e-05,1.4122456759379615e-05,1.4227972169081908e-05,1.433378035013412e-05,1.4439880296300425e-05,1.4546271014049114e-05,1.4652951522260077e-05,1.4759920851942918e-05,1.4867178045959729e-05,1.4974722158760911e-05,1.5082552256129421e-05,1.5190667414928708e-05,1.5299066722862783e-05,1.5407749278243783e-05,1.5516714189762023e-05,1.562596057626865e-05,1.5735487566561334e-05,1.5845294299177593e-05,1.5955379922194008e-05,1.606574359303142e-05,1.6176384478265555e-05,1.628730175344429e-05,1.639849460290762e-05,1.6509962219615063e-05,1.662170380497907e-05,1.67337185686981e-05,1.684600572859913e-05,1.6958564510484557e-05,1.7071394147978493e-05,1.7184493882381982e-05,1.729786296253247e-05,1.7411500644660534e-05
3,WASP-176b,7.764247315051155e-05,7.851690912610336e-05,7.939573317292089e-05,8.027890879295173e-05,8.116640058991253e-05,8.20581742164443e-05,8.295419632454225e-05,8.385443451896157e-05,8.475885731343436e-05,8.566743408944582e-05,8.658013505741394e-05,8.749693122013139e-05,8.841779433826689e-05,8.934269689780928e-05,9.027161207935042e-05,9.120451372903406e-05,9.214137633109286e-05,9.308217498187007e-05,9.402688536523222e-05,9.49754837292493e-05,9.592794686411587e-05,9.688425208121102e-05,9.784437719319792e-05,9.880830049515413e-05,9.977600074664397e-05,0.00010074745715464621,0.00010172264935735088,0.00010270155740871736,0.00010368416176377762,0.00010467044326463442,0.00010566038312711425,0.00010665396292803966,0.00010765116459308428,0.00010865197038518021,0.00010965636289344523,0.00011066432502260201,0.00011167583998287087,0.00011269089128027873,0.00011370946270742564,0.00011473153833461366,0.00011575710250134957,0.00011678613980823667,0.00011781863510917015,0.0001188545735038522,0.00011989394033064512,0.00012093672115967784,0.00012198290178623519,0.0001230324682244159,0.00012408540670104861,0.0001251417036498064,0.0001262013457055824,0.00012726431969907972,0.0001283306126515677,0.00012940021176987863,0.00013047310444156204,0.00013154927823022492,0.00013262872087104025,0.00013371142026641646,0.0001347973644818213,0.00013588654174175299,0.0001369789404258521,0.00013807454906514808,0.00013917335633843343,0.00014027535106877128,0.0001413805222200895,0.00014248885889393934,0.00014360035032631995,0.00014471498588460624,0.00014583275506461794,0.00014695364748774274,0.00014807765289815013,0.00014920476116013587,0.00015033496225550698,0.00015146824628105776,0.000152604603446134,0.0001537440240702832,0.00015488649858093052,0.0001560320175111685,0.00015718057149761316,0.00015833215127827874,0.0001594867476905593,0.00016064435166926995,0.0001618049542446965,0.00016296854654075923,0.00016413511977319238,0.00016530466524778756,0.00016647717435868393,0.00016765263858670607,0.00016883104949774527,0.00017001239874119654,0.00017119667804841178,0.00017238387923121815,0.0001735739941804873,0.00017476701486469074,0.0001759629333285423,0.0001771617416916768,0.00017836343214731206,0.00017956799696099507,0.00018077542846938315,0.00018198571907898823
4,TOI-1801b,1.4393680300809434e-05,1.4520557929829466e-05,1.4648333192257004e-05,1.4776991431877065e-05,1.4906518602367433e-05,1.5036901233222114e-05,1.5168126397966825e-05,1.5300181684483955e-05,1.543305516729389e-05,1.556673538163422e-05,1.5701211299205974e-05,1.583647230546742e-05,1.5972508178352757e-05,1.610930906831607e-05,1.624686547960964e-05,1.6385168252699367e-05,1.6524208547742585e-05,1.666397782905389e-05,1.6804467850490808e-05,1.694567064168997e-05,1.7087578495105525e-05,1.7230183953791357e-05,1.737347979987244e-05,1.751745904366954e-05,1.7662114913429776e-05,1.7807440845618634e-05,1.795343047574855e-05,1.8100077629700126e-05,1.824737631550976e-05,1.839532071559334e-05,1.8543905179378987e-05,1.869312421632382e-05,1.8842972489291393e-05,1.8993444808268024e-05,1.914453612439775e-05,1.929624152431685e-05,1.9448556224771914e-05,1.9601475567499312e-05,1.9754995014362022e-05,1.9909110142716693e-05,2.0063816641003167e-05,2.021911030454992e-05,2.037498703157198e-05,2.0531442819356142e-05,2.068847376062911e-05,2.0846076040086903e-05,2.1004245931084028e-05,2.1162979792473854e-05,2.1322274065592452e-05,2.1482125271370336e-05,2.164253000757772e-05,2.1803484946190485e-05,2.1964986830864043e-05,2.2127032474523755e-05,2.2289618757053525e-05,2.2452742623083824e-05,2.2616401079872576e-05,2.278059119527424e-05,2.294531009579306e-05,2.311055496471601e-05,2.3276323040321932e-05,2.344261161416282e-05,2.3609418029413874e-05,2.377673967929084e-05,2.3944574005524508e-05,2.41129184969035e-05,2.4281770687866688e-05,2.445112815714967e-05,2.462098852649011e-05,2.4791349459375242e-05,2.496220865983651e-05,2.513356387129633e-05,2.5305412875450448e-05,2.5477753491193132e-05,2.5650583573583297e-05,2.5823901012850192e-05,2.599770373342717e-05,2.6171989693027378e-05,2.6346756881752383e-05,2.652200332122466e-05,2.6697727063757868e-05,2.6873926191556154e-05,2.7050598815932994e-05,2.7227743076566477e-05,2.740535714077389e-05,2.758343920281289e-05,2.776198748320563e-05,2.794100022808557e-05,2.8120475708565355e-05,2.8300412220127424e-05,2.848080808203017e-05,2.8661661636737127e-05,2.884297124936655e-05,2.902473530714983e-05,2.9206952218915362e-05,2.9389620414588718e-05,2.9572738344700057e-05,2.975630447991512e-05,2.994031731058117e-05,3.012477534627562e-05
5,TOI-836c,9.914865953944966e-06,1.0013105624396945e-05,1.0111922656875002e-05,1.0211309892431163e-05,1.0311260440759523e-05,1.0411767665908576e-05,1.0512825172923466e-05,1.0614426795344699e-05,1.0716566583505453e-05,1.081923879356162e-05,1.0922437877203893e-05,1.1026158472005735e-05,1.113039539235553e-05,1.1235143620934434e-05,1.134039830070485e-05,1.1446154727367686e-05,1.1552408342260107e-05,1.1659154725663718e-05,1.1766389590495751e-05,1.1874108776353253e-05,1.1982308243893676e-05,1.2090984069526663e-05,1.2200132440393332e-05,1.230974964962131e-05,1.2419832091834767e-05,1.2530376258899602e-05,1.264137873589707e-05,1.2752836197304746e-05,1.2864745403375521e-05,1.2977103196701804e-05,1.3089906498953626e-05,1.3203152307780537e-05,1.3316837693867373e-05,1.343095979813505e-05,1.3545515829077794e-05,1.3660503060228961e-05,1.3775918827749106e-05,1.3891760528125434e-05,1.4008025615984262e-05,1.4124711602001341e-05,1.4241816050908471e-05,1.435933657959532e-05,1.4477270855293278e-05,1.4595616593840759e-05,1.4714371558029878e-05,1.4833533556021805e-05,1.495310043983243e-05,1.5073070103884565e-05,1.5193440483623587e-05,1.531420955418749e-05,1.5435375329137403e-05,1.5556935859241314e-05,1.5678889231303698e-05,1.5801233567048813e-05,1.5923967022046182e-05,1.60470877846806e-05,1.6170594075163394e-05,1.6294484144582918e-05,1.6418756273992545e-05,1.6543408773534333e-05,1.6668439981596648e-05,1.6793848264004225e-05,1.6919632013238946e-05,1.704578964769134e-05,1.7172319610936422e-05,1.729922037104259e-05,1.7426490419901035e-05,1.755412827257963e-05,1.7682132466705287e-05,1.7810501561863606e-05,1.793923413901996e-05,1.806832879996613e-05,1.819778416678129e-05,1.832759888131294e-05,1.845777160467707e-05,1.858830101677687e-05,1.871918581583236e-05,1.8850424717931235e-05,1.8982016456594814e-05,1.9113959782353052e-05,1.9246253462338986e-05,1.937889627989656e-05,1.951188703419547e-05,1.9645224539865396e-05,1.9778907626637665e-05,1.9912935138999773e-05,2.0047305935860575e-05,2.0182018890225997e-05,2.031707288888458e-05,2.0452466832104098e-05,2.0588199633334376e-05,2.0724270218921962e-05,2.0860677527834797e-05,2.0997420511388947e-05,2.113449813298939e-05,2.1271909367878542e-05,2.140965320288604e-05,2.1547728636191902e-05,2.1686134677096825e-05,2.182487034579095e-05
6,TOI-3807b,9.35866891330294e-05,9.462892453378443e-05,9.567644860437562e-05,9.672921564345236e-05,9.778718136573493e-05,9.885030283324374e-05,9.991853839077212e-05,0.00010099184760526437,0.00010207019120887679,0.00010315353104539519,0.00010424183001980142,0.00010533505205079956,0.00010643316202604124,0.00010753612575989242,0.00010864390995360327,0.00010975648215765888,0.00011087381073620492,0.00011199586483341287,0.00011312261434166049,0.0001142540298713705,0.00011539008272246547,0.00011653074485730853,0.00011767598887500239,0.00011882578798702932,0.00011998011599411805,0.00012113894726422853,0.00012230225671166378,0.00012347001977717548,0.00012464221240903782,0.00012581881104502517,0.00012699979259524143,0.0001281851344257535,0.00012937481434298248,0.00013056881057881142,0.00013176710177636812,0.0001329696669764465,0.00013417648560454115,0.00013538753745842387,0.00013660280269630959,0.00013782226182549464,0.00013904589569147926,0.00014027368546759076,0.0001415056126450025,0.0001427416590231664,0.00014398180670067967,0.00014522603806648191,0.000146474335791417,0.0001477266828201414,0.00014898306236336444,0.00015024345789034832,0.00015150785312174184,0.0001527762320226901,0.00015404857879616242,0.00015532487787658556,0.00015660511392368292,0.00015788927181655178,0.0001591773366479578,0.00016046929371883606,0.00016176512853299124,0.00016306482679198634,0.00016436837439021333,0.00016567575741013567,0.0001669869621176957,0.0001683019749578918,0.0001696207825504696,0.0001709433716858198,0.000172269729320964,0.0001735998425756727,0.00017493369872876154,0.00017627128521445915,0.000177612589618892,0.00017895759967673255,0.00018030630326790285,0.0001816586884143937,0.00018301474327719566,0.0001843744561533393,0.0001857378154729715,0.00018710480979657396,0.00018847542781226601,0.00018984965833313507,0.00019122749029469965,0.0001926089127524482,0.000193993914879393,0.000195382485963764,0.00019677461540672632,0.00019817029272017772,0.00019956950752460546,0.0002009722495470046,0.00020237850861885102,0.00020378827467414434,0.00020520153774747395,0.0002066182879721651,0.00020803851557848994,0.00020946221089186337,0.00021088936433114709,0.00021231996640699852,0.0002137540077202026,0.00021519147896010684,0.00021663237090310036,0.00021807667441105038
7,TOI-4087b,7.96659340856871e-05,8.05698376678222e-05,8.147824550600358e-05,8.23911210748798e-05,8.330842893175368e-05,8.423013466517511e-05,8.515620484666647e-05,8.608660698532922e-05,8.702130948517649e-05,8.79602816049444e-05,8.890349342023327e-05,8.985091578784424e-05,9.080252031211196e-05,9.175827931312227e-05,9.27181657967159e-05,9.368215342610784e-05,9.465021649504957e-05,9.562232990243332e-05,9.659846912824847e-05,9.7578610210768e-05,9.85627297249429e-05,9.955080476190384e-05,0.0001005428129094726,0.0001015387322336777,0.00010253854126118683,0.00010354221896257037,0.00010454974473641302,0.0001055610983941656,0.00010657626014572337,0.00010759521058568136,0.00010861793068022789,0.00010964440175464203,0.00011067460548135958,0.00011170852386857727,0.00011274613924936488,0.00011378743427125718,0.00011483239188630853,0.00011588099534155292,0.00011693322816991287,0.00011798907418146075,0.00011904851745504542,0.000120111542330301,0.00012117813339995075,0.00012224827550242368,0.00012332195371480363,0.00012439915334602482,0.00012547985993034398,0.00012656405922107684,0.00012765173718458708,0.0001287428799944684,0.0001298374740259842,0.0001309355058507171,0.00013203696223137976,0.00013314183011686406,0.0001342500966374434,0.00013536174910015741,0.00013647677498436277,0.00013759516193744112,0.0001387168977706592,0.00013984197045517342,0.00014097036811817293,0.0001421020790391547,0.0001432370916463245,0.0001443753945131291,0.00014551697635487251,0.00014666182602549635,0.000147809932514423,0.00014896128494350043,0.00015011587256408878,0.00015127368475419692,0.00015243471101570954,0.00015359894097174463,0.00015476636436404846,0.00015593697105048144,0.00015711075100259092,0.00015828769430326986,0.00015946779114443831,0.00016065103182483963,0.00016183740674790192,0.00016302690641961627,0.0001642195214465221,0.00016541524253375174,0.00016661406048308142,0.0001678159661910971,0.00016902095064737487,0.00017022900493272462,0.00017144012021748028,0.00017265428775983704,0.0001738714989042317,0.00017509174507977836,0.00017631501779871944,0.00017754130865494183,0.0001787706093225445,0.00018000291155438952,0.00018123820718074236,0.00018247648810794715,0.0001837177463170841,0.00018496197386271238,0.0001862091628716474,0.0001874593055416993
8,TOI-2818b,6.949004202343321e-05,7.026117152230337e-05,7.103622834469873e-05,7.181517814216461e-05,7.259798763902831e-05,7.338462458009384e-05,7.417505768157135e-05,7.49692565849838e-05,7.576719181387926e-05,7.656883473310209e-05,7.737415751046296e-05,7.818313308066341e-05,7.899573511127662e-05,7.98119379706644e-05,8.063171669772331e-05,8.145504697329208e-05,8.228190509313898e-05,8.311226794242511e-05,8.394611297154997e-05,8.478341817325905e-05,8.56241620609814e-05,8.646832364829726e-05,8.73158824294403e-05,8.816681836081882e-05,8.90211118434708e-05,8.987874370636934e-05,9.07396951905848e-05,9.160394793420281e-05,9.247148395797847e-05,9.334228565167763e-05,9.421633576106551e-05,9.509361737550664e-05,9.597411391614044e-05,9.685780912460142e-05,9.77446870522523e-05,9.863473204990216e-05,9.952792875799034e-05,0.00010042426209718225,0.00010132371725941243,0.00010222627969928638,0.00010313193512585042,0.000104040669494741,0.00010495246900063483,0.00010586732007001331,0.00010678520935425526,0.00010770612372298174,0.00010863005025767669,0.000109556976245571,0.00011048688917377762,0.0001114197767236247,0.00011235562676524099,0.00011329442735235064,0.00011423616671723389,0.00011518083326591885,0.00011612841557352935,0.00011707890237981347,0.00011803228258483665,0.00011898854524483113,0.00011994767956819646,0.00012090967491164285,0.00012187452077647211,0.0001228422068049892,0.00012381272277703804,0.0001247860586066663,0.0001257622043388769,0.00012674115014653462,0.00012772288632734074,0.00012870740330090733,0.00012969469160596566,0.00013068474189762973,0.00013167754494474825,0.00013267309162737936,0.00013367137293430808,0.0001346723799606511,0.00013567610390554584,0.00013668253606992188,0.0001376916678543007,0.00013870349075670183,0.00013971799637061303,0.0001407351763829819,0.0001417550225723069,0.00014277752680678598,0.00014380268104247695,0.00014483047732156292,0.00014586090777063613,0.00014689396459904175,0.0001479296400972671,0.0001489679266353766,0.00015000881666148866,0.00015105230270030475,0.00015209837735165644,0.00015314703328911275,0.0001541982632586358,0.00015525206007722633,0.00015630841663164988,0.00015736732587719667,0.00015842878083642968,0.00015949277459800942,0.0001605593003155522,0.00016162835120645737
9,TOI-3235b,0.0001180473923632064,0.00011896367317046083,0.00011988804609168245,0.00012082034748277992,0.00012176042098250774,0.00012270811709103532,0.00012366329277760645,0.0001246258111149425,0.00012559554093836042,0.00012657235652760668,0.00012755613730969462,0.00012854676758118543,0.0001295441362483783,0.00013054813658410885,0.0001315586659999708,0.0001325756258327592,0.00013359892114415568,0.00013462846053270689,0.00013566415595722792,0.00013670592257077982,0.00013775367856456324,0.00013880734502101026,0.0001398668457754073,0.0001409321072855508,0.0001420030585088617,0.00014307963078642158,0.000144161757733568,0.00014524937513654245,0.00014634242085484041,0.00014744083472888983,0.00014854455849271992,0.00014965353569130953,0.00015076771160232253,0.00015188703316196074,0.0001530114488946823,0.00015414090884655036,0.0001552753645220065,0.00015641476882381948,0.00015755907599611176,0.0001587082415701827,0.00015986222231301032,0.00016102097617832367,0.00016218446226000914,0.00016335264074776194,0.0001645254728849043,0.00016570292092815542,0.000166884948109304,0.00016807151859867843,0.00016926259747031895,0.00017045815066869758,0.00017165814497699928,0.0001728625479868358,0.00017407132806926406,0.00017528445434715292,0.00017650189666873036,0.00017772362558229833,0.0001789496123120434,0.00018017982873488766,0.00018141424735832858,0.00018265284129921692,0.00018389558426342784,0.0001851424505263794,0.00018639341491435632,0.0001876484527866144,0.00018890754001817383,0.00019017065298337573,0.00019143776854004487,0.0001927088640142822,0.00019398391718591492,0.0001952629062744638,0.00019654580992565658,0.00019783260719852011,0.00019912327755291102,0.0002004178008375359,0.00020171615727843824,0.00020301832746793418,0.0002043242923539012,0.00020563403322952151,0.00020694753172340442,0.00020826476979001046,0.00020958572970048169,0.0002109103940338042,0.00021223874566822387,0.00021357076777304344,0.00021490644380066227,0.00021624575747891138,0.0002175886928036524,0.00021893523403163374,0.0002202853656735888,0.0002216390724875846,0.00022299633947256287,0.00022435715186212835,0.00022572149511856083,0.00022708935492695825,0.00022846071718963756,0.00022983556802072015,0.00023121389374082817,0.00023259568087201656,0.00023398091613287318,0.00023536958643368663
