,Planet Name,TSM Estimate 1.95-2.015um,TSM Estimate 2.015-2.08um,TSM Estimate 2.08-2.145um,TSM Estimate 2.145-2.21um,TSM Estimate 2.21-2.275um,TSM Estimate 2.275-2.34um,TSM Estimate 2.34-2.405um,TSM Estimate 2.405-2.47um,TSM Estimate 2.47-2.535um,TSM Estimate 2.535-2.6um,TSM Estimate 2.6-2.665um,TSM Estimate 2.665-2.73um,TSM Estimate 2.73-2.795um,TSM Estimate 2.795-2.86um,TSM Estimate 2.86-2.925um,TSM Estimate 2.925-2.99um,TSM Estimate 2.99-3.055um,TSM Estimate 3.055-3.12um,TSM Estimate 3.12-3.185um,TSM Estimate 3.185-3.25um,TSM Estimate 3.25-3.315um,TSM Estimate 3.315-3.38um,TSM Estimate 3.38-3.445um,TSM Estimate 3.445-3.51um,TSM Estimate 3.51-3.575um,TSM Estimate 3.575-3.64um,TSM Estimate 3.64-3.705um,TSM Estimate 3.705-3.77um,TSM Estimate 3.77-3.835um,TSM Estimate 3.835-3.9um
0,TOI-5704b,2.161839672387361,2.092260743704276,2.0258572071655787,1.9624861778987863,1.9020034511502883,1.8442661351904879,1.7891344894270942,1.7364731729373795,1.686152056771013,1.6380467148060411,1.592038679170614,1.548015524723071,1.5058708309441418,1.4655040574653537,1.4268203603223297,1.3897303691307823,1.3541499401793438,1.3199998965006172,1.2872057630088802,1.2556975025476944,1.225409256995705,1.1962790963030605,1.1682487773734676,1.1412635139914495,1.1152717584633358,1.0902249952500596,1.0660775465858896,1.0427863898739587,1.0203109865084323,0.9986131216772309
1,TOI-672b,5.281928625662617,5.1334046493255565,4.989900419554036,4.851412635070889,4.717887999766546,4.589236370762617,4.465340974112332,4.346066330218457,4.231264388341111,4.120779259248803,4.014450849666348,3.9121176359528342,3.813618762993617,3.7187956142394447,3.62749296757914,3.5395598273037767,3.4548500032827087,3.373222493447362,3.2945417138594695,3.21867761132836,3.1455056861883692,3.0749069470339196,3.0067678146069765,2.9409799883816197,2.877440286493877,2.8160504673648616,2.7567170395369884,2.6993510647889627,2.6438679584415197,2.590187289846663
2,TOI-199b,4.189614374897245,4.0454138222222245,3.9086103399560765,3.7787616792528036,3.655446946980408,3.538267950170291,3.4268496317080386,3.3208398839668236,3.219908946352997,3.1237485343841493,3.0320708056610193,2.9446072374464856,2.861107468321234,2.781338140247739,2.7050817656789468,2.6321356358950467,2.562310780668454,2.4954309850061076,2.431331865634237,2.36986000773546,2.310872160967689,2.254234492807438,2.1998218966307417,2.1475173515723047,2.0972113310147633,2.048801256501501,2.0021909938974813,1.9572903887138444,1.9140148376444883,1.872284893517182
3,WASP-176b,2.798986173038953,2.697844109341837,2.60229751258158,2.511961440201771,2.4264786294392553,2.345518191408154,2.2687740904263816,2.1959635255875964,2.126825292506875,2.0611181759993333,1.998619405608468,1.9391231928957546,1.8824393604943974,1.8283920669001064,1.7768186269602313,1.7275684254249954,1.6805019193133626,1.6354897239177615,1.5924117768119042,1.5511565740843347,1.5116204730876475,1.4737070561959227,1.4373265503478323,1.4023952974828227,1.3688352713281626,1.3365736363487923,1.305542345018056,1.2756777698984334,1.2469203673345148,1.2192143698509907
4,TOI-1801b,2.4414925566279466,2.371402859825077,2.303812324396772,2.238697547753714,2.176014849373916,2.1157059675546255,2.0577024509429425,2.0019290360929047,1.9483062364413521,1.8967523174615712,1.847184793755187,1.799521553745774,1.7536816943596851,1.7095861300371982,1.667158026400041,1.6263230979880354,1.5870098009627707,1.549149445018516,1.5126762435245984,1.4775273168308802,1.4436426604498322,1.4109650872955697,1.3794401511637011,1.34901605706015,1.3196435627428398,1.291275874857413,1.2638685422714186,1.2373793485974416,1.2117682054118493,1.1869970472930935
5,TOI-836c,3.527239184472128,3.4142451874719457,3.3063627156238473,3.2033676996021194,3.1050326370950883,3.011131083499478,2.921440814474854,2.8357460003476813,2.7538386469160563,2.675519493562438,2.6005985120325845,2.5288951136154076,2.4602381456992912,2.394465738534957,2.3314250478359244,2.2709719273616846,2.2129705569379725,2.157293044786279,2.103819018047359,2.052435211607222,2.003035062475016,1.9555183148029935,1.9097906390122645,1.8657632672672009,1.8233526466303154,1.7824801105551804,1.7430715688805434,1.7050572161310737,1.6683712576782193,1.6329516531397188
6,TOI-3807b,2.9394917499028748,2.834389566715752,2.7350106008170525,2.640971744357342,2.5519157522002107,2.4675104045086766,2.387447347139229,2.311440751468723,2.23922589040109,2.1705576957443853,2.10520933997777,2.0429708698885594,1.9836479087144592,1.9270604359114412,1.8730416485139703,1.8214369045750636,1.7721027468799024,1.7249060036683033,1.679722962228541,1.6364386107611557,1.594945943726336,1.5551453258932024,1.5169439104386329,1.4802551066507146,1.4449980930456596,1.411097371984828,1.3784823621643472,1.3470870256330518,1.3168495262698645,1.287711916912303
7,TOI-4087b,3.2556753638147367,3.1372062742305267,3.0253590423359076,2.919670179620674,2.819710790882669,2.725084653533142,2.6354261203475584,2.5503979674154653,2.469689266566583,2.3930133322781724,2.3201057729811274,2.250722662994624,2.184638842093171,2.121646343595493,2.061552947912946,2.0041808560429315,1.9493654760737535,1.8969543150525732,1.8468059683268996,1.7987891985425706,1.752782096751674,1.7086713184757851,1.666351388028648,1.6257240648904518,1.5866977664188915,1.5491870416644877,1.5131120915183434,1.4783983308536246,1.4449759887261515,1.4127797430706428
8,TOI-2818b,4.7547365872154534,4.585299027617433,4.425041188243635,4.27335409034783,4.129668972216737,3.993456202585841,3.8642236246943993,3.741514569342802,3.624905700840495,3.514004807202051,3.408448608911076,3.3079006345053648,3.2120491929559045,3.1206054600698048,3.033301687342336,2.949889535680859,2.870138532412621,2.7938346473874667,2.720778982379597,2.650786567084042,2.5836852545759803,2.5193147090040386,2.4575254784125287,2.398178145853071,2.3411425522989893,2.2862970852777935,2.233528027560211,2.1827289606699103,2.1338002183964595,2.086648385893091
9,TOI-3235b,4.799556466603942,4.677212392991777,4.557895360417778,4.4417841938774325,4.328989798303364,4.21956991847918,4.113540913546728,4.01088715042899,3.9115684964267556,3.8155262928395937,3.7226881134816305,3.632971550181806,3.5462872183894145,3.4625411371623134,3.381636606964825,3.303475684167694,3.22796033160099,3.1549933089198396,3.084478854082001,3.0163231972628113,2.9504349405328196,2.886725330197848,2.8251084435314135,2.7655013074625403,2.707823963418875,2.6519994898073893,2.5979539914152605,2.545616563230363,2.494919234736543,2.445796899563702
