,Planet Name,Eclipse Flux Ratio 1.95-1.989um,Eclipse Flux Ratio 1.989-2.028um,Eclipse Flux Ratio 2.028-2.067um,Eclipse Flux Ratio 2.067-2.106um,Eclipse Flux Ratio 2.106-2.145um,Eclipse Flux Ratio 2.145-2.184um,Eclipse Flux Ratio 2.184-2.223um,Eclipse Flux Ratio 2.223-2.262um,Eclipse Flux Ratio 2.262-2.301um,Eclipse Flux Ratio 2.301-2.34um,Eclipse Flux Ratio 2.34-2.379um,Eclipse Flux Ratio 2.379-2.418um,Eclipse Flux Ratio 2.418-2.457um,Eclipse Flux Ratio 2.457-2.496um,Eclipse Flux Ratio 2.496-2.535um,Eclipse Flux Ratio 2.535-2.574um,Eclipse Flux Ratio 2.574-2.613um,Eclipse Flux Ratio 2.613-2.652um,Eclipse Flux Ratio 2.652-2.691um,Eclipse Flux Ratio 2.691-2.73um,Eclipse Flux Ratio 2.73-2.769um,Eclipse Flux Ratio 2.769-2.808um,Eclipse Flux Ratio 2.808-2.847um,Eclipse Flux Ratio 2.847-2.886um,Eclipse Flux Ratio 2.886-2.925um,Eclipse Flux Ratio 2.925-2.964um,Eclipse Flux Ratio 2.964-3.003um,Eclipse Flux Ratio 3.003-3.042um,Eclipse Flux Ratio 3.042-3.081um,Eclipse Flux Ratio 3.081-3.12um,Eclipse Flux Ratio 3.12-3.159um,Eclipse Flux Ratio 3.159-3.198um,Eclipse Flux Ratio 3.198-3.237um,Eclipse Flux Ratio 3.237-3.276um,Eclipse Flux Ratio 3.276-3.315um,Eclipse Flux Ratio 3.315-3.354um,Eclipse Flux Ratio 3.354-3.393um,Eclipse Flux Ratio 3.393-3.432um,Eclipse Flux Ratio 3.432-3.471um,Eclipse Flux Ratio 3.471-3.51um,Eclipse Flux Ratio 3.51-3.549um,Eclipse Flux Ratio 3.549-3.588um,Eclipse Flux Ratio 3.588-3.627um,Eclipse Flux Ratio 3.627-3.666um,Eclipse Flux Ratio 3.666-3.705um,Eclipse Flux Ratio 3.705-3.744um,Eclipse Flux Ratio 3.744-3.783um,Eclipse Flux Ratio 3.783-3.822um,Eclipse Flux Ratio 3.822-3.861um,Eclipse Flux Ratio 3.861-3.9um
0,TOI-5704b,3.048749014838409e-06,3.3969999750979965e-06,3.7683776662930483e-06,4.1630112414096025e-06,4.5809578751273265e-06,5.022206193247594e-06,5.486679982187735e-06,5.974242102392886e-06,6.484698537656392e-06,7.017802520339395e-06,7.57325868018397e-06,8.150727171709776e-06,8.749827741996714e-06,9.370143706938409e-06,1.0011225809779952e-05,1.0672595940925053e-05,1.1353750702620468e-05,1.2054164806219355e-05,1.27732942933176e-05,1.3510579575180047e-05,1.4265448287560676e-05,1.5037317960310818e-05,1.5825598503097507e-05,1.6629694510155602e-05,1.744900738830974e-05,1.8282937313555333e-05,1.9130885022314547e-05,1.9992253444111917e-05,2.0866449182870857e-05,2.1752883854340707e-05,2.26509752873467e-05,2.3560148596631112e-05,2.447983713503949e-05,2.540948333271896e-05,2.6348539430847368e-05,2.729646811721505e-05,2.8252743070746762e-05,2.9216849421787458e-05,3.0188284134689504e-05,3.1166556318939435e-05,3.2151187474752246e-05,3.314171167874684e-05,3.413767571500152e-05,3.513863915647596e-05,3.614417440147834e-05,3.71538666695564e-05,3.816731396090064e-05,3.9184126983065606e-05,4.0203929048546435e-05,4.122635594648953e-05
1,TOI-672b,1.147607815225219e-06,1.349734090013514e-06,1.5772538065671426e-06,1.8319413778811811e-06,2.115556372712449e-06,2.429833861924667e-06,2.7764753340143726e-06,3.1571402445817673e-06,3.573438248040491e-06,4.026922144714069e-06,4.5190815627760485e-06,5.051337382321394e-06,5.625036898222009e-06,6.241449709289196e-06,6.901764313579224e-06,7.607085383351078e-06,8.358431688117075e-06,9.156734630306911e-06,1.0002837355180774e-05,1.0897494394660125e-05,1.1841371803583336e-05,1.2835047746429284e-05,1.3879013492682432e-05,1.4973674779641514e-05,1.6119353502516067e-05,1.731628969302912e-05,1.856464374937954e-05,1.9864498882253316e-05,2.12158637435515e-05,2.2618675206576258e-05,2.4072801268546192e-05,2.5578044048460742e-05,2.713414285547171e-05,2.874077730502553e-05,3.0397570462091838e-05,3.210409199277512e-05,3.385986130750803e-05,3.5664350680836274e-05,3.7516988334517625e-05,3.941716147227228e-05,4.136421925603219e-05,4.335747571494289e-05,4.539621257967683e-05,4.747968203582042e-05,4.960710939120108e-05,5.1777695653032306e-05,5.399062001167428e-05,5.624504222863894e-05,5.854010492722155e-05,6.0874935784812615e-05
2,TOI-199b,4.1776945582782653e-11,5.989426786463618e-11,8.467317569546252e-11,1.1813014955962228e-10,1.627598285917006e-10,2.2161527565637598e-10,2.983951701455162e-10,3.9753753478179217e-10,5.243194691638252e-10,6.849622376874948e-10,8.867409458890143e-10,1.1380979397147784e-09,1.448758978704066e-09,1.8298511679664886e-09,2.2940215859693877e-09,2.8555555158040456e-09,3.5304931765616935e-09,4.336743858071775e-09,5.294196385516555e-09,6.424824879014137e-09,7.752788825598837e-09,9.304526545401134e-09,1.1108841208410729e-08,1.3196978641119675e-08,1.560269625171998e-08,1.8362322496545106e-08,2.1514806407355478e-08,2.5101756797246707e-08,2.9167470860908042e-08,3.375895198132246e-08,3.892591664859895e-08,4.472079048642215e-08,5.119869346672869e-08,5.841741447297254e-08,6.643737544615766e-08,7.532158541528304e-08,8.513558477468998e-08,9.594738022485738e-08,1.0782737084040539e-07,1.208482657694975e-07,1.350849941025989e-07,1.5061460747584663e-07,1.67516175995394e-07,1.8587067808430766e-07,2.0576088486324835e-07,2.2727123968066857e-07,2.50487733407981e-07,2.7549777611047727e-07,3.023900656961891e-07,3.3125445413269884e-07
3,WASP-176b,0.00024199947991754582,0.0002540313349544337,0.0002661100993260771,0.00027822114158193947,0.0002903508316485236,0.0003024865049951768,0.0003146164237528817,0.0003267297357693619,0.00033881643241932537,0.0003508673058453802,0.0003628739061811482,0.00037482849920144256,0.0003867240247532116,0.00039855405624345495,0.0004103127613948474,0.0004219948644248437,0.0004335956097581723,0.0004451107273446307,0.0004565363996228699,0.00046786923014541026,0.0004791062138596004,0.0004902447090228959,0.0005012824107180039,0.0005122173259235773,0.0005230477500887396,0.0005337722451543953,0.0005443896189606166,0.0005548989059771571,0.000565299349293019,0.0005755903838007821,0.0005857716205119402,0.0005958428319405743,0.0006058039384942331,0.0006156549958127696,0.000625396182998003,0.0006350277916793719,0.0006445502158631435,0.0006539639425152295,0.0006632695428301348,0.0006724676641410596,0.0006815590224286311,0.0006905443953881202,0.0006994246160173508,0.0007082005666897434,0.0007168731736791055,0.0007254434021048503,0.0007339122512683021,0.0007422807503526251,0.0007505499544606941,0.0007587209409669135
4,TOI-1801b,3.2184767866608644e-09,4.088439818678014e-09,5.145045606495386e-09,6.417626754804549e-09,7.938267632109787e-09,9.741823474562453e-09,1.186591609273509e-08,1.4350906401521134e-08,1.7239844349771764e-08,2.0578397143107422e-08,2.441475692733718e-08,2.8799529329553377e-08,3.3785604439173165e-08,3.942801195309652e-08,4.5783762309831184e-08,5.2911675699721943e-08,6.087220086565038e-08,6.972722560440493e-08,7.953988084722226e-08,9.037434014264715e-08,1.0229561628966719e-07,1.1536935677773725e-07,1.2966163958626546e-07,1.4523877078257454e-07,1.6216708523721453e-07,1.805127516513731e-07,2.0034158296529362e-07,2.2171885309109752e-07,2.4470912078987607e-07,2.6937606139278824e-07,2.9578230695036903e-07,3.239892952841959e-07,3.540571283111797e-07,3.860444399136077e-07,4.200082735379432e-07,4.5600396962248314e-07,4.940850628784145e-07,5.343031893804728e-07,5.767080033621821e-07,6.213471035563727e-07,6.682659688740478e-07,7.175079031733245e-07,7.691139888349009e-07,8.231230488308266e-07,8.795716169488974e-07,9.384939158154382e-07,9.999218423441628e-07,1.0638849602277243e-06,1.1304104990813104e-06,1.1995233598436438e-06
5,TOI-836c,8.714318827307966e-08,1.0365562589036825e-07,1.2244834276141614e-07,1.43708710289349e-07,1.6762567455653305e-07,1.9438871994406184e-07,2.2418685776433443e-07,2.5720765025837984e-07,2.936362787547842e-07,3.336546632627623e-07,3.774406393091344e-07,4.2516719645119453e-07,4.770017816215433e-07,5.33105669297815e-07,5.936333994459348e-07,6.587322832622143e-07,7.285419759359641e-07,8.031941149666191e-07,8.828120219920988e-07,9.675104656112029e-07,1.0573954823042726e-06,1.152564252264949e-06,1.2531050267427265e-06,1.3590971033526088e-06,1.4706108457261669e-06,1.5877077438495763e-06,1.710440511451059e-06,1.8388532168557337e-06,1.9729814438135338e-06,2.112852478919556e-06,2.2584855223809114e-06,2.409891919034881e-06,2.567075406685647e-06,2.7300323789977146e-06,2.898752160359895e-06,3.073217290311571e-06,3.253403815300977e-06,3.4392815857211264e-06,3.6308145563410526e-06,3.8279610884175245e-06,4.030674251933648e-06,4.2389021265652146e-06,4.452588100122953e-06,4.671671163358229e-06,4.896086200151041e-06,5.125764272222423e-06,5.360632897628522e-06,5.6006163224002975e-06,5.845635784792069e-06,6.095609771693229e-06
6,TOI-3807b,0.00043361952703359786,0.0004565820476300197,0.0004797064001635072,0.0005029622693249453,0.0005263211300929661,0.0005497562119861401,0.0005732424534979504,0.0005967564489096772,0.0006202763893625896,0.0006437819997904268,0.0006672544730644261,0.0006906764024840568,0.0007140317135548415,0.000737305595827791,0.0007604844354305388,0.0007835557487960032,0.0008065081179880001,0.0008293311279326161,0.000852015305787453,0.0008745520626162666,0.0008969336374824898,0.0009191530440302475,0.0009412040195844796,0.0009630809767715389,0.000984778957637206,0.0010062935902195582,0.0010276210475187947,0.0010487580087943425,0.0010697016231107444,0.001090449475047488,0.0011109995524836557,0.0011313502163657232,0.0011515001723656226,0.0011714484443361823,0.0011911943494719124,0.0012107374750846961,0.0012300776569061178,0.0012492149588307752,0.0012681496540178014,0.0012868822072710114,0.0013054132586213846,0.0013237436080389565,0.001341874201204671,0.0013598061162761446,0.0013775405515846892,0.0013950788142042855,0.0014124223093364356,0.0014295725304579688,0.0014465310501819342,0.0014632995117846125
7,TOI-4087b,0.000196500315157849,0.00020927317098442099,0.0002222845448253089,0.00023551483937290282,0.0002489450006447778,0.000262556570138004,0.00027633172524280407,0.0002902533093008511,0.0003043048525952826,0.0003184705854571853,0.00033273544457026766,0.00034708507345421007,0.00036150581800962296,0.00037598471791487436,0.00039050949457809336,0.0004050685362669027,0.0004196508809640505,0.00043424619742911044,0.00044884476488467627,0.0004634374516897089,0.0004780156933126099,0.000492571469871821,0.0005070972834719132,0.0005215861355278149,0.0005360315042386716,0.0005504273223454458,0.0005647679552823674,0.000579048179811433,0.00059326316321098,0.0006074084430736195,0.0006214799077552817,0.0006354737775055006,0.0006493865862991493,0.0006632151643814312,0.0006769566215308383,0.0006906083310388404,0.0007041679144001418,0.0007176332267032837,0.0007310023427080704,0.00074427354359365,0.0007574453043590221,0.0007705162818561298,0.0007834853034345398,0.0007963513561758834,0.0008091135766957034,0.0008217712414900975,0.0008343237578044699,0.0008467706550018403,0.0008591115764083977,0.0008713462716143877
8,TOI-2818b,0.00018290380960052903,0.00019564010904826604,0.00020867190268676332,0.00022197952139834276,0.00023554358530566687,0.00024934508337823476,0.0002633654400462968,0.0002775865700412112,0.0002919909226407553,0.00030656151644302404,0.0003212819657279257,0.00033613649939467525,0.0003511099733900305,0.0003661878774675896,0.00038135633704497273,0.00039660211085445834,0.00041191258501451134,0.00042727576408523624,0.00044268025961052295,0.0004581152765936987,0.00047357059830190794,0.0004890365697472069,0.0005045040801493141,0.0005199645446459392,0.0005354098854814182,0.0005508325128727639,0.000566225305723921,0.0005815815923338061,0.0005968951312212912,0.0006121600921704463,0.0006273710375818693,0.000642522904200545,0.0006576109852771991,0.0006726309132083626,0.0006875786426901398,0.0007024504344118184,0.000717242839307832,0.0007319526833800461,0.0007465770530967399,0.0007611132813699186,0.0007755589341086048,0.0007899117973423959,0.0008041698649068251,0.0008183313266797862,0.0008323945573564507,0.0008463581057486466,0.0008602206845935592,0.000873981160855741,0.0008876385465058376,0.0009011919897590321
9,TOI-3235b,4.1283654749753e-06,4.960164673353554e-06,5.916538841683416e-06,7.009223619328318e-06,8.250241517525589e-06,9.651841322946905e-06,1.1226436709220661e-05,1.2986544816704311e-05,1.4944725494331472e-05,1.711352182558011e-05,1.9505402485993915e-05,2.2132706404348456e-05,2.5007590125243088e-05,2.814197819902628e-05,3.154751685662185e-05,3.523553116283821e-05,3.92169857826778e-05,4.350244944137279e-05,4.810206311054278e-05,5.3025511910022016e-05,5.828200067744737e-05,6.388023312546117e-05,6.982839447910083e-05,7.613413746331664e-05,8.280457149225077e-05,8.984625489755549e-05,9.726519002225654e-05,0.00010506682099912697,0.00011325603402785021,0.00012183715996307524,0.00013081397902548633,0.0001401897274498968,0.00014996710588785096,0.00016014828938702553,0.00017073493877560805,0.00018172821328657886,0.00019312878426425487,0.00020493684980337856,0.00021715215017930315,0.0002297739839363153,0.0002428012245097267,0.00025623233726594137,0.00027006539685321484,0.0002842981047641755,0.0002989278070193042,0.00031395151188845803,0.00032936590757511687,0.0003451673797952786,0.00036135202918986754,0.00037791568851607634
