,Planet Name,Full Phase Curve Noise Estimate 1.95-1.989um,Full Phase Curve Noise Estimate 1.989-2.028um,Full Phase Curve Noise Estimate 2.028-2.067um,Full Phase Curve Noise Estimate 2.067-2.106um,Full Phase Curve Noise Estimate 2.106-2.145um,Full Phase Curve Noise Estimate 2.145-2.184um,Full Phase Curve Noise Estimate 2.184-2.223um,Full Phase Curve Noise Estimate 2.223-2.262um,Full Phase Curve Noise Estimate 2.262-2.301um,Full Phase Curve Noise Estimate 2.301-2.34um,Full Phase Curve Noise Estimate 2.34-2.379um,Full Phase Curve Noise Estimate 2.379-2.418um,Full Phase Curve Noise Estimate 2.418-2.457um,Full Phase Curve Noise Estimate 2.457-2.496um,Full Phase Curve Noise Estimate 2.496-2.535um,Full Phase Curve Noise Estimate 2.535-2.574um,Full Phase Curve Noise Estimate 2.574-2.613um,Full Phase Curve Noise Estimate 2.613-2.652um,Full Phase Curve Noise Estimate 2.652-2.691um,Full Phase Curve Noise Estimate 2.691-2.73um,Full Phase Curve Noise Estimate 2.73-2.769um,Full Phase Curve Noise Estimate 2.769-2.808um,Full Phase Curve Noise Estimate 2.808-2.847um,Full Phase Curve Noise Estimate 2.847-2.886um,Full Phase Curve Noise Estimate 2.886-2.925um,Full Phase Curve Noise Estimate 2.925-2.964um,Full Phase Curve Noise Estimate 2.964-3.003um,Full Phase Curve Noise Estimate 3.003-3.042um,Full Phase Curve Noise Estimate 3.042-3.081um,Full Phase Curve Noise Estimate 3.081-3.12um,Full Phase Curve Noise Estimate 3.12-3.159um,Full Phase Curve Noise Estimate 3.159-3.198um,Full Phase Curve Noise Estimate 3.198-3.237um,Full Phase Curve Noise Estimate 3.237-3.276um,Full Phase Curve Noise Estimate 3.276-3.315um,Full Phase Curve Noise Estimate 3.315-3.354um,Full Phase Curve Noise Estimate 3.354-3.393um,Full Phase Curve Noise Estimate 3.393-3.432um,Full Phase Curve Noise Estimate 3.432-3.471um,Full Phase Curve Noise Estimate 3.471-3.51um,Full Phase Curve Noise Estimate 3.51-3.549um,Full Phase Curve Noise Estimate 3.549-3.588um,Full Phase Curve Noise Estimate 3.588-3.627um,Full Phase Curve Noise Estimate 3.627-3.666um,Full Phase Curve Noise Estimate 3.666-3.705um,Full Phase Curve Noise Estimate 3.705-3.744um,Full Phase Curve Noise Estimate 3.744-3.783um,Full Phase Curve Noise Estimate 3.783-3.822um,Full Phase Curve Noise Estimate 3.822-3.861um,Full Phase Curve Noise Estimate 3.861-3.9um
0,TOI-5704b,2.9304816849319656e-05,2.9888947572135336e-05,3.0479734087225673e-05,3.1077022438146624e-05,3.168066950622806e-05,3.229054193056171e-05,3.290651515875144e-05,3.352847261017804e-05,3.415630493639049e-05,3.4789909365580384e-05,3.542918912008902e-05,3.60740528975135e-05,3.6724414407348765e-05,3.738019195626931e-05,3.8041308076100794e-05,3.870768918936539e-05,3.9379265307972006e-05,4.0055969761212815e-05,4.0737738949732445e-05,4.142451212255766e-05,4.211623117466172e-05,4.281284046282873e-05,4.3514286637874945e-05,4.422051849152233e-05,4.4931486816395735e-05,4.564714427783082e-05,4.636744529630562e-05,4.709234593944482e-05,4.78218038226843e-05,4.855577801775753e-05,4.929422896827543e-05,5.0037118411741616e-05,5.078440930741608e-05,5.1536065769504124e-05,5.229205300519123e-05,5.3052337257115836e-05,5.3816885749881245e-05,5.458566664027139e-05,5.535864897087002e-05,5.6135802626780004e-05,5.691709829521297e-05,5.770250742770971e-05,5.849200220477439e-05,5.9285555502752574e-05,6.008314086276339e-05,6.088473246154007e-05,6.169030508402693e-05,6.249983409761122e-05,6.331329542786873e-05,6.413066553570144e-05
1,TOI-672b,3.864604031702903e-05,3.9314443331768455e-05,3.999235270320672e-05,4.0679462906850534e-05,4.137549278879709e-05,4.2080182989166155e-05,4.2793293689953035e-05,4.351460264058263e-05,4.4243903421968084e-05,4.498100391604021e-05,4.572572495286598e-05,4.6477899111689725e-05,4.723736965576285e-05,4.800398958380145e-05,4.8777620783355084e-05,4.955813327347211e-05,5.034540452579296e-05,5.113931885469158e-05,5.1939766868348214e-05,5.274664497370173e-05,5.3559854929168813e-05,5.4379303439770634e-05,5.520490179000504e-05,5.603656551038573e-05,5.6874214074034945e-05,5.771777062019671e-05,5.856716170187808e-05,5.9422317055152384e-05,6.028316938796985e-05,6.114965418653098e-05,6.202170953752006e-05,6.289927596467386e-05,6.378229627832848e-05,6.467071543673628e-05,6.556448041806033e-05,6.6463540102096e-05,6.736784516082839e-05,6.827734795705405e-05,6.919200245037734e-05,7.011176410991829e-05,7.103658983319191e-05,7.196643787062994e-05,7.290126775526854e-05,7.38410402372035e-05,7.478571722240803e-05,7.573526171557963e-05,7.668963776668832e-05,7.764881042095039e-05,7.861274567196248e-05,7.958141041774273e-05
2,TOI-199b,5.4217681597923414e-06,5.5377351514488805e-06,5.654908926412628e-06,5.773266848378363e-06,5.892787715222938e-06,6.013451622954869e-06,6.135239845657121e-06,6.258134729239358e-06,6.382119597152328e-06,6.507178666492018e-06,6.6332969731591156e-06,6.7604603049297075e-06,6.888655141456415e-06,7.017868600359633e-06,7.148088388680384e-06,7.2793027590675054e-06,7.411500470154121e-06,7.544670750649897e-06,7.678803266736626e-06,7.81388809240556e-06,7.949915682422976e-06,8.086876847644395e-06,8.224762732434789e-06,8.363564793981526e-06,8.503274783306687e-06,8.643884727814396e-06,8.785386915222697e-06,8.92777387874634e-06,9.071038383415544e-06,9.215173413423096e-06,9.36017216040725e-06,9.506028012586024e-06,9.652734544667614e-06,9.80028550846971e-06,9.948674824185496e-06,1.009789657224443e-05,1.0247944985715127e-05,1.0398814443207212e-05,1.0550499462233625e-05,1.0702994692992356e-05,1.085629491253893e-05,1.1010395019317652e-05,1.116529002802254e-05,1.132097506476664e-05,1.1477445362533662e-05,1.163469625689325e-05,1.1792723181959178e-05,1.1951521666574804e-05,1.2111087330709448e-05,1.2271415882048849e-05
3,WASP-176b,5.520808234996997e-05,5.6450920480592406e-05,5.770601803003622e-05,5.897318048473292e-05,6.025222439868178e-05,6.154297639803885e-05,6.284527229920453e-05,6.415895632523691e-05,6.548388040771765e-05,6.68199035630701e-05,6.816689133398249e-05,6.952471528788897e-05,7.089325256559e-05,7.227238547407809e-05,7.3662001118398e-05,7.506199106808542e-05,7.647225105429798e-05,7.789268069425493e-05,7.932318324003037e-05,8.0763665349099e-05,8.221403687438272e-05,8.36742106717712e-05,8.514410242336217e-05,8.662363047487855e-05,8.811271568584343e-05,8.961128129132523e-05,9.111925277414677e-05,9.263655774657482e-05,9.416312584065349e-05,9.569888860637998e-05,9.724377941704302e-05,9.879773338109704e-05,0.00010036068726001332,0.0001019325793916083,0.00010351334961838029,0.0001051029392204747,0.00010670129085287268,0.00010830834848648269,0.00010992405735285032,0.00011154836389216275,0.00011318121570434376,0.00011482256150299032,0.00011647235107192493,0.00011813053522421083,0.00011979706576342164,0.0001214718954470272,0.00012315497795173193,0.00012484626784064904,0.00012654572053218352,0.0001282532922704866
4,TOI-1801b,1.0222431706177784e-05,1.0403124961241145e-05,1.0586296530469912e-05,1.0771870096003335e-05,1.0959775341034212e-05,1.1149947319803566e-05,1.134232590652857e-05,1.1536855311943432e-05,1.173348365794919e-05,1.1932162602356603e-05,1.2132847006952845e-05,1.2335494643141737e-05,1.2540065930262623e-05,1.2746523702413542e-05,1.2954833000196404e-05,1.3164960884311834e-05,1.3376876268355325e-05,1.3590549768527442e-05,1.380595356827816e-05,1.4023061296163779e-05,1.4241847915424054e-05,1.4462289623969555e-05,1.4684363763639784e-05,1.4908048737734775e-05,1.5133323935935338e-05,1.5360169665845547e-05,1.558856709047323e-05,1.5818498171043974e-05,1.6049945614620873e-05,1.6282892826052667e-05,1.6517323863832726e-05,1.6753223399494362e-05,1.699057668020937e-05,1.7229369494292873e-05,1.7469588139345844e-05,1.7711219392801896e-05,1.795425048465874e-05,1.8198669072204545e-05,1.8444463216569697e-05,1.8691621360940034e-05,1.8940132310299047e-05,1.918998521256847e-05,1.944116954102948e-05,1.969367507792669e-05,1.9947491899154686e-05,2.0202610359944868e-05,2.0459021081471602e-05,2.071671493830965e-05,2.0975683046677326e-05,2.123591675340245e-05
5,TOI-836c,7.045345086179228e-06,7.185090019706647e-06,7.3264383379075445e-06,7.469352448644513e-06,7.613797421861359e-06,7.759740723569e-06,7.907151982094254e-06,8.056002782083314e-06,8.20626648245905e-06,8.357918055111082e-06,8.51093394159021e-06,8.66529192547847e-06,8.820971018444779e-06,8.977951358284464e-06,9.13621411747466e-06,9.295741420983715e-06,9.456516272242148e-06,9.618522486328727e-06,9.781744629549717e-06,9.946167964693462e-06,1.0111778401337734e-05,1.027856245065923e-05,1.0446507184266466e-05,1.0615600196636016e-05,1.0785829570775813e-05,1.0957183846791933e-05,1.1129651993066732e-05,1.1303223379789558e-05,1.1477887754615417e-05,1.1653635220245238e-05,1.1830456213748545e-05,1.2008341487466548e-05,1.2187282091351323e-05,1.2367269356612307e-05,1.254829488055237e-05,1.2730350512492923e-05,1.2913428340690244e-05,1.3097520680160402e-05,1.3282620061339038e-05,1.3468719219501494e-05,1.3655811084886698e-05,1.3843888773466057e-05,1.4032945578304061e-05,1.422297496146873e-05,1.4413970546445465e-05,1.4605926111018414e-05,1.4798835580582097e-05,1.4992693021853434e-05,1.518749263695439e-05,1.5383228757835538e-05
6,TOI-3807b,6.654120771870665e-05,6.80226201458506e-05,6.951880109229731e-05,7.102950738475845e-05,7.25545100520185e-05,7.409359303043916e-05,7.564655201818748e-05,7.721319345820297e-05,7.879333363296037e-05,8.038679785656296e-05,8.19934197518783e-05,8.361304060214854e-05,8.524550876799539e-05,8.689067916203392e-05,8.854841277431906e-05,9.021857624278681e-05,9.190104146360329e-05,9.359568523699384e-05,9.530238894468988e-05,9.702103825559469e-05,9.875152285672638e-05,0.00010049373620679574,0.00010224757531012982,0.00010401294050892887,0.00010578973529201251,0.0001075778661185046,0.00010937724225502055,0.00011118777562507871,0.00011300938066964656,0.00011484197421778364,0.00011668547536649763,0.00011853980536900144,0.00012040488753064663,0.0001222806471118858,0.0001241670112376588,0.00012606390881270789,0.00012797127044230201,0.0001298890283579546,0.00013181711634776522,0.00013375546969097247,0.0001357040250964498,0.00013766272064482608,0.00013963149573394104,0.00014161029102743568,0.00014359904840621253,0.0001455977109225863,0.00014760622275691596,0.00014962452917656737,0.00015165257649704317,0.00015369031204510655
7,TOI-4087b,5.664919629657279e-05,5.793387327553856e-05,5.923113810593088e-05,6.054079591680535e-05,6.18626627256434e-05,6.319656446829064e-05,6.454233613891089e-05,6.589982102530155e-05,6.726887002713166e-05,6.86493410464654e-05,7.004109844153208e-05,7.14440125359547e-05,7.285795917673787e-05,7.428281933526927e-05,7.571847874632233e-05,7.716482758074071e-05,7.862176014803567e-05,8.00891746256121e-05,8.156697281175563e-05,8.305505989985277e-05,8.4553344271659e-05,8.606173730764139e-05,8.758015321269194e-05,8.910850885571004e-05,9.064672362167182e-05,9.2194719275031e-05,9.37524198333734e-05,9.531975145036538e-05,9.689664230718203e-05,9.848302251163211e-05,0.00010007882400431685,0.00010168398047121035,0.00010329842726211586,0.00010492210131450954,0.00010655494108231271,0.00010819688646922252,0.00010984787876620312,0.00011150786059282366,0.00011317677584216631,0.00011485456962898388,0.00011654118824090998,0.00011823657909247614,0.00011994069068171381,0.0001216534725491928,0.00012337487523928983,0.00012510485026355264,0.00012684335006599726,0.00012859032799022562,0.00013034573824823747,0.00013210953589080026
8,TOI-2818b,4.940725887687419e-05,5.050334657113992e-05,5.161039956873589e-05,5.2728235194588625e-05,5.385668152745093e-05,5.499557641577715e-05,5.614476660692155e-05,5.730410697440851e-05,5.847345983034629e-05,5.9652694311951226e-05,6.0841685832809776e-05,6.20403155908207e-05,6.324847012589556e-05,6.446604092148272e-05,6.569292404475164e-05,6.69290198209892e-05,6.817423253833344e-05,6.942847017947231e-05,7.069164417736671e-05,7.19636691924103e-05,7.324446290878675e-05,7.45339458480138e-05,7.583204119793268e-05,7.713867465561124e-05,7.845377428275928e-05,7.97772703724762e-05,8.110909532623916e-05,8.244918354016051e-05,8.379747129968598e-05,8.515389668194524e-05,8.65183994650836e-05,8.789092104395778e-05,8.927140435164542e-05,9.065979378627716e-05,9.205603514273138e-05,9.346007554881624e-05,9.487186340554492e-05,9.629134833118802e-05,9.771848110882315e-05,9.915321363706899e-05,0.00010059549888379976,0.00010204529084259933,0.00010350254449173527,0.00010496721575550108,0.00010643926146772589,0.00010791863933731563,0.00010940530791566745,0.00011089922656584326,0.00011240035543337832,0.0001139086554185942
9,TOI-3235b,8.379418724174922e-05,8.510135371404338e-05,8.643073222099544e-05,8.778147572438438e-05,8.915280846921615e-05,9.054401823648695e-05,9.195444959137858e-05,9.33834979810376e-05,9.483060455994021e-05,9.629525164035094e-05,9.777695868157982e-05,9.927527874501374e-05,0.00010078979535296299,0.00010232011969863152,0.00010386588816216443,0.00010542676009423656,0.00010700241583406964,0.00010859255493336461,0.00011019689456153211,0.00011181516807088859,0.00011344712370334931,0.00011509252342248595,0.0001167511418569269,0.00011842276534285421,0.00012010719105479863,0.00012180422621535011,0.00012351368737546341,0.00012523539975802645,0.00012696919665827224,0.00012871491889528304,0.00013047241430953857,0.0001322415373020047,0.00013402214841075978,0.00013581411392159923,0.0001376173055094148,0.00013943159990754421,0.00014125687860249737,0.00014309302755179595,0.0001449399369229006,0.00014679750085131967,0.00014866561721629996,0.00015054418743257547,0.00015243311625679905,0.0001543323116074828,0.00015624168439729575,0.00015816114837674238,0.0001600906199882875,0.00016203001823012367,0.0001639792645288218,0.0001659382826201481
