,Planet Name,Noise Estimate 1.95-1.989um,Full Phase Curve Noise Estimate 1.95-1.989um,Noise Estimate 1.989-2.028um,Full Phase Curve Noise Estimate 1.989-2.028um,Noise Estimate 2.028-2.067um,Full Phase Curve Noise Estimate 2.028-2.067um,Noise Estimate 2.067-2.106um,Full Phase Curve Noise Estimate 2.067-2.106um,Noise Estimate 2.106-2.145um,Full Phase Curve Noise Estimate 2.106-2.145um,Noise Estimate 2.145-2.184um,Full Phase Curve Noise Estimate 2.145-2.184um,Noise Estimate 2.184-2.223um,Full Phase Curve Noise Estimate 2.184-2.223um,Noise Estimate 2.223-2.262um,Full Phase Curve Noise Estimate 2.223-2.262um,Noise Estimate 2.262-2.301um,Full Phase Curve Noise Estimate 2.262-2.301um,Noise Estimate 2.301-2.34um,Full Phase Curve Noise Estimate 2.301-2.34um,Noise Estimate 2.34-2.379um,Full Phase Curve Noise Estimate 2.34-2.379um,Noise Estimate 2.379-2.418um,Full Phase Curve Noise Estimate 2.379-2.418um,Noise Estimate 2.418-2.457um,Full Phase Curve Noise Estimate 2.418-2.457um,Noise Estimate 2.457-2.496um,Full Phase Curve Noise Estimate 2.457-2.496um,Noise Estimate 2.496-2.535um,Full Phase Curve Noise Estimate 2.496-2.535um,Noise Estimate 2.535-2.574um,Full Phase Curve Noise Estimate 2.535-2.574um,Noise Estimate 2.574-2.613um,Full Phase Curve Noise Estimate 2.574-2.613um,Noise Estimate 2.613-2.652um,Full Phase Curve Noise Estimate 2.613-2.652um,Noise Estimate 2.652-2.691um,Full Phase Curve Noise Estimate 2.652-2.691um,Noise Estimate 2.691-2.73um,Full Phase Curve Noise Estimate 2.691-2.73um,Noise Estimate 2.73-2.769um,Full Phase Curve Noise Estimate 2.73-2.769um,Noise Estimate 2.769-2.808um,Full Phase Curve Noise Estimate 2.769-2.808um,Noise Estimate 2.808-2.847um,Full Phase Curve Noise Estimate 2.808-2.847um,Noise Estimate 2.847-2.886um,Full Phase Curve Noise Estimate 2.847-2.886um,Noise Estimate 2.886-2.925um,Full Phase Curve Noise Estimate 2.886-2.925um,Noise Estimate 2.925-2.964um,Full Phase Curve Noise Estimate 2.925-2.964um,Noise Estimate 2.964-3.003um,Full Phase Curve Noise Estimate 2.964-3.003um,Noise Estimate 3.003-3.042um,Full Phase Curve Noise Estimate 3.003-3.042um,Noise Estimate 3.042-3.081um,Full Phase Curve Noise Estimate 3.042-3.081um,Noise Estimate 3.081-3.12um,Full Phase Curve Noise Estimate 3.081-3.12um,Noise Estimate 3.12-3.159um,Full Phase Curve Noise Estimate 3.12-3.159um,Noise Estimate 3.159-3.198um,Full Phase Curve Noise Estimate 3.159-3.198um,Noise Estimate 3.198-3.237um,Full Phase Curve Noise Estimate 3.198-3.237um,Noise Estimate 3.237-3.276um,Full Phase Curve Noise Estimate 3.237-3.276um,Noise Estimate 3.276-3.315um,Full Phase Curve Noise Estimate 3.276-3.315um,Noise Estimate 3.315-3.354um,Full Phase Curve Noise Estimate 3.315-3.354um,Noise Estimate 3.354-3.393um,Full Phase Curve Noise Estimate 3.354-3.393um,Noise Estimate 3.393-3.432um,Full Phase Curve Noise Estimate 3.393-3.432um,Noise Estimate 3.432-3.471um,Full Phase Curve Noise Estimate 3.432-3.471um,Noise Estimate 3.471-3.51um,Full Phase Curve Noise Estimate 3.471-3.51um,Noise Estimate 3.51-3.549um,Full Phase Curve Noise Estimate 3.51-3.549um,Noise Estimate 3.549-3.588um,Full Phase Curve Noise Estimate 3.549-3.588um,Noise Estimate 3.588-3.627um,Full Phase Curve Noise Estimate 3.588-3.627um,Noise Estimate 3.627-3.666um,Full Phase Curve Noise Estimate 3.627-3.666um,Noise Estimate 3.666-3.705um,Full Phase Curve Noise Estimate 3.666-3.705um,Noise Estimate 3.705-3.744um,Full Phase Curve Noise Estimate 3.705-3.744um,Noise Estimate 3.744-3.783um,Full Phase Curve Noise Estimate 3.744-3.783um,Noise Estimate 3.783-3.822um,Full Phase Curve Noise Estimate 3.783-3.822um,Noise Estimate 3.822-3.861um,Full Phase Curve Noise Estimate 3.822-3.861um,Noise Estimate 3.861-3.9um,Full Phase Curve Noise Estimate 3.861-3.9um
0,TOI-5704b,9.373223118771311e-05,2.9304816849319656e-05,9.560058874259326e-05,2.9888947572135336e-05,9.74902350249694e-05,3.0479734087225673e-05,9.940067760108638e-05,3.1077022438146624e-05,0.0001013314587020953,3.168066950622806e-05,0.00010328215176960646,3.229054193056171e-05,0.00010525235841948912,3.290651515875144e-05,0.00010724170576555151,3.352847261017804e-05,0.00010924984405388317,3.415630493639049e-05,0.00011127644456613871,3.4789909365580384e-05,0.00011332119775641905,3.542918912008902e-05,0.00011538381159157552,3.60740528975135e-05,0.00011746401006914711,3.6724414407348765e-05,0.00011956153189087316,3.738019195626931e-05,0.00012167612927275056,3.8041308076100794e-05,0.00012380756687527196,3.870768918936539e-05,0.0001259556208396783,3.9379265307972006e-05,0.0001281200779179485,4.0055969761212815e-05,0.00013030073468586363,4.0737738949732445e-05,0.00013249739682983012,4.142451212255766e-05,0.00013470987849938435,4.211623117466172e-05,0.00013693800171822967,4.281284046282873e-05,0.0001391815958475919,4.3514286637874945e-05,0.00014144049709644035,4.422051849152233e-05,0.00014371454807368515,4.4931486816395735e-05,0.00014600359737815139,4.564714427783082e-05,0.00014830749922253343,4.636744529630562e-05,0.0001506261130879677,4.709234593944482e-05,0.00015295930340630581,4.78218038226843e-05,0.00015530693926740544,4.855577801775753e-05,0.00015766889414911073,4.929422896827543e-05,0.00016004504566781574,5.0037118411741616e-05,0.0001624352753477347,5.078440930741608e-05,0.00016483946840720475,5.1536065769504124e-05,0.00016725751356048914,5.229205300519123e-05,0.00016968930283377473,5.3052337257115836e-05,0.00017213473139408899,5.3816885749881245e-05,0.0001745936973900637,5.458566664027139e-05,0.00017706610180358493,5.535864897087002e-05,0.00017955184831135816,5.6135802626780004e-05,0.00018205084315565516,5.691709829521297e-05,0.00018456299502347462,5.770250742770971e-05,0.00018708821493342386,5.849200220477439e-05,0.0001896264161297774,5.9285555502752574e-05,0.00019217751398310537,6.008314086276339e-05,0.0001947414258970066,6.088473246154007e-05,0.0001973180712204591,6.169030508402693e-05,0.00019990737116539994,6.249983409761122e-05,0.00020250924872914695,6.331329542786873e-05,0.00020512362862127313,6.413066553570144e-05
1,TOI-672b,0.00012155953226155699,3.864604031702903e-05,0.00012366196648683355,3.9314443331768455e-05,0.00012579430256659099,3.999235270320672e-05,0.00012795557948608644,4.0679462906850534e-05,0.00013014491288726823,4.137549278879709e-05,0.00013236148696428747,4.2080182989166155e-05,0.0001346045473794619,4.2793293689953035e-05,0.00013687339505273757,4.351460264058263e-05,0.00013916738070135625,4.4243903421968084e-05,0.00014148590002582346,4.498100391604021e-05,0.00014382838945447502,4.572572495286598e-05,0.00014619432237220151,4.6477899111689725e-05,0.0001485832057699989,4.723736965576285e-05,0.0001509945772613674,4.800398958380145e-05,0.0001534280024192677,4.8777620783355084e-05,0.0001558830723939559,4.955813327347211e-05,0.00015835940177751046,5.034540452579296e-05,0.00016085662668554685,5.113931885469158e-05,0.00016337440303058984,5.1939766868348214e-05,0.00016591240496492113,5.274664497370173e-05,0.00016847032347367614,5.3559854929168813e-05,0.00017104786510133144,5.4379303439770634e-05,0.00017364475079691935,5.520490179000504e-05,0.00017626071486514074,5.603656551038573e-05,0.00017889550401200958,5.6874214074034945e-05,0.00018154887647517533,5.771777062019671e-05,0.00018422060123013886,5.856716170187808e-05,0.00018691045726460523,5.9422317055152384e-05,0.00018961823291419616,6.028316938796985e-05,0.00019234372525340557,6.114965418653098e-05,0.00019508673953644223,6.202170953752006e-05,0.00019784708868316337,6.289927596467386e-05,0.00020062459280583054,6.378229627832848e-05,0.00020341907877288756,6.467071543673628e-05,0.00020623037980632453,6.556448041806033e-05,0.00020905833510963774,6.6463540102096e-05,0.0002119027895235827,6.736784516082839e-05,0.00021476359320729297,6.827734795705405e-05,0.00021764060134259517,6.919200245037734e-05,0.00022053367385943578,7.011176410991829e-05,0.00022344267518071892,7.103658983319191e-05,0.00022636747398489256,7.196643787062994e-05,0.0002293079429847844,7.290126775526854e-05,0.00023226395872143307,7.38410402372035e-05,0.00023523540137164217,7.478571722240803e-05,0.00023822215456820742,7.573526171557963e-05,0.00024122410523178637,7.668963776668832e-05,0.00024424114341354273,7.764881042095039e-05,0.00024727316214773177,7.861274567196248e-05,0.0002503200573134293,7.958141041774273e-05
2,TOI-199b,8.702764344920004e-05,5.4217681597923414e-06,8.888909043555519e-05,5.5377351514488805e-06,9.076990813350935e-05,5.654908926412628e-06,9.266973319585889e-05,5.773266848378363e-06,9.458822529620857e-05,5.892787715222938e-06,9.652506494515509e-05,6.013451622954869e-06,9.847995156318586e-05,6.135239845657121e-06,0.0001004526017752406,6.258134729239358e-06,0.00010244274789728343,6.382119597152328e-06,0.00010445013658964686,6.507178666492018e-06,0.00010647452765572694,6.6332969731591156e-06,0.00010851569296766593,6.7604603049297075e-06,0.00011057341550327914,6.888655141456415e-06,0.00011264748848073707,7.017868600359633e-06,0.00011473771457930981,7.148088388680384e-06,0.0001168439052361045,7.2793027590675054e-06,0.00011896588001004747,7.411500470154121e-06,0.00012110346600550989,7.544670750649897e-06,0.00012325649734895765,7.678803266736626e-06,0.00012542481471281992,7.81388809240556e-06,0.00012760826488154552,7.949915682422976e-06,0.0001298067003553584,8.086876847644395e-06,0.00013201997898781755,8.224762732434789e-06,0.00013424796365375837,8.363564793981526e-06,0.00013649052194451112,8.503274783306687e-06,0.00013874752588775927,8.643884727814396e-06,0.00014101885168962152,8.785386915222697e-06,0.00014330437949681288,8.92777387874634e-06,0.00014560399317703983,9.071038383415544e-06,0.0001479175801159025,9.215173413423096e-06,0.0001502450310288167,9.36017216040725e-06,0.00015258623978660316,9.506028012586024e-06,0.00015494110325353427,9.652734544667614e-06,0.00015730952113675973,9.80028550846971e-06,0.00015969139584611264,9.948674824185496e-06,0.00016208663236346244,1.009789657224443e-05,0.0001644951381207699,1.0247944985715127e-05,0.00016691682288615063,1.0398814443207212e-05,0.0001693515986573303,1.0550499462233625e-05,0.00017179937956183187,1.0702994692992356e-05,0.0001742600817634351,1.085629491253893e-05,0.00017673362337439474,1.1010395019317652e-05,0.00017921992437295055,1.116529002802254e-05,0.00018171890652578758,1.132097506476664e-05,0.00018423049331502792,1.1477445362533662e-05,0.00018675460986945438,1.163469625689325e-05,0.00018929118289963312,1.1792723181959178e-05,0.00019184014063668457,1.1951521666574804e-05,0.00019440141277443982,1.2111087330709448e-05,0.0001969749304147121,1.2271415882048849e-05
3,WASP-176b,0.00014662382696366773,5.520808234996997e-05,0.0001499246060389679,5.6450920480592406e-05,0.00015325794416771516,5.770601803003622e-05,0.0001566233247530165,5.897318048473292e-05,0.0001600202605916668,6.025222439868178e-05,0.00016344829123049665,6.154297639803885e-05,0.00016690698062415412,6.284527229920453e-05,0.00017039591505402411,6.415895632523691e-05,0.00017391470127409568,6.548388040771765e-05,0.0001774629648545632,6.68199035630701e-05,0.00018104034869833555,6.816689133398249e-05,0.00018464651170908204,6.952471528788897e-05,0.0001882811275924405,7.089325256559e-05,0.00019194388377462778,7.227238547407809e-05,0.00019563448042471916,7.3662001118398e-05,0.00019935262956876298,7.506199106808542e-05,0.0002030980542854092,7.647225105429798e-05,0.00020687048797406502,7.789268069425493e-05,0.00021066967368773036,7.932318324003037e-05,0.00021449536352360365,8.0763665349099e-05,0.00021834731806547966,8.221403687438272e-05,0.00022222530587255455,8.36742106717712e-05,0.00022612910300998066,8.514410242336217e-05,0.00023005849261707224,8.662363047487855e-05,0.00023401326450939451,8.811271568584343e-05,0.0002379932148115804,8.961128129132523e-05,0.00024199814561793882,9.111925277414677e-05,0.00024602786467824096,9.263655774657482e-05,0.000250082185106463,9.416312584065349e-05,0.00025416092511035753,9.569888860637998e-05,0.00025826390774004747,9.724377941704302e-05,0.00026239096065397806,9.879773338109704e-05,0.0002665419159007425,0.00010036068726001332,0.00027071660971545456,0.0001019325793916083,0.0002749148823294219,0.00010351334961838029,0.00027913657779211285,0.0001051029392204747,0.0002833815438043392,0.00010670129085287268,0.00028764963156180514,0.00010830834848648269,0.00029194069560826497,0.00010992405735285032,0.00029625459369743174,0.00011154836389216275,0.00030059118666309325,0.00011318121570434376,0.00030495033829677483,0.00011482256150299032,0.0003093319152323494,0.00011647235107192493,0.0003137357868371887,0.00011813053522421083,0.0003181618251093013,0.00011979706576342164,0.00032260990458009156,0.0001214718954470272,0.00032707990222230346,0.00012315497795173193,0.00033157169736284083,0.00012484626784064904,0.0003360851716001257,0.00012654572053218352,0.0003406202087256297,0.0001282532922704866
4,TOI-1801b,5.316945159659236e-05,1.0222431706177784e-05,5.4109282896528163e-05,1.0403124961241145e-05,5.50620045349711e-05,1.0586296530469912e-05,5.602721956343381e-05,1.0771870096003335e-05,5.700456224642549e-05,1.0959775341034212e-05,5.799369478463502e-05,1.1149947319803566e-05,5.899430444866579e-05,1.134232590652857e-05,6.0006101064442515e-05,1.1536855311943432e-05,6.1028814800857406e-05,1.173348365794919e-05,6.206219421796303e-05,1.1932162602356603e-05,6.310600454050326e-05,1.2132847006952845e-05,6.416002612687372e-05,1.2335494643141737e-05,6.522405310805209e-05,1.2540065930262623e-05,6.629789217478656e-05,1.2746523702413542e-05,6.738136149440964e-05,1.2954833000196404e-05,6.847428974129809e-05,1.3164960884311834e-05,6.95765152272032e-05,1.3376876268355325e-05,7.068788511955573e-05,1.3590549768527442e-05,7.180825473744678e-05,1.380595356827816e-05,7.293748691633085e-05,1.4023061296163779e-05,7.407545143368842e-05,1.4241847915424054e-05,7.522202448883505e-05,1.4462289623969555e-05,7.63770882309499e-05,1.4684363763639784e-05,7.754053033013664e-05,1.4908048737734775e-05,7.871224358691476e-05,1.5133323935935338e-05,7.989212557615471e-05,1.5360169665845547e-05,8.108007832189807e-05,1.558856709047323e-05,8.227600799991883e-05,1.5818498171043974e-05,8.347982466528036e-05,1.6049945614620873e-05,8.469144200240563e-05,1.6282892826052667e-05,8.59107770954885e-05,1.6517323863832726e-05,8.713775021729866e-05,1.6753223399494362e-05,8.837228463464696e-05,1.699057668020937e-05,8.961430642896757e-05,1.7229369494292873e-05,9.086374433061913e-05,1.7469588139345844e-05,9.212052956569105e-05,1.7711219392801896e-05,9.338459571417315e-05,1.795425048465874e-05,9.465587857850088e-05,1.8198669072204545e-05,9.593431606159513e-05,1.8444463216569697e-05,9.721984805354382e-05,1.8691621360940034e-05,9.851241632623593e-05,1.8940132310299047e-05,9.981196443526892e-05,1.918998521256847e-05,0.00010111843762851696,1.944116954102948e-05,0.00010243178276085121,1.969367507792669e-05,0.00010375194821449049,1.9947491899154686e-05,0.00010507888382455509,2.0202610359944868e-05,0.00010641254080940186,2.0459021081471602e-05,0.00010775287170538715,2.071671493830965e-05,0.00010909983030571656,2.0975683046677326e-05,0.000110453371603054,2.123591675340245e-05
5,TOI-836c,3.7717502095495414e-05,7.045345086179228e-06,3.846563149990103e-05,7.185090019706647e-06,3.9222344680408745e-05,7.3264383379075445e-06,3.998744038619208e-05,7.469352448644513e-06,4.076073161796974e-05,7.613797421861359e-06,4.154204420388974e-05,7.759740723569e-06,4.233121554813415e-05,7.907151982094254e-06,4.3128093528109476e-05,8.056002782083314e-06,4.3932535519874605e-05,8.20626648245905e-06,4.4744407534562565e-05,8.357918055111082e-06,4.556358345118903e-05,8.51093394159021e-06,4.638994433338098e-05,8.66529192547847e-06,4.7223377819371666e-05,8.820971018444779e-06,4.8063777576151475e-05,8.977951358284464e-06,4.891104280991624e-05,9.13621411747466e-06,4.97650778260569e-05,9.295741420983715e-06,5.0625791632842406e-05,9.456516272242148e-06,5.149309758372913e-05,9.618522486328727e-06,5.2366913053896195e-05,9.781744629549717e-06,5.324715914716396e-05,9.946167964693462e-06,5.4133760429962696e-05,1.0111778401337734e-05,5.5026644689403605e-05,1.027856245065923e-05,5.5925742712889295e-05,1.0446507184266466e-05,5.6830988087014874e-05,1.0615600196636016e-05,5.774231701374523e-05,1.0785829570775813e-05,5.865966814213617e-05,1.0957183846791933e-05,5.9582982414035606e-05,1.1129651993066732e-05,6.051220292237931e-05,1.1303223379789558e-05,6.144727478087864e-05,1.1477887754615417e-05,6.238814500399579e-05,1.1653635220245238e-05,6.333476239624696e-05,1.1830456213748545e-05,6.428707744996638e-05,1.2008341487466548e-05,6.524504225075846e-05,1.2187282091351323e-05,6.620861038994882e-05,1.2367269356612307e-05,6.717773688340356e-05,1.254829488055237e-05,6.815237809617891e-05,1.2730350512492923e-05,6.913249167247727e-05,1.2913428340690244e-05,7.011803647046755e-05,1.3097520680160402e-05,7.11089725015749e-05,1.3282620061339038e-05,7.210526087384099e-05,1.3468719219501494e-05,7.310686373905188e-05,1.3655811084886698e-05,7.411374424331898e-05,1.3843888773466057e-05,7.512586648082774e-05,1.4032945578304061e-05,7.614319545052993e-05,1.422297496146873e-05,7.716569701553094e-05,1.4413970546445465e-05,7.819333786497989e-05,1.4605926111018414e-05,7.922608547826322e-05,1.4798835580582097e-05,8.026390809134183e-05,1.4992693021853434e-05,8.130677466507223e-05,1.518749263695439e-05,8.235465485535296e-05,1.5383228757835538e-05
6,TOI-3807b,0.0002492329407624672,6.654120771870665e-05,0.0002547816343969435,6.80226201458506e-05,0.00026038564415240293,6.951880109229731e-05,0.0002660440592128889,7.102950738475845e-05,0.00027175602195691605,7.25545100520185e-05,0.0002775207231088821,7.409359303043916e-05,0.00028333739744752963,7.564655201818748e-05,0.00028920531999660653,7.721319345820297e-05,0.0002951238026342607,7.879333363296037e-05,0.0003010921910669913,8.038679785656296e-05,0.0003071098621221297,8.19934197518783e-05,0.0003131762213192679,8.361304060214854e-05,0.00031929070068662603,8.524550876799539e-05,0.00032545275679319555,8.689067916203392e-05,0.0003316618689712792,8.854841277431906e-05,0.0003379175377075597,9.021857624278681e-05,0.0003442192831836458,9.190104146360329e-05,0.0003505666439495099,9.359568523699384e-05,0.00035695917571535135,9.530238894468988e-05,0.0003633964502491554,9.702103825559469e-05,0.000369878054368928,9.875152285672638e-05,0.00037640358901971173,0.00010049373620679574,0.00038297266842680634,0.00010224757531012982,0.0003895849193176587,0.00010401294050892887,0.0003962399802055128,0.00010578973529201251,0.0004029375007290147,0.0001075778661185046,0.00040967714104239006,0.00010937724225502055,0.000416458571251408,0.00011118777562507871,0.00042328147089105126,0.00011300938066964656,0.00043014552844100357,0.00011484197421778364,0.0004370504408756452,0.00011668547536649763,0.0004439959132455158,0.00011853980536900144,0.0004509816582875279,0.00012040488753064663,0.00045800739606150854,0.0001222806471118858,0.00046507285361080186,0.0001241670112376588,0.00047217776464507756,0.00012606390881270789,0.0004793218692434015,0.00012797127044230201,0.0004865049135760072,0.0001298890283579546,0.0004937266496433885,0.00013181711634776522,0.0005009868350311641,0.00013375546969097247,0.0005082852326797116,0.0001357040250964498,0.0005156216106673768,0.00013766272064482608,0.0005229957420061752,0.00013963149573394104,0.0005304074044492353,0.00014161029102743568,0.0005378563803089905,0.00014359904840621253,0.0005453424562854492,0.0001455977109225863,0.000552865423303757,0.00014760622275691596,0.0005604250763604909,0.00014962452917656737,0.0005680212143780689,0.00015165257649704317,0.0005756536400666288,0.00015369031204510655
7,TOI-4087b,0.00017477127783232033,5.664919629657279e-05,0.00017873469923798633,5.793387327553856e-05,0.00018273695605567592,5.923113810593088e-05,0.00018677744707926096,6.054079591680535e-05,0.00019085560469504228,6.18626627256434e-05,0.00019497089188896352,6.319656446829064e-05,0.00019912279959324042,6.454233613891089e-05,0.00020331084432719394,6.589982102530155e-05,0.00020753456609391184,6.726887002713166e-05,0.00021179352649992276,6.86493410464654e-05,0.00021608730706999417,7.004109844153208e-05,0.00022041550773302892,7.14440125359547e-05,0.0002247777454583917,7.285795917673787e-05,0.00022917365302493848,7.428281933526927e-05,0.00023360287790728543,7.571847874632233e-05,0.00023806508126599188,7.716482758074071e-05,0.000242559937030028,7.862176014803567e-05,0.0002470871310613967,8.00891746256121e-05,0.0002516463603930618,8.156697281175563e-05,0.00025623733253238323,8.305505989985277e-05,0.0002608597648233178,8.4553344271659e-05,0.0002655133838612981,8.606173730764139e-05,0.0002701979249555317,8.758015321269194e-05,0.0002749131316340892,8.910850885571004e-05,0.00027965875518751545,9.064672362167182e-05,0.0002844345542474013,9.2194719275031e-05,0.0002892402943965884,9.37524198333734e-05,0.0002940757478080476,9.531975145036538e-05,0.0002989406929099187,9.689664230718203e-05,0.00030383491407429586,9.848302251163211e-05,0.0003087582013277128,0.00010007882400431685,0.00031371035008144124,0.00010168398047121035,0.0003186911608799153,0.00010329842726211586,0.00032370043916577857,0.00010492210131450954,0.0003287379950601356,0.00010655494108231271,0.00033380364315686726,0.00010819688646922252,0.00033889720232978124,0.00010984787876620312,0.0003440184955516315,0.00011150786059282366,0.00034916734972415057,0.00011317677584216631,0.00035434359551810853,0.00011485456962898388,0.00035954706722278885,0.00011654118824090998,0.00036477760260412436,0.00011823657909247614,0.00037003504277080773,0.00011994069068171381,0.0003753192320479192,0.0001216534725491928,0.0003806300178574339,0.00012337487523928983,0.0003859672506051949,0.00012510485026355264,0.00039133078357384997,0.00012684335006599726,0.0003967204728214045,0.00012859032799022562,0.00040213617708500154,0.00013034573824823747,0.00040757775768950847,0.00013210953589080026
8,TOI-2818b,0.00015224899273341905,4.940725887687419e-05,0.00015562659859929645,5.050334657113992e-05,0.00015903799416379296,5.161039956873589e-05,0.00016248261651173037,5.2728235194588625e-05,0.00016595993586596036,5.385668152745093e-05,0.00016946945255477358,5.499557641577715e-05,0.0001730106943285154,5.614476660692155e-05,0.00017658321397841036,5.730410697440851e-05,0.00018018658721775848,5.847345983034629e-05,0.00018382041079150266,5.9652694311951226e-05,0.000187484300785287,6.0841685832809776e-05,0.00019117789110917525,6.20403155908207e-05,0.00019490083213470044,6.324847012589556e-05,0.00019865278946695677,6.446604092148272e-05,0.00020243344283582345,6.569292404475164e-05,0.000206242485092614,6.69290198209892e-05,0.0002100796213002096,6.817423253833344e-05,0.00021394456790628643,6.942847017947231e-05,0.0002178370519905732,7.069164417736671e-05,0.00022175681057816702,7.19636691924103e-05,0.000225703590012006,7.324446290878675e-05,0.00022967714537830338,7.45339458480138e-05,0.00023367723997957642,7.583204119793268e-05,0.0002377036448505509,7.713867465561124e-05,0.00024175613831262197,7.845377428275928e-05,0.0002458345055632354,7.97772703724762e-05,0.00024993853829682525,8.110909532623916e-05,0.00025406803435431554,8.244918354016051e-05,0.0002582227973986307,8.379747129968598e-05,0.0002624026366137886,8.515389668194524e-05,0.0002666073664255046,8.65183994650836e-05,0.0002708368062414075,8.789092104395778e-05,0.00027509078020917035,8.927140435164542e-05,0.0002793691169910423,9.065979378627716e-05,0.00028367164955336584,9.205603514273138e-05,0.0002879982149699204,9.346007554881624e-05,0.0002923486542378803,9.487186340554492e-05,0.0002967228121054116,9.629134833118802e-05,0.0003011205369100455,9.771848110882315e-05,0.00030554168042686464,9.915321363706899e-05,0.0003099860977258743,0.00010059549888379976,0.00031445364703781484,0.00010204529084259933,0.00031894418962773966,0.00010350254449173527,0.0003234575896758914,0.00010496721575550108,0.0003279937141652562,0.00010643926146772589,0.00033255243277537875,0.00010791863933731563,0.0003371336177819494,0.00010940530791566745,0.0003417371439618119,0.00011089922656584326,0.0003463628885030102,0.00011240035543337832,0.0003510107309194701,0.0001139086554185942
9,TOI-3235b,0.0003246865664036037,8.379418724174922e-05,0.00032975158830521404,8.510135371404338e-05,0.00033490267762394853,8.643073222099544e-05,0.00034013655224751936,8.778147572438438e-05,0.00034545020627260926,8.915280846921615e-05,0.00035084087998580037,9.054401823648695e-05,0.000356306033701613,9.195444959137858e-05,0.00036184332489252053,9.33834979810376e-05,0.0003674505881382204,9.483060455994021e-05,0.00037312581749702583,9.629525164035094e-05,0.0003788671509649988,9.777695868157982e-05,0.0003846728567398691,9.927527874501374e-05,0.00039054132104966163,0.00010078979535296299,0.0003964710373418604,0.00010232011969863152,0.0004024605966585646,0.00010386588816216443,0.00040850867904831495,0.00010542676009423656,0.0004146140458862862,0.00010700241583406964,0.0004207755329923627,0.00010859255493336461,0.00042699204445170903,0.00011019689456153211,0.00043326254705517683,0.00011181516807088859,0.0004395860652879869,0.00011344712370334931,0.00044596167680417275,0.00011509252342248595,0.00045238850833245845,0.0001167511418569269,0.00045886573196611574,0.00011842276534285421,0.00046539256179495964,0.00012010719105479863,0.0004719682508431269,0.00012180422621535011,0.0004785920882803969,0.00012351368737546341,0.00048526339687864333,0.00012523539975802645,0.0004919815306885449,0.00012696919665827224,0.0004987458729142673,0.00012871491889528304,0.0005055558339665586,0.00013047241430953857,0.0005124108496768046,0.0001322415373020047,0.0005193103796565377,0.00013402214841075978,0.0005262539057886014,0.00013581411392159923,0.0005332409308375657,0.0001376173055094148,0.0005402709771685172,0.00013943159990754421,0.0005473435855641832,0.00014125687860249737,0.0005544583141316118,0.00014309302755179595,0.0005616147372905662,0.0001449399369229006,0.0005688124448362402,0.00014679750085131967,0.0005760510410701045,0.00014866561721629996,0.0005833301439929703,0.00015054418743257547,0.00059064938455495,0.00015243311625679905,0.0005980084059577611,0.0001543323116074828,0.0006054068630049101,0.00015624168439729575,0.0006128444214959771,0.00015816114837674238,0.0006203207576613773,0.0001600906199882875,0.0006278355576344861,0.00016203001823012367,0.0006353885169581837,0.0001639792645288218,0.0006429793401230436,0.0001659382826201481
