,Planet Name,Noise Estimate 3.9-4.29um,Full Phase Curve Noise Estimate 3.9-4.29um,Noise Estimate 4.29-4.68um,Full Phase Curve Noise Estimate 4.29-4.68um,Noise Estimate 4.68-5.07um,Full Phase Curve Noise Estimate 4.68-5.07um,Noise Estimate 5.07-5.46um,Full Phase Curve Noise Estimate 5.07-5.46um,Noise Estimate 5.46-5.85um,Full Phase Curve Noise Estimate 5.46-5.85um,Noise Estimate 5.85-6.24um,Full Phase Curve Noise Estimate 5.85-6.24um,Noise Estimate 6.24-6.63um,Full Phase Curve Noise Estimate 6.24-6.63um,Noise Estimate 6.63-7.02um,Full Phase Curve Noise Estimate 6.63-7.02um,Noise Estimate 7.02-7.41um,Full Phase Curve Noise Estimate 7.02-7.41um,Noise Estimate 7.41-7.8um,Full Phase Curve Noise Estimate 7.41-7.8um
0,TOI-5704b,6.936957086912865e-05,2.168797801435664e-05,7.806003283345296e-05,2.4404998541591097e-05,8.711290370978523e-05,2.7235324029737947e-05,9.651223897627189e-05,3.0173969520189572e-05,0.00010624431110240746,3.321664318331429e-05,0.00011629709307936346,3.635958484732809e-05,0.00012665990354306507,3.959945504816458e-05,0.00013732315274273959,4.293325560807356e-05,0.0001482781544446188,4.6358270828447815e-05,0.00015951698268407282,4.9872022704241576e-05
1,TOI-672b,8.441502012143433e-05,2.6837107796337473e-05,9.454983278503453e-05,3.0059153583419645e-05,0.00010511128434280522,3.341683582449417e-05,0.00011607876840071472,3.690360336294072e-05,0.0001274349492356567,4.051394484936838e-05,0.00013916490677954771,4.424311691612872e-05,0.00015125557218717675,4.80869647338182e-05,0.00016369533841722512,5.204179820772835e-05,0.00017647378135439976,5.61043033173756e-05,0.00018958145367436178,6.027147658232124e-05
2,TOI-199b,6.671906898127593e-05,4.156556578081119e-06,7.527295498581664e-05,4.689458365878965e-06,8.41833100968931e-05,5.244567957716606e-06,9.343506483868308e-05,5.820946534605508e-06,0.00010301510622748968,6.417777165801945e-06,0.00011291185367196056,7.0343383876539375e-06,0.00012311495984346704,7.669985568011584e-06,0.00013361509160504816,8.324137258236261e-06,0.00014440376457376344,8.996264886537916e-06,0.00015547321498502785,9.685884775202674e-06
3,WASP-176b,0.0001155162472848372,4.349518509321863e-05,0.0001305908065477495,4.917118964452929e-05,0.0001462946224358807,5.508412738946718e-05,0.00016260173453833387,6.122422348766487e-05,0.00017948939690394188,6.758291343517252e-05,0.00019693741948307732,7.415259509838362e-05,0.0002149276936755944,8.092645006920725e-05,0.00023344383862097966,8.789831048315015e-05,0.00025247093008991494,9.506255693920319e-05,0.00027199528789574823,0.00010241403845415383
4,TOI-1801b,3.72631649239917e-05,7.1642672089542095e-06,4.176480911481313e-05,8.029759496806457e-06,4.6455575592365764e-05,8.931612694959117e-06,5.132646541161779e-05,9.868096653894885e-06,5.636988085512206e-05,1.0837750626034199e-05,6.157926460828595e-05,1.1839313893077618e-05,6.694886033713653e-05,1.2871679734358493e-05,7.247354670038118e-05,1.3933863513774037e-05,7.81487179424151e-05,1.5024979722433108e-05,8.39701952677839e-05,1.6144224939388835e-05
5,TOI-836c,2.7848102392269917e-05,5.201815614725634e-06,3.133140605428638e-05,5.85247048250355e-06,3.4959993555598744e-05,6.53026327634807e-06,3.872745379159098e-05,7.233996450242254e-06,4.262827137363998e-05,7.962639771164949e-06,4.6657616983560634e-05,8.715291158881388e-06,5.0811203561913025e-05,9.491149823002996e-06,5.5085183516511624e-05,1.028949706231172e-05,5.947607271070728e-05,1.1109682066344063e-05,6.398069264150278e-05,1.1951111114698922e-05
6,TOI-3807b,0.00019517097185861338,5.210752695600977e-05,0.00022054071239102367,5.888084178900244e-05,0.00024696889388436217,6.593674342462099e-05,0.0002744116348434266,7.326351620570419e-05,0.0003028305417325755,8.085090967249194e-05,0.000332191570609545,8.868983463706705e-05,0.0003624642108598826,9.677214525350843e-05,0.00039362087903309286,0.00010509047718183999,0.0004256364557287613,0.00011363812394403503,0.00045848792340901087,0.00012240894022573685
7,TOI-4087b,0.00013824913291877788,4.481115184189905e-05,0.00015633740494176858,5.0674163689185046e-05,0.0001751810442012863,5.678201523432502e-05,0.00019474898431381317,6.312463682697391e-05,0.00021501398079412472,6.9693197621408e-05,0.00023595183444173888,7.647985385018829e-05,0.0002575408300785526,8.347756690032168e-05,0.0002797613170395088,9.067996733630373e-05,0.00030259538694979963,9.808125045697059e-05,0.00032602662061681747,0.00010567609425474416
8,TOI-2818b,0.00011899728386554755,3.86165419162045e-05,0.0001344463446885345,4.3630011849778294e-05,0.00015053985365221355,4.8852615620944344e-05,0.00016725104993569362,5.427566891079986e-05,0.0001845565302644767,5.989157697851321e-05,0.00020243554971715683,6.569360776179694e-05,0.0002208695211131681,7.167572942014079e-05,0.00023984164371447514,7.783248984250922e-05,0.0002593366198410576,8.415892468448579e-05,0.00027934043343174985,9.065048550768673e-05
9,TOI-3235b,0.00021643914334906557,5.585799962444675e-05,0.00024170784641336796,6.237927477105786e-05,0.000268052730187187,6.917828757980278e-05,0.000295417955318994,7.624062718937219e-05,0.00032375731580051246,8.355436888433328e-05,0.00035303156347958966,9.110938361300765e-05,0.00038320667749418876,9.889689136790929e-05,0.00041425269346717517,0.00010690915902765898,0.0004461428804379599,0.0001151392879418396,0.0004788531428993065,0.000123581059610353
