,Planet Name,Full Phase Curve Noise Estimate 3.9-4.03um,Full Phase Curve Noise Estimate 4.03-4.16um,Full Phase Curve Noise Estimate 4.16-4.29um,Full Phase Curve Noise Estimate 4.29-4.42um,Full Phase Curve Noise Estimate 4.42-4.55um,Full Phase Curve Noise Estimate 4.55-4.68um,Full Phase Curve Noise Estimate 4.68-4.81um,Full Phase Curve Noise Estimate 4.81-4.94um,Full Phase Curve Noise Estimate 4.94-5.07um,Full Phase Curve Noise Estimate 5.07-5.2um,Full Phase Curve Noise Estimate 5.2-5.33um,Full Phase Curve Noise Estimate 5.33-5.46um,Full Phase Curve Noise Estimate 5.46-5.59um,Full Phase Curve Noise Estimate 5.59-5.72um,Full Phase Curve Noise Estimate 5.72-5.85um,Full Phase Curve Noise Estimate 5.85-5.98um,Full Phase Curve Noise Estimate 5.98-6.11um,Full Phase Curve Noise Estimate 6.11-6.24um,Full Phase Curve Noise Estimate 6.24-6.37um,Full Phase Curve Noise Estimate 6.37-6.5um,Full Phase Curve Noise Estimate 6.5-6.63um,Full Phase Curve Noise Estimate 6.63-6.76um,Full Phase Curve Noise Estimate 6.76-6.89um,Full Phase Curve Noise Estimate 6.89-7.02um,Full Phase Curve Noise Estimate 7.02-7.15um,Full Phase Curve Noise Estimate 7.15-7.28um,Full Phase Curve Noise Estimate 7.28-7.41um,Full Phase Curve Noise Estimate 7.41-7.54um,Full Phase Curve Noise Estimate 7.54-7.67um,Full Phase Curve Noise Estimate 7.67-7.8um
0,TOI-5704b,3.6096787529414404e-05,3.7619590137392804e-05,3.9165322413543483e-05,4.0733584421977817e-05,4.2324000356667234e-05,4.3936215956055414e-05,4.556989630230104e-05,4.722472393472484e-05,4.890039722195117e-05,5.059662894861826e-05,5.2313145081302006e-05,5.40496836851033e-05,5.580599396769816e-05,5.758183543184629e-05,5.937697712070523e-05,6.119119694297994e-05,6.302428106708695e-05,6.487602337525912e-05,6.674622496996013e-05,6.863469372612186e-05,7.054124388369845e-05,7.246569567583037e-05,7.440787498856624e-05,7.636761304865418e-05,7.834474613638759e-05,8.033911532087541e-05,8.235056621544151e-05,8.437894875116622e-05,8.642411696678634e-05,8.848592881342251e-05
1,TOI-672b,4.473979459158889e-05,4.654510848583058e-05,4.837801947638318e-05,5.0237983592397634e-05,5.212449541736175e-05,5.403708340387723e-05,5.59753059456023e-05,5.793874806005015e-05,5.9927018568086e-05,6.193974768029838e-05,6.397658491900543e-05,6.603719731896225e-05,6.812126786096593e-05,7.022849410123331e-05,7.2358586966284e-05,7.451126968850272e-05,7.668627686188645e-05,7.888335360096732e-05,8.110225478874307e-05,8.334274440170803e-05,8.560459490197075e-05,8.788758668798383e-05,9.019150759666964e-05,9.251615245078647e-05,9.486132264626546e-05,9.722682577497121e-05,9.96124752789556e-05,0.00010201809013282423,0.00010444349455122787,0.00010688851771891908
2,TOI-199b,6.91174844044911e-06,7.2104269814616295e-06,7.513590336074481e-06,7.821164371959764e-06,8.13307905104749e-06,8.449268026715168e-06,8.769668297153535e-06,9.094219905076326e-06,9.4228656759601e-06,9.755550988550723e-06,1.00922235725763e-05,1.0432833329546033e-05,1.0777332173259319e-05,1.1125673887236635e-05,1.147781399675691e-05,1.1833709653567606e-05,1.2193319531640781e-05,1.2556603732600217e-05,1.2923523699654978e-05,1.3294042139040723e-05,1.3668122948115305e-05,1.4045731149373621e-05,1.4426832829744058e-05,1.4811395084613636e-05,1.5199385966101025e-05,1.559077443515476e-05,1.598553031710516e-05,1.6383624260347078e-05,1.678502769786061e-05,1.718971281131792e-05
3,WASP-176b,7.227495866405876e-05,7.545602706360548e-05,7.868488584445754e-05,8.19607709848879e-05,8.528295807241937e-05,8.865075867304203e-05,9.206351717699303e-05,9.552060804143562e-05,9.902143336618757e-05,0.00010256542075088856,0.00010615202139156025,0.00010978070838203552,0.00011345097519174752,0.00011716233429613529,0.00012091431593979726,0.00012470646701567137,0.0001285383500460663,0.000132409542253474,0.00013631963471086994,0.00014026823156260642,0.00014425494930824927,0.00014827941614272599,0.00015234127134699295,0.00015644016472416916,0.0001605757560767172,0.0001647477147207612,0.00016895571903408665,0.0001731994560348066,0.00017747862098793586,0.00018179291703749963
4,TOI-1801b,1.1940655143480315e-05,1.2425622565676868e-05,1.2917981413696626e-05,1.3417588781843608e-05,1.3924311667081406e-05,1.4438025784507008e-05,1.495861457239777e-05,1.5485968350425976e-05,1.6019983602601742e-05,1.6560562362539895e-05,1.710761168326071e-05,1.7661043177289376e-05,1.822077261558836e-05,1.8786719576017874e-05,1.9358807133728997e-05,1.9936961587252214e-05,2.0521112215125727e-05,2.1111191058779554e-05,2.170713272810271e-05,2.230887422668704e-05,2.291635479421616e-05,2.3529515763854806e-05,2.4148300432809676e-05,2.4772653944499984e-05,2.5402523180999244e-05,2.6037856664591537e-05,2.6678604467441407e-05,2.7324718128515747e-05,2.7976150576994732e-05,2.8632856061517822e-05
5,TOI-836c,8.658265155553366e-06,9.022934546556828e-06,9.393096768146864e-06,9.768655631258238e-06,1.0149520785595416e-05,1.0535607090676238e-05,1.092683408080224e-05,1.1323125506713602e-05,1.1724408940344984e-05,1.2130615431889453e-05,1.254167921052691e-05,1.295753742184068e-05,1.3378129896255501e-05,1.3803398943857485e-05,1.4233289171776564e-05,1.4667747320968021e-05,1.5106722119755211e-05,1.5550164151922393e-05,1.5998025737499176e-05,1.645026082465736e-05,1.6906824891380405e-05,1.7367674855760604e-05,1.7832768993939024e-05,1.830206686484031e-05,1.8775529240970102e-05,1.925311804463649e-05,1.97347962890384e-05,2.0220528023738844e-05,2.0710278284090538e-05,2.120401304424268e-05
6,TOI-3807b,8.659952979972243e-05,9.039564843823107e-05,9.424877951560567e-05,9.815800539532505e-05,0.00010212245665903954,0.00010614130761601561,0.0001102137724104389,0.00011433910162551606,0.00011851657930354388,0.0001227455203167405,0.00012702526803582524,0.00013135519225290478,0.00013573468732285988,0.0001401631704934712,0.00014464008039942494,0.00014916487569931452,0.0001537370338379678,0.00015835604991907719,0.0001630214356753443,0.00016773271852510625,0.00017248944070596907,0.0001772911584772486,0.00018213744138406536,0.00018702787157686473,0.0001919620431809203,0.00019693956171101213,0.00020196004352703695,0.00020702311532685047,0.00021212841367296392,0.00021727558455018794
7,TOI-4087b,7.445383751563395e-05,7.773966533983467e-05,8.107487096013443e-05,8.445866836428649e-05,8.789031193349432e-05,9.136909277871373e-05,9.489433555318768e-05,9.84653956622201e-05,0.00010208165680678537,0.00010574252880964983,0.00010944744568213548,0.00011319586389709832,0.0001169872608396546,0.00012082113341191484,0.00012469699677183444,0.0001286143831894197,0.00013257284100606285,0.00013657193368487767,0.00014061123894168213,0.00014469034794766962,0.00014880886459605702,0.0001529664048260178,0.00015716259599804746,0.00016139707631565342,0.00016566949428889618,0.00016997950823582163,0.00017432678581827998,0.0001787110036090737,0.0001831318466876316,0.00018758900826179822
8,TOI-2818b,6.418151402435822e-05,6.69913388538318e-05,6.984336014613873e-05,7.27368972344657e-05,7.567130537294228e-05,7.864597237462169e-05,8.166031569903924e-05,8.47137799130955e-05,8.780583446431234e-05,9.093597171732277e-05,9.410370521366946e-05,9.730856812221328e-05,0.00010055011185321752,0.00010382790481373413,0.00010714153128561337,0.00011049059041045464,0.00011387469526823575,0.00011729347203835298,0.00012074655923348268,0.00012423360699799756,0.0001277542764638416,0.00013130823915772383,0.00013489517645427982,0.00013851477907054024,0.000142166746597639,0.00014585078706616717,0.00014956661654200287,0.00015331395874985452,0.00015709254472199587,0.00016090211247002357
9,TOI-3235b,9.321732277349441e-05,9.686978971307851e-05,0.00010057902512036828,0.00010434380308800805,0.00010816299329485218,0.00011203554865147413,0.00011596049501679326,0.00011993692257619045,0.00012396397856297714,0.00012804086107404922,0.00013216681378302187,0.0001363411213943727,0.00014056310571328076,0.00014483212223007357,0.00014914755713724424,0.00015350882471205958,0.00015791536500972943,0.00016236664182168073,0.00016686214086123884,0.00017140136814519787,0.00017598384854489003,0.0001806091244845239,0.00018527675476795685,0.0001899863135179102,0.00019473738921399526,0.00019952958381785004,0.00020436251197532133,0.0002092358002870611,0.0002141490866399691,0.00021910201959300204
10,TOI-4463Ab,5.014975757458102e-05,5.2340709786296026e-05,5.456456127931111e-05,5.682077940668884e-05,5.910885983126456e-05,6.142832385444059e-05,6.377871610471167e-05,6.615960252457666e-05,6.857056860684965e-05,7.101121784091751e-05,7.348117033691848e-05,7.598006160164005e-05,7.850754144457304e-05,8.10632729962267e-05,8.364693182377932e-05,8.625820513154371e-05,8.889679103566899e-05,9.156239790409787e-05,9.425474375414369e-05,9.697355570110968e-05,9.971856945230837e-05,0.00010248952884160401,0.00010528618540022947,0.00010810829796018104,0.00011095563228696635,0.00011382796073885836,0.00011672506195014642,0.00011964672053619801,0.00012259272681833786,0.00012556287656682972
11,TOI-3785b,5.4555200119134604e-05,5.672639515975369e-05,5.893101915814406e-05,6.116838481323219e-05,6.343785584055885e-05,6.573884057841774e-05,6.807078664666231e-05,7.043317645235787e-05,7.282552338205946e-05,7.524736855493752e-05,7.769827803723046e-05,8.017784043867215e-05,8.268566482720285e-05,8.522137891046181e-05,8.778462744217051e-05,9.037507081912671e-05,9.299238384057743e-05,9.563625460659688e-05,9.830638353604204e-05,0.00010100248248780101,0.00010372427397166969,0.00010647149043731931,0.00010924387363155494,0.00011204117401552572,0.00011486315023476234,0.00011770956863591091,0.000120580202824876,0.00012347483326183325,0.00012639324688911346,0.00012933523678853573
12,WASP-124b,0.00011826080057275073,0.00012347877596426506,0.00012877516258423473,0.00013414871182235955,0.0001395982392808025,0.00014512261894502587,0.0001507207781129535,0.00015639169295659312,0.00016213438461510493,0.0001679479157375587,0.00017383138740868803,0.0001797839364028123,0.0001858047327205936,0.00019189297737082908,0.00019804790036560862,0.0002042687589021558,0.00021055483570870683,0.00021690543753512387,0.00022331989377176413,0.00022979755518235078,0.00023633779273857382,0.00024293999654577322,0.00024960357485039536,0.0002563279531210945,0.00026311257319636654,0.0002699568924924139,0.00027686038326566994,0.00028382253192511803,0.0002908428383899507,0.00029792081548873255
13,WASP-25b,6.916467621349372e-05,7.219487129646691e-05,7.52705741600664e-05,7.839105164984684e-05,8.155560920690641e-05,8.476358726579584e-05,8.801435813290464e-05,9.130732326398813e-05,9.464191087579609e-05,9.801757383935159e-05,0.00010143378781224715,0.00010489004957503064,0.0001083858755429016,0.00011192080042880197,0.00011549437603793029,0.00011910617017690529,0.0001227557656633899,0.0001264427594241152,0.00013016676167104026,0.00013392739514679372,0.00013772429443179696,0.00014155710530649025,0.00014542548416292652,0.0001493290974607372,0.00015326762122310828,0.0001572407405689122,0.0001612481492775952,0.00016528954938385614,0.00016936465079941013,0.00017347317095950846
14,LHS1140c,3.164155617149251e-05,3.283037406599253e-05,3.403826994856986e-05,3.5264771821229006e-05,3.650944900466532e-05,3.777190643581469e-05,3.9051779957839826e-05,4.034873240147889e-05,4.1662450302385774e-05,4.299264113338611e-05,4.4339030956543166e-05,4.570136241975781e-05,4.7079393037910934e-05,4.847289371039651e-05,4.988164743615854e-05,5.130544819463827e-05,5.274409996680417e-05,5.4197415875036776e-05,5.566521742434489e-05,5.7147333830342716e-05,5.8643601421843466e-05,6.01538631078901e-05,6.167796790064508e-05,6.321577048688974e-05,6.476713084198418e-05,6.633191388103748e-05,6.790998914279644e-05,6.950123050241312e-05,7.110551590975179e-05,7.272272715038081e-05
15,TOI-1199b,4.5564543871694906e-05,4.755877330083657e-05,4.9582950560321896e-05,5.163659232986447e-05,5.371924081966086e-05,5.5830461378268665e-05,5.79698404206699e-05,6.013698362217334e-05,6.233151433472013e-05,6.455307219058062e-05,6.680131186499799e-05,6.907590197448662e-05,7.13765240916017e-05,7.370287186024607e-05,7.60546501982144e-05,7.843157457580899e-05,8.083337036108596e-05,8.325977222371088e-05,8.571052359059931e-05,8.818537614745895e-05,9.068408938118401e-05,9.320643015873345e-05,9.575217233868587e-05,9.832109641215603e-05,0.00010091298917017929,0.00010352764339500852,0.00010616485757306872,0.00010882443562760505,0.00011150618666923133,0.00011420992476283639
16,TOI-1273b,4.0077929413608855e-05,4.183113010039604e-05,4.3610658339614666e-05,4.541608885777199e-05,4.724701888464672e-05,4.9103066040614276e-05,5.098386650724513e-05,5.28890734330307e-05,5.481835553576686e-05,5.6771395870593145e-05,5.87478907385073e-05,6.07475487147408e-05,6.277008978002124e-05,6.481524454062593e-05,6.688275352546396e-05,6.897236655031369e-05,7.108384214086911e-05,7.321694700750608e-05,7.537145556573739e-05,7.75471494971592e-05,7.974381734642817e-05,8.196125415041193e-05,8.419926109615053e-05,8.645764520470252e-05,8.873621903832173e-05,9.103480042870866e-05,9.33532122243478e-05,9.5691282055197e-05,9.804884211314787e-05,0.00010042572894689638
17,TOI-5803b,2.6543144502506467e-05,2.768577031715865e-05,2.8845556407147304e-05,3.002221688540177e-05,3.121548187389663e-05,3.242509590595009e-05,3.365081655389678e-05,3.4892413242363476e-05,3.61496662155867e-05,3.742236563351309e-05,3.87103107763055e-05,4.001330934068731e-05,4.133117681457163e-05,4.266373591879713e-05,4.401081610670166e-05,4.537225311380368e-05,4.674788855109809e-05,4.813756953648605e-05,4.9541148359702e-05,5.095848217676843e-05,5.238943273058983e-05,5.383386609477088e-05,5.5291652438134304e-05,5.676266580775101e-05,5.824678392858343e-05,5.9743888018073606e-05,6.125386261421243e-05,6.2776595415818e-05,6.431197713387211e-05,6.585990135292427e-05
18,TOI-3819b,0.00010096462987857895,0.00010539984388022443,0.00010990167873499695,0.00011446906598822108,0.00011910099293179474,0.00012379649745535232,0.0001285546635778832,0.00013337461754544454,0.00013825552440340056,0.000143196584969244,0.0001481970331458196,0.00015325613352558143,0.00015837317924515698,0.00016354749005632803,0.00016877841058509716,0.00017406530875501423,0.00017940757435458546,0.00018480461773159618,0.0001902558685997187,0.00019576077494477367,0.0002013188020197898,0.0002069294314194585,0.00021259216022577506,0.00021830650021771196,0.00022407197713867111,0.00022988813001618486,0.00023575451052898166,0.00024167068241715844,0.000247636220931565,0.0002536507123190502
19,TOI-4791b,5.555022176056415e-05,5.800167854186935e-05,6.048997442200777e-05,6.301452294322433e-05,6.557476779034188e-05,6.817018005634498e-05,7.08002558634592e-05,7.346451428075154e-05,7.616249549091812e-05,7.889375916794405e-05,8.165788303437902e-05,8.44544615725284e-05,8.728310486830964e-05,9.014343757005345e-05,9.303509794740077e-05,9.595773703778534e-05,9.891101786988296e-05,0.00010189461475497383,0.0001049082126384912,0.00010795150650506936,0.00011102420083133518,0.00011412600908144894,0.00011725665324102658,0.00012041586338563011,0.00012360337728048963,0.00012681894000849962,0.00013006230362387514,0.0001333332268291858,0.00013663147467367622,0.00013995681827107264
20,TOI-4377b,3.496987577741968e-05,3.6467140441768216e-05,3.798690110039389e-05,3.952877862243578e-05,4.109241553052387e-05,4.26774737966722e-05,4.4283632953900524e-05,4.591058846725807e-05,4.755805031964072e-05,4.9225741776770674e-05,5.091339830265216e-05,5.2620766602226287e-05,5.434760377222008e-05,5.609367654454603e-05,5.78587606093067e-05,5.9642640006627253e-05,6.144510657828205e-05,6.326595947150344e-05,6.510500468854534e-05,6.69620546765089e-05,6.883692795274984e-05,7.072944876184825e-05,7.263944676066542e-05,7.456675672848266e-05,7.651121829961538e-05,7.847267571621824e-05,8.045097759927893e-05,8.244597673606375e-05,8.445752988244528e-05,8.648549757876366e-05
21,Wolf327b,5.349742864575605e-05,5.562082933811837e-05,5.7776972892743246e-05,5.996518047709184e-05,6.218482408628463e-05,6.443532013725454e-05,6.671612412103702e-05,6.90267261058709e-05,7.136664692978644e-05,7.373543495609001e-05,7.613266329162251e-05,7.855792738799378e-05,8.101084296176923e-05,8.349104418186145e-05,8.599818208205226e-05,8.853192316423108e-05,9.109194816401791e-05,9.367795095532544e-05,9.628963757438016e-05,9.892672534688247e-05,0.00010158894210461556,0.00010427602547995013,0.00010698772226843569,0.00010972378785113463,0.00011248398566957383,0.00011526808674718524,0.00011807586925195188,0.00012090711809572486,0.00012376162456622026,0.00012663918598827958
22,HD118203b,9.554304442218206e-06,9.97414011672223e-06,1.0400282252472829e-05,1.0832629759657104e-05,1.1271086817385569e-05,1.1715562387637623e-05,1.2165969793372453e-05,1.2622226350030608e-05,1.3084253041797643e-05,1.3551974235660769e-05,1.4025317427585909e-05,1.450421301616096e-05,1.4988594099864972e-05,1.5478396294767523e-05,1.5973557569985937e-05,1.647401809865304e-05,1.6979720122491787e-05,1.7490607828376736e-05,1.8006627235501982e-05,1.8527726091963295e-05,1.905385377972997e-05,1.9584961227118457e-05,2.0121000827993062e-05,2.066192636701798e-05,2.120769295037022e-05,2.1758256941391134e-05,2.23135759007153e-05,2.2873608530474393e-05,2.34383146222083e-05,2.4007655008166808e-05
23,TOI-1470b,4.952853869897239e-05,5.1519287739121456e-05,5.354052686939155e-05,5.5591647967838846e-05,5.7672086591545755e-05,5.978131662013101e-05,6.19188457697105e-05,6.408421180851657e-05,6.627697934256672e-05,6.849673706789648e-05,7.074309540733929e-05,7.301568446635154e-05,7.531415225522184e-05,7.76381631350121e-05,7.998739645247959e-05,8.23615453354976e-05,8.476031562547691e-05,8.71834249273014e-05,8.963060176055642e-05,9.210158479842688e-05,9.459612218281694e-05,9.711397090600866e-05,9.965489625062111e-05,0.00010221867128084759,0.00010480507637896255,0.00010741389882191777,0.00011004493239355346,0.00011269797702857744,0.00011537283848491595,0.00011806932804152742
