,Planet Name,Noise Estimate 0.6-0.8um
0,TOI-5704b,2.5581266074888276e-05
1,TOI-672b,4.4051895893125564e-05
2,TOI-199b,2.025805911648693e-05
3,WASP-176b,3.0164853761557522e-05
4,TOI-1801b,1.8503064196207925e-05
5,TOI-836c,1.0403840965859601e-05
6,TOI-3807b,5.269987127800017e-05
7,TOI-4087b,3.5303992083806996e-05
8,TOI-2818b,3.2471737292588555e-05
9,TOI-3235b,0.00014068684264057757
10,TOI-4463Ab,3.072529969437212e-05
11,TOI-3785b,9.08421928497321e-05
12,WASP-124b,6.174277478519773e-05
13,WASP-25b,3.607777965015714e-05
14,LHS1140c,8.85855173730356e-05
15,TOI-1199b,2.369532237579822e-05
16,TOI-1273b,2.3261437312284248e-05
17,TOI-5803b,1.882490749957192e-05
18,TOI-3819b,5.183641938417e-05
19,TOI-4791b,2.8675205692168135e-05
20,TOI-4377b,2.3554215161858553e-05
21,Wolf327b,2.9377664208626454e-05
22,HD118203b,6.089635591463344e-06
23,TOI-1470b,6.544054831791262e-05
24,V1298Taub,1.0737567136029082e-05
25,TOI-2109b,1.6788190481237536e-05
26,K2-138g,3.0554436773364546e-05
27,K2-141c,1.9647787399090093e-05
28,TRAPPIST-1b,0.00027630796894739654
29,TRAPPIST-1e,0.00022220441203413298
30,TRAPPIST-1f,0.0002092425505436696
31,TRAPPIST-1g,0.00020088634363035348
32,GJ3473b,7.043252284258793e-05
33,TOI-2202b,5.065606139065655e-05
34,TOI-833b,2.2184178677240097e-05
35,HD28109c,7.088505535770764e-06
36,TOI-2641b,4.393679304497415e-05
37,TOI-1685b,3.54923369205615e-05
38,K2-87b,4.059411264491859e-05
39,WASP-178b,1.623238605494945e-05
40,HIP29442b,1.1157329750491349e-05
41,HD152843c,6.257992761029971e-06
42,K2-26b,5.5488422367303744e-05
43,TOI-1246d,3.3322105976230806e-05
44,WASP-62b,1.4900226774959567e-05
45,WASP-80b,2.8935864786289694e-05
46,WASP-22b,3.540919564996029e-05
47,WASP-60b,4.8737095140301796e-05
48,TOI-1296b,2.7908790145634066e-05
49,HAT-P-59b,3.987240505581093e-05
50,XO-5b,3.809912234446681e-05
51,WASP-99b,1.1700576254507609e-05
52,HATS-56b,2.347079136488076e-05
53,WASP-70Ab,2.4534136803603984e-05
