,Planet Name,Noise Estimate 1.1-1.95um
0,TOI-5704b,1.2764183940172425e-05
1,TOI-672b,1.7461833711080307e-05
2,TOI-199b,1.1497055787246838e-05
3,WASP-176b,1.8915324616269972e-05
4,TOI-1801b,7.580019496808553e-06
5,TOI-836c,5.146633910258153e-06
6,TOI-3807b,3.2323112148651255e-05
7,TOI-4087b,2.246691599710055e-05
8,TOI-2818b,1.9778096013533342e-05
9,TOI-3235b,4.821719043518815e-05
10,TOI-4463Ab,1.8503141016433525e-05
11,TOI-3785b,3.3608414212002135e-05
12,WASP-124b,3.924444944331879e-05
13,WASP-25b,2.2062057600845717e-05
14,LHS1140c,2.490500019143724e-05
15,TOI-1199b,1.441057409628621e-05
16,TOI-1273b,1.4107412440949222e-05
17,TOI-5803b,1.046489186733235e-05
18,TOI-3819b,3.216345389518839e-05
19,TOI-4791b,1.8244032326669492e-05
20,TOI-4377b,1.2718650421670967e-05
21,Wolf327b,1.0725645944916323e-05
22,HD118203b,3.784908846210456e-06
23,TOI-1470b,2.5435175519417644e-05
24,V1298Taub,5.793633402069466e-06
25,TOI-2109b,1.1270137570650705e-05
26,K2-138g,1.7629542023202278e-05
27,K2-141c,9.823378428645468e-06
28,TRAPPIST-1b,5.876310483556003e-05
29,TRAPPIST-1e,4.725676645892035e-05
30,TRAPPIST-1f,4.450013505038825e-05
31,TRAPPIST-1g,4.272299968673788e-05
32,GJ3473b,2.3700915454379098e-05
33,TOI-2202b,2.8209397828420913e-05
34,TOI-833b,9.256237445959424e-06
35,HD28109c,4.543589131452203e-06
36,TOI-2641b,2.80956320500637e-05
37,TOI-1685b,1.2400962724661182e-05
38,K2-87b,2.4813697656926575e-05
39,WASP-178b,1.27491735264239e-05
40,HIP29442b,6.367842530368217e-06
41,HD152843c,4.099545981471418e-06
42,K2-26b,2.2146800547624083e-05
43,TOI-1246d,1.8579124373194126e-05
44,WASP-62b,9.673661188803468e-06
45,WASP-80b,1.2903832438023518e-05
46,WASP-22b,2.2368704902822307e-05
47,WASP-60b,3.040168116196353e-05
48,TOI-1296b,1.6718047318074753e-05
49,HAT-P-59b,2.414092916142832e-05
50,XO-5b,2.223910022049672e-05
51,WASP-99b,7.52641845708976e-06
52,HATS-56b,1.574981517962064e-05
53,WASP-70Ab,1.502951546776819e-05
54,K2-417b,2.770610692963305e-05
55,TOI-1759b,7.814031002904584e-06
56,WASP-150b,2.520425025412576e-05
57,Qatar-4b,4.450078049584863e-05
58,TOI-1201b,1.6112220993774744e-05
59,HAT-P-35b,2.5186348350724367e-05
60,TOI-561b,9.385992867925705e-06
61,WASP-53b,2.4842079141102556e-05
62,KELT-20b,4.693359841623613e-06
63,KELT-6b,9.194589599035808e-06
64,piMenc,1.3857113337102251e-06
65,HATS-24b,3.1291763776747315e-05
66,HD191939d,4.024944345536369e-06
67,WASP-147b,2.2154874803514965e-05
68,WASP-97b,1.1922862803495042e-05
69,WASP-15b,1.3951677230028982e-05
70,HATS-58Ab,1.9128312652294544e-05
71,WASP-139b,2.599418125724875e-05
72,HAT-P-2b,5.171072237436815e-06
73,TOI-163b,1.4957101576442103e-05
74,TOI-1478b,1.1084648660632161e-05
75,WASP-136b,7.3759055353519916e-06
76,HATS-4b,4.550302751627064e-05
77,L98-59b,1.0468509534847534e-05
78,TOI-2076b,5.114327775643586e-06
79,HAT-P-69b,9.177171972975562e-06
80,EPIC211945201b,9.565682719942738e-06
81,K2-34b,2.0363813207955684e-05
82,WASP-61b,2.4470150287407015e-05
83,KELT-21b,1.6240095198834174e-05
84,HAT-P-16b,1.4669947258044036e-05
85,WASP-174b,2.8362173454772393e-05
86,WASP-130b,1.437749263621667e-05
87,KOI-12b,1.1931088263946848e-05
88,WASP-37b,3.320217680029777e-05
89,HD191939c,4.5676333631935395e-06
90,WASP-83b,2.224923616344323e-05
91,WASP-46b,3.748691505109806e-05
92,XO-4b,1.4055170199891778e-05
93,WASP-170b,3.534828446269879e-05
94,HD191939b,5.435537313422584e-06
95,HD86226c,3.6413144949182126e-06
96,TOI-481b,9.045769364052913e-06
97,WASP-169b,1.7955094677299773e-05
98,Kepler-138b,1.696146314609869e-05
99,TOI-4010d,2.0080490243240718e-05
100,WASP-33b,5.864509729708029e-06
101,HATS-1b,2.593238924295948e-05
102,HD106315c,5.336946044316033e-06
103,XO-6b,9.220769401029045e-06
104,HAT-P-26b,1.9855895992842883e-05
105,TOI-125b,1.2478532313609553e-05
106,TOI-431d,4.514998715231284e-06
107,KELT-18b,1.0122299068715645e-05
108,TOI-892b,1.871456056466996e-05
109,DSTucAb,4.138755548771098e-06
110,WASP-105b,1.693302932371833e-05
111,TOI-776b,8.437979725729188e-06
112,HATS-42b,4.273048709742561e-05
113,WASP-177b,2.7499361839558244e-05
114,HAT-P-13b,1.35358773213538e-05
115,WASP-103b,2.2938490735830515e-05
116,HATS-27b,2.868228396960734e-05
117,WASP-141b,2.918236404140695e-05
118,K2-238b,2.8894988146541864e-05
119,TOI-257b,2.292431866519777e-06
120,WASP-181b,3.8650722452934415e-05
121,WASP-135b,3.6950385929965106e-05
122,WASP-81b,2.542613761679267e-05
123,WASP-19b,3.244429579429671e-05
124,HAT-P-4b,1.4504670684169765e-05
125,WASP-32b,2.2651311339130546e-05
126,WASP-73b,9.276680765225112e-06
127,LTT1445Ac,1.1173623860486838e-05
128,WASP-64b,3.641366749491532e-05
129,HD110113b,9.180097336395656e-06
130,K2-30b,3.598630383276298e-05
131,WASP-21b,1.5483429604296917e-05
132,HAT-P-21b,2.047573619078248e-05
133,KOI-13b,1.879465033916656e-05
134,WASP-123b,1.3298045409958034e-05
135,KELT-12b,8.907470889541586e-06
136,HATS-60b,2.5898751598929773e-05
137,WASP-133b,3.189487086791144e-05
138,HATS-65b,3.053945553993137e-05
139,HATS-40b,3.442324522079639e-05
140,HATS-33b,2.0687473192950725e-05
141,HATS-68b,2.6260422279728528e-05
142,HAT-P-57b,1.1427894553222229e-05
143,WASP-54b,9.211227958056647e-06
144,HATS-25b,3.602507708775736e-05
145,TOI-776c,7.575501781737623e-06
146,HAT-P-5b,2.204230130868816e-05
147,Qatar-8b,1.6197129938643464e-05
148,WASP-18b,8.457017179171143e-06
149,TrES-5b,3.888524735446866e-05
150,WASP-2b,2.2313677281471017e-05
151,HAT-P-55b,4.4128853259497334e-05
152,HAT-P-36b,2.7784215539479236e-05
153,WASP-65b,2.544661435393739e-05
154,WASP-159b,2.0275674086677297e-05
155,WASP-93b,2.1035231968749406e-05
156,WASP-140b,1.8285648869384278e-05
157,KELT-16b,2.8732881768327325e-05
158,Kepler-5b,3.817475892295203e-05
159,WASP-129b,3.0016165438799845e-05
160,WASP-145Ab,2.4552566603367596e-05
161,WASP-167b,1.773798499370702e-05
162,K2-232b,6.973713624902866e-06
163,TOI-157b,3.351659685029071e-05
164,WASP-76b,8.09137252990121e-06
165,Qatar-2b,2.7242268935990666e-05
166,LP791-18d,5.723278999206615e-05
167,HATS-22b,4.159528252675809e-05
168,HAT-P-51b,3.690253974041669e-05
169,TOI-837b,1.429190043877141e-05
170,HAT-P-56b,1.958971043798207e-05
171,WASP-57b,4.850843669732328e-05
172,KELT-24b,4.093676243280193e-06
173,HATS-35b,2.796636545583694e-05
174,WASP-94Ab,1.1065518335387046e-05
175,HAT-P-24b,2.220785702734378e-05
176,WASP-31b,2.349637749062179e-05
177,WASP-183b,4.3356811079876164e-05
178,HAT-P-66b,3.310824717502199e-05
179,WASP-63b,1.355647201308442e-05
180,HAT-P-33b,1.6414681669403045e-05
181,WASP-48b,2.326535158746301e-05
182,HD219134b,1.6269941951090196e-06
183,HATS-3b,2.111380241751232e-05
184,HAT-P-8b,9.569579174247008e-06
185,WASP-96b,3.386148510668456e-05
186,WASP-24b,1.787239953207803e-05
187,TOI-216.01,1.5824892762670522e-05
188,KELT-3b,1.1046291025300117e-05
189,WASP-132b,1.740055892111038e-05
190,KELT-17b,8.58876539407678e-06
191,KELT-10b,1.1717199036535027e-05
192,WASP-117b,7.940638336397638e-06
193,HATS-51b,2.2370055689204127e-05
194,K2-333b,1.865891751336919e-05
195,WASP-126b,1.381039133837719e-05
196,WASP-6b,2.3896554746506584e-05
197,LHS3844b,3.865504032577203e-05
198,KELT-7b,5.372613463693422e-06
199,K2-198b,1.3534216643912587e-05
200,WASP-78b,2.0424162845954965e-05
201,HAT-P-45b,1.6643857015567328e-05
202,TrES-2b,2.5109967798324326e-05
203,CoRoT-2b,2.405673896094399e-05
204,HAT-P-27b,2.939250335375333e-05
205,G9-40b,2.3668945991092048e-05
206,WASP-41b,1.70908574494791e-05
207,TOI-640b,1.1588098270296638e-05
208,TOI-1259Ab,1.9709189272886966e-05
209,WASP-138b,2.1616639143937914e-05
210,WASP-74b,8.401386934123998e-06
211,HAT-P-25b,3.071651373589363e-05
212,HAT-P-62b,2.6135749773979563e-05
213,WASP-29b,1.1361402869884002e-05
214,WASP-82b,9.686110243795707e-06
215,HAT-P-29b,1.8133110326495692e-05
216,K2-31b,2.370785387876333e-05
217,HAT-P-37b,4.6051644381113366e-05
218,XO-2Nb,1.4548394435284544e-05
219,HAT-P-32b,1.7239816308140216e-05
220,KPS-1b,3.785658257386887e-05
221,XO-1b,1.551579353584282e-05
222,WASP-190b,2.1665569176473138e-05
223,WASP-92b,3.55684330924796e-05
224,HAT-P-19b,2.5882715766652417e-05
225,HAT-P-67b,7.4400873504220115e-06
226,K2-107b,3.0937105965180314e-05
227,HAT-P-1b,1.1654108902455896e-05
228,WASP-16b,1.4350469038694594e-05
229,K2-261b,9.0818060533799e-06
230,GJ3470b,9.02826588723733e-06
231,HAT-P-15b,1.189491018831513e-05
232,K2-55b,2.6049398264753717e-05
233,WASP-166b,7.055633483742781e-06
234,HIP65Ab,1.8940646348796006e-05
235,WASP-101b,1.1512262756016893e-05
236,WASP-5b,2.8853335273173492e-05
237,XO-3b,1.2008845367785853e-05
238,K2-121b,2.4602339884486935e-05
239,WASP-165b,2.615691303806675e-05
240,K2-25b,5.7709501610138835e-05
241,LTT3780c,1.5418592549010266e-05
242,HAT-P-9b,2.522959842441027e-05
243,HAT-P-28b,3.109973804297071e-05
244,HAT-P-49b,1.1981948942757105e-05
245,K2-266d,1.2815303099705995e-05
246,WASP-98b,3.353726318241748e-05
247,WASP-85Ab,1.3261047231161862e-05
248,WASP-157b,3.146558348454585e-05
249,HAT-P-6b,1.3253183837689971e-05
250,WASP-153b,2.636607042459248e-05
251,HAT-P-31b,1.592251634702878e-05
252,TOI-216.02,2.587794742026396e-05
253,WASP-47b,1.9699159371096417e-05
254,HD63433b,2.1961467860562164e-06
255,Kepler-435b,2.0679808955764043e-05
256,WASP-56b,2.3802730526295076e-05
257,WASP-42b,2.0451673929006823e-05
258,GJ1214b,1.4440504572557983e-05
259,TOI-150.01,1.3426707986893265e-05
260,TOI-451c,1.1688314263768971e-05
261,TOI-2076d,5.214043998923992e-06
262,TOI-1266c,1.64702556536357e-05
263,Qatar-10b,3.794738270800097e-05
264,TOI-270d,9.258774887851173e-06
265,WASP-72b,1.570920587123514e-05
266,WASP-91b,2.0489927947792415e-05
267,Kepler-7b,3.78182463162538e-05
268,WASP-28b,2.4991229269053942e-05
269,WASP-131b,9.590847925670685e-06
270,HAT-P-20b,1.4823728607991691e-05
271,WASP-35b,1.4969937698590152e-05
272,WASP-20b,1.2048289483515598e-05
273,WASP-158b,2.71906517062253e-05
274,LP714-47b,1.1950812701420195e-05
275,HIP67522b,6.429242800211605e-06
276,TOI-1859b,1.2442007827256911e-05
277,EPIC246851721b,1.612297345321956e-05
278,WASP-26b,1.643839423216594e-05
279,Qatar-9b,4.737499089379162e-05
280,HATS-26b,2.636853308689015e-05
281,KELT-9b,3.9133658356511705e-06
282,WASP-104b,2.32256741117889e-05
283,KELT-23Ab,1.2018472104910686e-05
284,HATS-2b,4.428746151058908e-05
285,WASP-69b,7.849724089854191e-06
286,CoRoT-19b,3.140348103189799e-05
287,Kepler-18d,3.325473416256996e-05
288,HD209458b,3.189293179819494e-06
289,GJ357b,6.918636490119255e-06
290,WASP-43b,2.4808110588513323e-05
291,HD189733b,3.3001517627820523e-06
292,WASP-173Ab,2.076722372476643e-05
293,WASP-172b,1.5359346835909954e-05
294,TOI-1333b,6.644747085302329e-06
295,TOI-4479b,2.9400845794172485e-05
296,WASP-148b,2.345995157169335e-05
297,AUMicb,1.8526487607987552e-06
298,WASP-12b,2.02113580558775e-05
299,TOI-4515b,2.0068112890206252e-05
300,LHS1678b,1.9176756813516808e-05
301,LHS1678c,1.547529238489943e-05
302,LHS1678d,1.7162929514208678e-05
303,TOI-1994b,1.2621504886315952e-05
304,GJ806b,8.284909797360412e-06
305,Kepler-91b,2.2484119345610113e-05
306,TOI-3688Ab,2.378404442748599e-05
307,LHS1478b,2.5976878849376713e-05
308,Kepler-1658b,2.353171826169681e-05
309,GJ9827b,9.295604445949637e-06
310,GJ9827c,7.720111858752528e-06
311,GJ9827d,9.42118368462819e-06
312,LTT1445Ab,6.382260087832401e-06
313,KELT-4Ab,1.0205227279616327e-05
314,HAT-P-54b,2.652297194287652e-05
315,MASCARA-4b,4.9995847090339684e-06
316,HATS-70b,4.494342778584263e-05
317,WASP-52b,2.903140965766975e-05
318,WASP-7b,8.420739335207841e-06
319,HAT-P-44b,3.4225708596378776e-05
320,KELT-14b,1.8683710209661128e-05
321,WASP-192b,3.7154619668878944e-05
322,WASP-162b,2.2400925556903203e-05
323,TOI-169b,3.566982533831722e-05
324,GJ1132b,1.0475176722995621e-05
325,HD63433c,1.8565354481715428e-06
326,HATS-52b,5.267122844397614e-05
327,HATS-57b,2.8732012464334522e-05
328,KELT-15b,1.5576198223973607e-05
329,HD202772Ab,3.6225216507723704e-06
330,HATS-10b,4.1326737471024356e-05
331,K2-198d,1.3534216643912587e-05
332,HATS-64b,2.802413631838208e-05
333,K2-260b,2.612397102876537e-05
334,WASP-180Ab,1.5834437661541632e-05
335,TOI-674b,1.711474820192365e-05
336,TrES-3b,2.3711870548521383e-05
337,WASP-10b,2.2524643959455658e-05
338,TOI-1789b,1.0058952838104937e-05
339,KELT-1b,1.4499192815859368e-05
340,WASP-107b,1.2094692827667034e-05
341,WASP-36b,3.169062245623536e-05
342,Kepler-18c,3.415701782437069e-05
343,HAT-P-68b,4.179492056459628e-05
344,TOI-1807b,1.1753794708924076e-05
345,HAT-P-17b,9.11855893695441e-06
346,HATS-45b,4.526238626556877e-05
347,TOI-1728b,1.6508781597849835e-05
348,HAT-P-3b,1.975804398333038e-05
