,Planet Name,Noise Estimate 1.1-1.185um,Full Phase Curve Noise Estimate 1.1-1.185um,Noise Estimate 1.185-1.27um,Full Phase Curve Noise Estimate 1.185-1.27um,Noise Estimate 1.27-1.355um,Full Phase Curve Noise Estimate 1.27-1.355um,Noise Estimate 1.355-1.44um,Full Phase Curve Noise Estimate 1.355-1.44um,Noise Estimate 1.44-1.525um,Full Phase Curve Noise Estimate 1.44-1.525um,Noise Estimate 1.525-1.61um,Full Phase Curve Noise Estimate 1.525-1.61um,Noise Estimate 1.61-1.695um,Full Phase Curve Noise Estimate 1.61-1.695um,Noise Estimate 1.695-1.78um,Full Phase Curve Noise Estimate 1.695-1.78um,Noise Estimate 1.78-1.865um,Full Phase Curve Noise Estimate 1.78-1.865um,Noise Estimate 1.865-1.95um,Full Phase Curve Noise Estimate 1.865-1.95um
0,TOI-5704b,3.3639887895427586e-05,1.0517308092591056e-05,3.505498807862088e-05,1.0959730631417317e-05,3.661436849502859e-05,1.1447261515107984e-05,3.829481210681588e-05,1.1972642076789216e-05,4.007949085348033e-05,1.2530611124822832e-05,4.195586158056343e-05,1.31172471176061e-05,4.3914342519252625e-05,1.372955437290052e-05,4.5947453051353126e-05,1.43651941205377e-05,4.804923834520065e-05,1.5022304618307108e-05,5.021487467198512e-05,1.5699377756484696e-05
1,TOI-672b,4.847896143940349e-05,1.54123651470102e-05,4.959791134697312e-05,1.5768100171949476e-05,5.0995884576165547e-05,1.6212541909856554e-05,5.2617033585590026e-05,1.6727935386719603e-05,5.442189723018882e-05,1.7301735169247754e-05,5.638177390057415e-05,1.7924816481021353e-05,5.847525445086284e-05,1.8590372955648877e-05,6.068601052905554e-05,1.9293213505784585e-05,6.300134043053214e-05,2.0029300022859686e-05,6.541118724833809e-05,2.0795435228763612e-05
2,TOI-199b,2.9468981369585662e-05,1.8358992448692105e-06,3.1022507861220054e-05,1.9326829808628642e-06,3.2685097759799336e-05,2.0362612994022066e-06,3.44421583507496e-05,2.145725083428495e-06,3.628291143599985e-05,2.2604028578930523e-06,3.819917291503473e-05,2.3797847584144948e-06,4.0184575232310034e-05,2.503474090235419e-06,4.223405602453744e-05,2.631155471265697e-06,4.43435123434827e-05,2.7625732903774624e-06,4.650956100865538e-05,2.8975167775264513e-06
3,WASP-176b,4.74780645210999e-05,1.7876855011754522e-05,5.0373484812289774e-05,1.8967063916978325e-05,5.342860634568399e-05,2.0117404927014768e-05,5.662570186122997e-05,2.1321203219271314e-05,5.99514287404236e-05,2.257343491463913e-05,6.339546479394905e-05,2.387021341235501e-05,6.694962940492969e-05,2.520845847519183e-05,7.060729952399138e-05,2.6585676334825378e-05,7.436301085875428e-05,2.799980952822296e-05,7.821217884933098e-05,2.9449131836903962e-05
4,TOI-1801b,2.088425095669206e-05,4.015234739662901e-06,2.1422912855339566e-05,4.118798615277466e-06,2.2076721810715504e-05,4.244500821986822e-06,2.2823194174778397e-05,4.388018622773601e-06,2.3646391692304958e-05,4.546287706823166e-06,2.453468620095963e-05,4.7170724276924166e-06,2.547937839498537e-05,4.898700244922081e-06,2.6473814462718845e-05,5.089891887553523e-06,2.7512803930220124e-05,5.289649427946333e-06,2.859222574358435e-05,5.497180546623163e-06
5,TOI-836c,1.358962155736003e-05,2.53843887168807e-06,1.4151608865063606e-05,2.6434138646449168e-06,1.477249818439043e-05,2.7593913093841014e-06,1.5442711791843137e-05,2.8845821593508424e-06,1.6155315282099758e-05,3.017691119900837e-06,1.690514552532099e-05,3.1577537572985083e-06,1.7688262574155545e-05,3.30403411907699e-06,1.8501593689964968e-05,3.4559582408201673e-06,1.9342695414652728e-05,3.613069702973795e-06,2.020959046288953e-05,3.7749991635426507e-06
6,TOI-3807b,8.150637563265282e-05,2.1760898277648657e-05,8.632743377677694e-05,2.3048043670270993e-05,9.142801073646055e-05,2.4409816114640707e-05,9.677564598501497e-05,2.5837549169466192e-05,0.00010234602008815473,2.7324749934878602e-05,0.00010812040448516402,2.8866418184804084e-05,0.00011408402282345732,3.0458608869508403e-05,0.00012022496470988329,3.209814210457391e-05,0.00012653344565044663,3.378240558664546e-05,0.00013300129043791907,3.550921666618784e-05
7,TOI-4087b,5.622059847571977e-05,1.822296980638588e-05,5.971798991569529e-05,1.9356590940627465e-05,6.340218956571835e-05,2.055076284208921e-05,6.725310112752495e-05,2.1798971630691324e-05,7.125554994313794e-05,2.309629869400994e-05,7.539775897690613e-05,2.4438926702260256e-05,7.96703652640079e-05,2.5823820806474665e-05,8.406576523558413e-05,2.7248516436557917e-05,8.857766692687583e-05,2.871097415701955e-05,9.320077619284616e-05,3.020947795899854e-05
8,TOI-2818b,4.994527285580516e-05,1.6208048285637202e-05,5.287066973546932e-05,1.7157386855017708e-05,5.596843664204817e-05,1.8162662284074516e-05,5.921827888919522e-05,1.921728861907392e-05,6.260501289286019e-05,2.031633854158588e-05,6.611696181041846e-05,2.1456022727450922e-05,6.974492546582983e-05,2.2633355570845525e-05,7.348149803872362e-05,2.3845933763362316e-05,7.73206035382345e-05,2.5091785547761877e-05,8.125717175502742e-05,2.6369265559167363e-05
9,TOI-3235b,0.00013855872717656378,3.575884292847223e-05,0.00014010079892477087,3.615681642716282e-05,0.00014260594203384117,3.6803336648414826e-05,0.00014586295287316215,3.764389675886676e-05,0.00014972457602643795,3.8640493498752926e-05,0.00015408503663478747,3.9765828792798086e-05,0.00015886636530255336,4.099978052073342e-05,0.00016400977028589438,4.2327175876223676e-05,0.00016947002122014838,4.373634193517011e-05,0.00017521169145113207,4.52181358872407e-05
10,TOI-4463Ab,4.683676251455951e-05,1.2767623035790306e-05,4.953601851060515e-05,1.3503435700551117e-05,5.239862975995438e-05,1.4283778733832769e-05,5.5404935759959056e-05,1.5103292715533841e-05,5.854026001698894e-05,1.5957976858065748e-05,6.179334044870696e-05,1.6844761136641165e-05,6.515532292065314e-05,1.7761231929032076e-05,6.861909537733734e-05,1.870545050082063e-05,7.217883502849848e-05,1.9675829569131617e-05,7.582969281897207e-05,2.0671047289646675e-05
11,TOI-3785b,9.482983613122223e-05,1.977391914092658e-05,9.648049673854235e-05,2.011811492054487e-05,9.872828611380064e-05,2.058682400162655e-05,0.00010144798047754898,2.1153934719421905e-05,0.00010455167202998061,2.1801116537929274e-05,0.00010797581200871792,2.2515118268071176e-05,0.00011167327382134698,2.328611307194724e-05,0.00011560831674573757,2.4106648293534062e-05,0.00011975329046788431,2.4970958288856406e-05,0.00012408641970893908,2.5874502476375995e-05
12,WASP-124b,9.822891548050183e-05,2.8970048993683895e-05,0.00010432967444662874,3.0769308257443507e-05,0.00011075714789113771,3.266492340988799e-05,0.00011747609663638552,3.464650157741359e-05,0.0001244599188917081,3.670619725775565e-05,0.0001316879745609866,3.883792319450019e-05,0.0001391438586932072,4.103684117649231e-05,0.00014681425241191276,4.3299023149537246e-05,0.00015468813706690564,4.562121945100245e-05,0.00016275624363322507,4.800069642444957e-05
13,WASP-25b,5.566666100374984e-05,1.7416940771778083e-05,5.8945526092974684e-05,1.8442829481967353e-05,6.241581125911532e-05,1.9528609554096702e-05,6.605515469819949e-05,2.066728444466393e-05,6.984681301759661e-05,2.1853615494254114e-05,7.377789969336421e-05,2.3083570777470368e-05,7.783825356355737e-05,2.4353971078017408e-05,8.201968900988764e-05,2.5662255286133324e-05,8.631548526408628e-05,2.7006320613169265e-05,9.072003001456833e-05,2.8384411083525017e-05
14,LHS1140c,7.515324346146552e-05,1.4083454168946987e-05,7.477342644152799e-05,1.4012277791900543e-05,7.506272759307472e-05,1.4066491812762081e-05,7.586041917320873e-05,1.4215976416384446e-05,7.705627100509327e-05,1.444007485434252e-05,7.857229447879461e-05,1.4724172334737604e-05,8.03518081956841e-05,1.5057646962318724e-05,8.235263808440328e-05,1.543259546407014e-05,8.45427483005074e-05,1.5843014435132388e-05,8.689735243907942e-05,1.6284258990180696e-05
15,TOI-1199b,3.640233074808554e-05,1.151911908760511e-05,3.852990159419391e-05,1.2192365592430298e-05,4.0783278837313955e-05,1.2905422154451788e-05,4.314760601113839e-05,1.365358760753275e-05,4.561177151403994e-05,1.4433345806971234e-05,4.816723258443787e-05,1.5241993489378237e-05,5.0807260368472317e-05,1.6077401382607116e-05,5.3526439941885794e-05,1.693785599315099e-05,5.6320329971029e-05,1.7821951909593526e-05,5.9185225331719704e-05,1.872851668594536e-05
16,TOI-1273b,3.5657249358778696e-05,1.0152196570376835e-05,3.773305236367959e-05,1.0743211315655958e-05,3.9932403442152736e-05,1.1369402199065548e-05,4.224063357443359e-05,1.2026592713027975e-05,4.4646777365476046e-05,1.2711660831924833e-05,4.714240903134454e-05,1.3422207598564762e-05,4.972089541287584e-05,1.4156344445071147e-05,5.237690140656128e-05,1.4912552381041816e-05,5.5106053402340835e-05,1.568958616883647e-05,5.7904704600335515e-05,1.6486407505448278e-05
17,TOI-5803b,2.6941941057228733e-05,7.155671492106904e-06,2.8316093235934226e-05,7.520640799629802e-06,2.979219288434307e-05,7.912686946237868e-06,3.135613309351734e-05,8.328063193494017e-06,3.2997529575600816e-05,8.764011516190609e-06,3.4708523587727896e-05,9.21844466374062e-06,3.6483020886871215e-05,9.68974402963741e-06,3.831619222689031e-05,1.0176626985474124e-05,4.020413622298768e-05,1.0678057339095345e-05,4.2143646106231017e-05,1.1193183385533644e-05
18,TOI-3819b,8.090856244004454e-05,2.516195587235671e-05,8.577187462776568e-05,2.667440947393459e-05,9.090982235066461e-05,2.8272272666397795e-05,9.629124778966288e-05,2.9945855601786037e-05,0.0001018927519839656,3.168788137885147e-05,0.00010769627283381212,3.349273282008615e-05,0.0001136875267356771,3.5355967831961725e-05,0.00011985497425732794,3.7273997737632714e-05,0.00012618911460267535,3.92438678607986e-05,0.0001326819925266025,4.1263104179915245e-05
