,Planet Name,Eclipse Flux Ratio 1.1-1.1566667um,Eclipse Flux Ratio 1.1566667-1.2133333um,Eclipse Flux Ratio 1.2133333-1.27um,Eclipse Flux Ratio 1.27-1.3266667um,Eclipse Flux Ratio 1.3266667-1.3833333um,Eclipse Flux Ratio 1.3833333-1.44um,Eclipse Flux Ratio 1.44-1.4966667um,Eclipse Flux Ratio 1.4966667-1.5533333um,Eclipse Flux Ratio 1.5533333-1.61um,Eclipse Flux Ratio 1.61-1.6666667um,Eclipse Flux Ratio 1.6666667-1.7233333um,Eclipse Flux Ratio 1.7233333-1.78um,Eclipse Flux Ratio 1.78-1.8366667um,Eclipse Flux Ratio 1.8366667-1.8933333um,Eclipse Flux Ratio 1.8933333-1.95um
0,TOI-5704b,4.1845795853988544e-08,6.818254672245314e-08,1.0614364907223812e-07,1.5881354947192408e-07,2.2951056465024864e-07,3.216979475404414e-07,4.388917191316327e-07,5.845711018723653e-07,7.620972680703124e-07,9.746416233540632e-07,1.2251258505010728e-06,1.5161766278696784e-06,1.8500915325224547e-06,2.2288164294151905e-06,2.65393648127003e-06
1,TOI-672b,2.0270292550188538e-09,4.145513568576534e-09,7.938134943627376e-09,1.4354000663095983e-08,2.4684687709038206e-08,4.061457796335572e-08,6.425991838053678e-08,9.81935974908393e-08,1.4545420703761362e-07,2.0953857043253442e-07,2.9437838017759006e-07,4.043032404644202e-07,5.439913260102829e-07,7.184103608913907e-07,9.327531750427896e-07
2,TOI-199b,3.829895333070298e-17,1.820380247959818e-16,7.510757900220526e-16,2.7392040071218864e-15,8.965570416101028e-15,2.6675331103807476e-14,7.293683210250559e-14,1.8498142018887206e-13,4.3865826883772273e-13,9.793597552166386e-13,2.071004935980444e-12,4.16981634814075e-12,8.030491292404874e-12,1.4852831714717254e-11,2.6476901452197594e-11
3,WASP-176b,3.309358178987538e-05,4.171925508412687e-05,5.1420469438120476e-05,6.214978347076922e-05,7.384643373657225e-05,8.644019943228712e-05,9.985472748835134e-05,0.00011401033241257148,0.00012882638955399926,0.0001442231403320024,0.00016012305608859563,0.00017645195206568865,0.00019313966653753146,0.0002101204772543647,0.0002273334458296906
4,TOI-1801b,3.005583765024083e-13,8.529189509829092e-13,2.2005931287384826e-12,5.225714463129361e-12,1.153922823498304e-11,2.3899337709663025e-11,4.676894144078083e-11,8.701832479284038e-11,1.547681789809247e-10,2.6435528776634275e-10,4.3539210020341233e-10,6.938840618261365e-10,1.073359586010724e-09,1.6159659892760191e-09,2.3734904477999676e-09
5,TOI-836c,9.827361914179083e-11,2.1158737381920095e-10,4.2446625056832326e-10,8.006979842158139e-10,1.4311517135487944e-09,2.4394392584551745e-09,3.987058259194917e-09,6.277636682948042e-09,9.559997608155923e-09,1.4129819832241618e-08,2.0329795448100865e-08,2.8548342062657987e-08,3.921688968502996e-08,5.280590439860198e-08,6.98199705691242e-08
6,TOI-3807b,5.255162010348745e-05,6.715381620915103e-05,8.379743462577223e-05,0.00010243072836809698,0.00012297233168567773,0.00014531798185619206,0.0001693466369904437,0.00019492589379270162,0.00022191682645633637,0.0002501778480860307,0.00027956779943567276,0.0003099485791582869,0.0003411869488485165,0.00037315580879501703,0.0004057352932708118
7,TOI-4087b,1.5198975338014426e-05,2.043637895117953e-05,2.670691600032207e-05,3.4048863025372144e-05,4.2481471556520864e-05,5.200648644497218e-05,6.261008615489917e-05,7.426505869256331e-05,8.693313807738663e-05,0.00010056720430600414,0.0001151133279093056,0.0001305127299372307,0.00014670341312073704,0.00016362155050546944,0.00018120277848182823
8,TOI-2818b,1.197324408161341e-05,1.6399846613312235e-05,2.1796622528360654e-05,2.822132879513196e-05,3.571392862223768e-05,4.4297095551221205e-05,5.3977327087408145e-05,6.474648488022262e-05,7.658367058258774e-05,8.945713537120758e-05,0.00010332617083483293,0.00011814302021680452,0.0001338545523618435,0.0001504037542210397,0.00016773116690711845
9,TOI-3235b,3.2669158002905472e-09,7.300195136538572e-09,1.515519953597757e-08,2.950817290706793e-08,5.431537520165765e-08,9.514957598442365e-08,1.5953553700150324e-07,2.5726249717343033e-07,4.0065406493253494e-07,6.047774773758136e-07,8.875794740373123e-07,1.2699437453939253e-06,1.775664451859163e-06,2.431338096957765e-06,3.2661854859919623e-06
