,Planet Name,Full Phase Curve Noise Estimate 1.1-1.1566667um,Full Phase Curve Noise Estimate 1.1566667-1.2133333um,Full Phase Curve Noise Estimate 1.2133333-1.27um,Full Phase Curve Noise Estimate 1.27-1.3266667um,Full Phase Curve Noise Estimate 1.3266667-1.3833333um,Full Phase Curve Noise Estimate 1.3833333-1.44um,Full Phase Curve Noise Estimate 1.44-1.4966667um,Full Phase Curve Noise Estimate 1.4966667-1.5533333um,Full Phase Curve Noise Estimate 1.5533333-1.61um,Full Phase Curve Noise Estimate 1.61-1.6666667um,Full Phase Curve Noise Estimate 1.6666667-1.7233333um,Full Phase Curve Noise Estimate 1.7233333-1.78um,Full Phase Curve Noise Estimate 1.78-1.8366667um,Full Phase Curve Noise Estimate 1.8366667-1.8933333um,Full Phase Curve Noise Estimate 1.8933333-1.95um
0,TOI-5704b,1.2796633710795772e-05,1.3144524368660196e-05,1.3519330391080218e-05,1.3917816933591135e-05,1.433738814724052e-05,1.4775915860311427e-05,1.5231733277239847e-05,1.5703433526393687e-05,1.6189801383508585e-05,1.668988960692908e-05,1.7202857332096967e-05,1.7727937815289318e-05,1.8264553159386985e-05,1.8812160353608124e-05,1.937023333796834e-05
1,TOI-672b,1.88132820993958e-05,1.9076676116268954e-05,1.9394304702026164e-05,1.9758076543669867e-05,2.0161641352745572e-05,2.0599919242281755e-05,2.106893158957651e-05,2.1565404588925477e-05,2.2086593302592895e-05,2.2630325546984747e-05,2.319473485638992e-05,2.3778183462828132e-05,2.437939069968654e-05,2.49972052627368e-05,2.5630566343614916e-05
2,TOI-199b,2.229820644957102e-06,2.306868986536782e-06,2.3879053801687456e-06,2.472531644215091e-06,2.5604226530942163e-06,2.6513065026955517e-06,2.744971028541094e-06,2.841233297081605e-06,2.939931294127739e-06,3.040940789545485e-06,3.144148379793713e-06,3.2494472992992956e-06,3.3567597580420604e-06,3.466009859734954e-06,3.577121079247761e-06
3,WASP-176b,2.1683189134825137e-05,2.2556078229161564e-05,2.3463782462542407e-05,2.4403430258558494e-05,2.5372634064575974e-05,2.6369355002628772e-05,2.73920114983215e-05,2.8439208712801063e-05,2.9509678736665492e-05,3.0602467323398494e-05,3.171667753635974e-05,3.285143746900921e-05,3.4006133738191636e-05,3.518014462191508e-05,3.637281902923427e-05
4,TOI-1801b,4.898951679451278e-06,4.976785570103165e-06,5.068112963545984e-06,5.1709693402878475e-06,5.283808645369255e-06,5.405390449722575e-06,5.534742890526447e-06,5.6710638717116116e-06,5.813678542330863e-06,5.962053594421915e-06,6.115729071100924e-06,6.274299586576244e-06,6.437449368601804e-06,6.604893117289584e-06,6.776366421630777e-06
5,TOI-836c,3.0889421627392133e-06,3.171394811192878e-06,3.2604192134302274e-06,3.355217279689538e-06,3.455149208193927e-06,3.559691056607782e-06,3.668432417205563e-06,3.78102729505534e-06,3.897177247053449e-06,4.016649445552385e-06,4.13923753198206e-06,4.2647536797774446e-06,4.3930560592334155e-06,4.5240116849855e-06,4.657492022866635e-06
6,TOI-3807b,2.6402129285841756e-05,2.7431598406931804e-05,2.850440743695982e-05,2.9616811458429987e-05,3.076571072277594e-05,3.194847181792122e-05,3.31630487469525e-05,3.4407647153783366e-05,3.56806463419407e-05,3.698082086096768e-05,3.830702708732967e-05,3.965816184304118e-05,4.1033442429790746e-05,4.2432082782425096e-05,4.385326701043444e-05
7,TOI-4087b,2.2098592907213856e-05,2.3006837375999466e-05,2.395006786219029e-05,2.4925490748727313e-05,2.5930775931632044e-05,2.6963926325920242e-05,2.8023394561113873e-05,2.9107810572836588e-05,3.021592339834728e-05,3.134679462581073e-05,3.249953776784243e-05,3.3673286468902705e-05,3.4867434826287e-05,3.608136476725244e-05,3.7314425066738646e-05
8,TOI-2818b,1.9666807686227004e-05,2.0425824764016165e-05,2.1217358639423654e-05,2.2038559611248737e-05,2.2887072104239066e-05,2.3760898040215836e-05,2.465848431708394e-05,2.5578471147526397e-05,2.6519632717065703e-05,2.748104085543897e-05,2.8461831248421225e-05,2.9461172108343166e-05,3.047847175729138e-05,3.1513137639256324e-05,3.256455640348128e-05
9,TOI-3235b,4.3740520687708524e-05,4.39882999608331e-05,4.438991253094941e-05,4.4920240069033646e-05,4.555978647752817e-05,4.629313739725092e-05,4.7108250398487654e-05,4.7995330706937716e-05,4.894627341523848e-05,4.995463978101544e-05,5.1014973957594265e-05,5.2122567059142975e-05,5.3273688326839276e-05,5.446504522626698e-05,5.5693669274069836e-05
