,Planet Name,Full Phase Curve Noise Estimate 1.1-1.1425um,Full Phase Curve Noise Estimate 1.1425-1.185um,Full Phase Curve Noise Estimate 1.185-1.2275um,Full Phase Curve Noise Estimate 1.2275-1.27um,Full Phase Curve Noise Estimate 1.27-1.3125um,Full Phase Curve Noise Estimate 1.3125-1.355um,Full Phase Curve Noise Estimate 1.355-1.3975um,Full Phase Curve Noise Estimate 1.3975-1.44um,Full Phase Curve Noise Estimate 1.44-1.4825um,Full Phase Curve Noise Estimate 1.4825-1.525um,Full Phase Curve Noise Estimate 1.525-1.5675um,Full Phase Curve Noise Estimate 1.5675-1.61um,Full Phase Curve Noise Estimate 1.61-1.6525um,Full Phase Curve Noise Estimate 1.6525-1.695um,Full Phase Curve Noise Estimate 1.695-1.7375um,Full Phase Curve Noise Estimate 1.7375-1.78um,Full Phase Curve Noise Estimate 1.78-1.8225um,Full Phase Curve Noise Estimate 1.8225-1.865um,Full Phase Curve Noise Estimate 1.865-1.9075um,Full Phase Curve Noise Estimate 1.9075-1.95um
0,TOI-5704b,1.4728358357759827e-05,1.5023471798935276e-05,1.5336979004689356e-05,1.5667092326513945e-05,1.6012318311484682e-05,1.6371398617813846e-05,1.6743264584973877e-05,1.712700193074868e-05,1.752182304717171e-05,1.7927045060513995e-05,1.8342072307812652e-05,1.876638222939419e-05,1.9199513926822228e-05,1.9641058817789595e-05,2.0090652953506967e-05,2.0547970663749053e-05,2.101271926943735e-05,2.14846346591573e-05,2.1963477569120622e-05,2.244903043921315e-05
1,TOI-672b,2.1689456222202176e-05,2.1904892368687745e-05,2.2157846436923415e-05,2.2443826223725943e-05,2.2759129777029906e-05,2.310067902340804e-05,2.3465893418840905e-05,2.3852592904688895e-05,2.4258922589118275e-05,2.468329372105232e-05,2.512433701359765e-05,2.5580865421784022e-05,2.6051844225729954e-05,2.6536366808028828e-05,2.7033634905801778e-05,2.7542942406057995e-05,2.8063661967130175e-05,2.8595233909474624e-05,2.9137156940506932e-05,2.9688980370655396e-05
2,TOI-199b,2.564068305441559e-06,2.629890012361323e-06,2.6984143442478675e-06,2.7694216773893157e-06,2.8427267277857387e-06,2.9181718687211235e-06,2.995621953747149e-06,3.0749602648007897e-06,3.1560853107560146e-06,3.238908275529922e-06,3.32335096716382e-06,3.4093441568102046e-06,3.496826223770648e-06,3.585742042684341e-06,3.6760420637483352e-06,3.767681547901188e-06,3.860619927238967e-06,3.954820267273297e-06,4.0502488125036985e-06,4.146874600531487e-06
3,WASP-176b,2.491593236338284e-05,2.5664044779905048e-05,2.6435583612082892e-05,2.7228966396005765e-05,2.8042845158612627e-05,2.8876062108468104e-05,2.9727615087769267e-05,3.0596630366714864e-05,3.1482341021426966e-05,3.238406960125248e-05,3.3301214122569303e-05,3.423323666527214e-05,3.517965402254788e-05,3.614002998315069e-05,3.711396892114854e-05,3.8101110440056094e-05,3.91011248728119e-05,4.0113709480721894e-05,4.113858522658879e-05,4.2175494022132795e-05
4,TOI-1801b,5.646541050514708e-06,5.710803201558927e-06,5.784385474085884e-06,5.866197979267812e-06,5.955340962938045e-06,6.051065026454961e-06,6.152740865237343e-06,6.259835988577392e-06,6.3718966237067635e-06,6.488533513829255e-06,6.609410672135392e-06,6.734236402019998e-06,6.862756070771899e-06,6.994746251759826e-06,7.130009943331001e-06,7.268372641308143e-06,7.4096790930587035e-06,7.5537905994564295e-06,7.700582760086636e-06,7.849943579197868e-06
5,TOI-836c,3.555455552126912e-06,3.6253543547415954e-06,3.6997465897947213e-06,3.7781911484044453e-06,3.860319729906859e-06,3.945822191115058e-06,4.034435286862333e-06,4.125933924439522e-06,4.220124303480691e-06,4.3168384853972225e-06,4.415930057700388e-06,4.5172706448309365e-06,4.620747079246801e-06,4.726259091760126e-06,4.833717413401308e-06,4.943042205815727e-06,5.054161755740794e-06,5.167011383131601e-06,5.281532523194973e-06,5.397671950804675e-06
6,TOI-3807b,3.0343137476638625e-05,3.122491858104625e-05,3.213590908117732e-05,3.3074044947846906e-05,3.4037572131032335e-05,3.502498757184049e-05,3.6034993277465887e-05,3.7066460207711166e-05,3.811839961241298e-05,3.9189940085200894e-05,4.028030904478174e-05,4.1388817676146583e-05,4.25148485981726e-05,4.365784569644936e-05,4.4817305688349784e-05,4.5992771083566006e-05,4.718382427618104e-05,4.8390082559941965e-05,4.961119390118356e-05,5.084683333699287e-05
7,TOI-4087b,2.539063985174062e-05,2.6169340760280595e-05,2.6971557793251014e-05,2.7795751558230584e-05,2.8640608607838575e-05,2.9504998954605238e-05,3.0387942911738207e-05,3.1288584955758896e-05,3.2206172934011786e-05,3.314004138189453e-05,3.408959803001091e-05,3.505431280920635e-05,3.603370882778765e-05,3.702735491796469e-05,3.803485944002075e-05,3.9055865101488944e-05,4.009004460078782e-05,4.1137096944653994e-05,4.2196744319456385e-05,4.326872942033139e-05
8,TOI-2818b,2.260355211673276e-05,2.32535496761656e-05,2.392547330115513e-05,2.4617752285112888e-05,2.5329052763042383e-05,2.6058232544412275e-05,2.6804305964466663e-05,2.75664162569208e-05,2.834381363593395e-05,2.913583775643705e-05,2.9941903564337334e-05,3.0761489794771004e-05,3.159412955624565e-05,3.243940257075993e-05,3.329692873830971e-05,3.416636276794895e-05,3.5047389673411084e-05,3.5939720973894365e-05,3.684309147338596e-05,3.775725651727763e-05
9,TOI-3235b,5.0481751707833654e-05,5.066000079071215e-05,5.094531580893993e-05,5.132370452172646e-05,5.178372108854997e-05,5.231591566023637e-05,5.291241945633732e-05,5.356662828781386e-05,5.427295853669361e-05,5.50266571038272e-05,5.582365200055964e-05,5.666043386632174e-05,5.7533961244707075e-05,5.8441584276269475e-05,5.9380982787846734e-05,6.0350115724950615e-05,6.134717958798482e-05,6.237057406560485e-05,6.341887345915155e-05,6.449080279592774e-05
