,Planet Name,Noise Estimate 1.1-1.1425um,Noise Estimate 1.1425-1.185um,Noise Estimate 1.185-1.2275um,Noise Estimate 1.2275-1.27um,Noise Estimate 1.27-1.3125um,Noise Estimate 1.3125-1.355um,Noise Estimate 1.355-1.3975um,Noise Estimate 1.3975-1.44um,Noise Estimate 1.44-1.4825um,Noise Estimate 1.4825-1.525um,Noise Estimate 1.525-1.5675um,Noise Estimate 1.5675-1.61um,Noise Estimate 1.61-1.6525um,Noise Estimate 1.6525-1.695um,Noise Estimate 1.695-1.7375um,Noise Estimate 1.7375-1.78um,Noise Estimate 1.78-1.8225um,Noise Estimate 1.8225-1.865um,Noise Estimate 1.865-1.9075um,Noise Estimate 1.9075-1.95um
0,TOI-5704b,4.710904346215291e-05,4.8052971603287185e-05,4.905573268655387e-05,5.0111608870954064e-05,5.121582330783884e-05,5.2364351157743544e-05,5.3553774281727195e-05,5.478116832395811e-05,5.6044014099539665e-05,5.734012741880211e-05,5.866760303801592e-05,6.002476953625473e-05,6.141015271768875e-05,6.282244572101007e-05,6.426048444639726e-05,6.572322722902761e-05,6.720973792713335e-05,6.871917177337481e-05,7.025076347620169e-05,7.180381716383895e-05
1,TOI-672b,6.822329355736447e-05,6.890093910614992e-05,6.969659573658707e-05,7.059613340810001e-05,7.158790778254083e-05,7.266223690638947e-05,7.381100378443997e-05,7.502735113179687e-05,7.630544446239501e-05,7.764028642498746e-05,7.902756998390056e-05,8.04635613379435e-05,8.194500581823473e-05,8.346905169696504e-05,8.503318807104106e-05,8.663519389105692e-05,8.827309587956895e-05,8.994513358756372e-05,9.164973021980975e-05,9.338546815077334e-05
2,TOI-199b,4.11572047510621e-05,4.2213743480163784e-05,4.331366345963506e-05,4.4453439394124515e-05,4.5630097193002055e-05,4.684110670720282e-05,4.808429863022546e-05,4.935779945924329e-05,5.065998010697901e-05,5.198941493991832e-05,5.334484885793504e-05,5.472517063250012e-05,5.6129391157474416e-05,5.75566255867885e-05,5.900607857057553e-05,6.047703197870293e-05,6.196883463447427e-05,6.348089368305134e-05,6.501266729719742e-05,6.656365848321715e-05
3,WASP-176b,6.617272689039671e-05,6.815959368309166e-05,7.020867728479832e-05,7.231577492474966e-05,7.447730660232905e-05,7.669019740886638e-05,7.895178577369966e-05,8.125975121037584e-05,8.361205689187275e-05,8.600690361772724e-05,8.844269261582684e-05,9.09179952565021e-05,9.343152821982707e-05,9.598213299857773e-05,9.856875887362501e-05,0.0001011904486896096,0.00010384632690360151,0.00010653558949010303,0.00010925749537099675,0.00011201135910513588
4,TOI-1801b,2.9369087483565927e-05,2.9703331177008617e-05,3.008605117846629e-05,3.0511578700615216e-05,3.097523389457126e-05,3.147311894854682e-05,3.200196069032297e-05,3.2558989501111564e-05,3.314184519402793e-05,3.3748503146068554e-05,3.437721580489783e-05,3.502646598272958e-05,3.569492927046029e-05,3.6381443569697136e-05,3.7084984225040775e-05,3.780464359614948e-05,3.8539614174832545e-05,3.928917455187036e-05,4.005267768925696e-05,4.082954106877582e-05
5,TOI-836c,1.903425603677749e-05,1.9408461728882445e-05,1.9806723169192752e-05,2.0226678865833725e-05,2.0666357108279798e-05,2.1124097534098907e-05,2.159849085105547e-05,2.2088332017433907e-05,2.2592583516175957e-05,2.311034628215555e-05,2.364083649097759e-05,2.4183366879581753e-05,2.4737331601561223e-05,2.5302193862301032e-05,2.5877475757240505e-05,2.6462749868947167e-05,2.705763227795378e-05,2.7661776717370724e-05,2.8274869658523056e-05,2.889662615883015e-05
6,TOI-3807b,0.00011365151978052289,0.00011695426863788252,0.00012036642253677408,0.00012388025056756703,0.00012748918286084685,0.00013118758964521452,0.00013497060923307695,0.000138834012756064,0.00014277409680813095,0.00014678759749943052,0.00015087162109367086,0.00015502358760476214,0.0001592411846052915,0.00016352232914493885,0.00016786513615708946,0.00017226789209221947,0.00017672903278949777,0.0001812471248062783,0.00018582084958540464,0.00019044898996438148
7,TOI-4087b,7.833393696597617e-05,8.073634620974073e-05,8.321130622889241e-05,8.575406776663422e-05,8.836057864055046e-05,9.102735266960181e-05,9.375136737290997e-05,9.65299833320658e-05,9.936088004317298e-05,0.00010224200444799754,0.00010517152930650844,0.00010814781927576105,0.00011116940307326494,0.00011423495048163721,0.00011734325323353754,0.00012049320902804939,0.0001236838080906417,0.0001269141218118955,0.0001301832930950383,0.00013349052811592545
8,TOI-2818b,6.965308580558977e-05,7.165606018531499e-05,7.372659996881887e-05,7.585986500707456e-05,7.805174498093511e-05,8.029872021815281e-05,8.259775338231859e-05,8.494620433903062e-05,8.734176261526098e-05,8.978239335066919e-05,9.226629369485748e-05,9.479185736461436e-05,9.735764562884945e-05,9.996236339643999e-05,0.00010260483938518811,0.00010528400957737807,0.00010799890333948544,0.00011074863171485723,0.00011353237749916461,0.000116349386786635
9,TOI-3235b,0.00019560720340622048,0.00019629788476001697,0.00019740342628576143,0.00019886961070695632,0.00020065208756468614,0.00020271424048754903,0.00020502557944527376,0.00020756051445920513,0.0002102974100698055,0.0002132178489202941,0.00021630605282774032,0.0002195484236862255,0.00022293317642962541,0.00022645004335568824,0.0002300900342339184,0.00023384524036568837,0.00023770867353247482,0.00024167413283165284,0.00024573609395160114,0.0002498896166151846
10,TOI-4463Ab,6.533328302832099e-05,6.717967255971501e-05,6.909024660957524e-05,7.106030591576706e-05,7.308586432501459e-05,7.516351233092076e-05,7.729031095883515e-05,7.946370841698032e-05,8.16814740167499e-05,8.394164532766166e-05,8.624248557254741e-05,8.858244901718585e-05,9.096015265355426e-05,9.33743528767503e-05,9.582392615349483e-05,9.830785290345154e-05,0.00010082520398356577,0.00010337512929446383,0.00010595684812701853,0.00010856964094386937
11,TOI-3785b,0.00013365110849513961,0.00013457292428021612,0.0001357495981332423,0.00013714922313883508,0.00013874559943273334,0.00014051701727463867,0.00014244533613363196,0.00014451527972057915,0.00014671389056014316,0.0001490301038158607,0.00015145441122833852,0.00015397859383916307,0.00015659550771860402,0.00015929891089815055,0.00016208332260148468,0.00016494390798994644,0.00016787638321124178,0.0001708769367160941,0.00017394216369455036,0.00017706901115810322
12,WASP-124b,0.00013686886377136293,0.00014105922044557173,0.0001453764959034765,0.00014981236002283192,0.00015435970632194585,0.00015901242178014864,0.00016376520719997383,0.00016861343562124656,0.0001735530396970741,0.0001785804213372391,0.00018369237863408513,0.00018888604632060223,0.00019415884691204965,0.00019950845034768323,0.0002049327404448792,0.0002104297868506336,0.00021599782145815603,0.00022163521847239255,0.0002273404774749133,0.00023311220896784243
13,WASP-25b,7.762570511290741e-05,7.987141457795651e-05,8.219209392980456e-05,8.458241422550951e-05,8.703784822168323e-05,8.955451767238635e-05,9.212907446655366e-05,9.475860717719134e-05,9.744056690470513e-05,0.00010017270792006503,0.00010295303976909294,0.00010577978833168115,0.00010865136393633846,0.00011156633507703636,0.00011452340661141571,0.00011752140156859145,0.00012055924588346208,0.0001236359555183906,0.0001267506255438942,0.0001299024208357766
14,LHS1140c,0.00010656024382412254,0.00010600738534702696,0.0001057487785644248,0.00010574240928073363,0.00010595422783018753,0.00010635636950578652,0.00010692582600384055,0.0001076434412949912,0.0001084931440232402,0.00010946135450872683,0.00011053652213881992,0.00011170876118007254,0.00011296956162853534,0.00011431155780866346,0.00011572834180574824,0.00011721431199227554,0.00011876454923737362,0.00012037471511277277,0.00012204096769706676,0.00012375989155093893
