,Planet Name,TSM Estimate 1.95-1.989um,TSM Estimate 1.989-2.028um,TSM Estimate 2.028-2.067um,TSM Estimate 2.067-2.106um,TSM Estimate 2.106-2.145um,TSM Estimate 2.145-2.184um,TSM Estimate 2.184-2.223um,TSM Estimate 2.223-2.262um,TSM Estimate 2.262-2.301um,TSM Estimate 2.301-2.34um,TSM Estimate 2.34-2.379um,TSM Estimate 2.379-2.418um,TSM Estimate 2.418-2.457um,TSM Estimate 2.457-2.496um,TSM Estimate 2.496-2.535um,TSM Estimate 2.535-2.574um,TSM Estimate 2.574-2.613um,TSM Estimate 2.613-2.652um,TSM Estimate 2.652-2.691um,TSM Estimate 2.691-2.73um,TSM Estimate 2.73-2.769um,TSM Estimate 2.769-2.808um,TSM Estimate 2.808-2.847um,TSM Estimate 2.847-2.886um,TSM Estimate 2.886-2.925um,TSM Estimate 2.925-2.964um,TSM Estimate 2.964-3.003um,TSM Estimate 3.003-3.042um,TSM Estimate 3.042-3.081um,TSM Estimate 3.081-3.12um,TSM Estimate 3.12-3.159um,TSM Estimate 3.159-3.198um,TSM Estimate 3.198-3.237um,TSM Estimate 3.237-3.276um,TSM Estimate 3.276-3.315um,TSM Estimate 3.315-3.354um,TSM Estimate 3.354-3.393um,TSM Estimate 3.393-3.432um,TSM Estimate 3.432-3.471um,TSM Estimate 3.471-3.51um,TSM Estimate 3.51-3.549um,TSM Estimate 3.549-3.588um,TSM Estimate 3.588-3.627um,TSM Estimate 3.627-3.666um,TSM Estimate 3.666-3.705um,TSM Estimate 3.705-3.744um,TSM Estimate 3.744-3.783um,TSM Estimate 3.783-3.822um,TSM Estimate 3.822-3.861um,TSM Estimate 3.861-3.9um
0,TOI-5704b,1.6855195554275593,1.6525788252845635,1.6205470076083346,1.5894007209365413,1.5591160994258992,1.529669027356956,1.5010353308291624,1.473190933629262,1.446111983123988,1.4197749510845068,1.3941567135597828,1.369234613257329,1.3449865073374005,1.3213908030632011,1.298426483362245,1.2760731240273022,1.2543109040115064,1.2331206100415175,1.2124836365783556,1.192381981992106,1.1727982416780922,1.153715598726424,1.1351178126578498,1.1169892066557472,1.0993146536545781,1.082079561584757,1.0652698580244364,1.0488719744662107,1.032872830370345,1.0172598171465257,1.0020207821799991,0.987144012996573,0.9726182216426469,0.9584325293410262,0.9445764514705093,0.9310398829059353,0.9178130837468668,0.9048866654549618,0.8922515774137224,0.8798990939195661,0.8678208016079696,0.8560085873154201,0.8444546263748786,0.8331513713396513,0.8220915411291893,0.8112681105883587,0.8006743004508263,0.7903035676960168,0.7801495962885789,0.7702062882889286
1,TOI-672b,4.114644934041973,4.0446899545122585,3.9761285161524142,3.9089683749110367,3.843210637343768,3.7788508204012516,3.715879762921326,3.654284409412137,3.5940484838028772,3.5351530683498313,3.47757710074925,3.421297800684181,3.366291035467211,3.3125316330979193,3.2599936499056885,3.208650598959587,3.158475644580011,3.1094417675580193,3.061521905061687,3.014689068670177,2.968916443510483,2.9241774710734694,2.8804459179390345,2.837695932342138,2.7959020902557152,2.755039432441325,2.7150834937276156,2.67601032560977,2.637796513117282,2.6004191867739204,2.5638560303638407,2.528085285123994,2.4930857509009794,2.4588367847391526,2.4253182973054304,2.392510747501255,2.3603951355669284,2.32895299494152,2.298166383106002,2.2680178716078045,2.238490535435944,2.209567941893932,2.1812341390970307,2.153473644201569,2.1262714314599065,2.0996129201800082,2.073483962657554,2.047870832137586,2.022760210854186,1.9981391781891928
2,TOI-199b,3.268045771184926,3.1996088693982747,3.1333106752958417,3.069074576369419,3.0068258629411866,2.9464919014760342,2.8880022546301394,2.8312887583211284,2.776285564259934,2.722929154872341,2.671158336291996,2.620914214085999,2.5721401555323515,2.5247817415741354,2.4787867110056094,2.434104898973075,2.3906881714851966,2.3484903573066007,2.3074671783438676,2.2675761794151374,2.228776658113456,2.1910295953271053,2.154297586856852,2.1185447764695793,2.0837367906466935,2.0498406752162435,2.016824834003944,1.984658969593271,1.9533140262474349,1.9227621350179926,1.8929765610404672,1.8639316529990178,1.8356027947274876,1.807966358902655,1.7809996627772047,1.7546809258926863,1.7289892297092564,1.703904479084988,1.6794073655355906,1.655479332205541,1.6321025404799583,1.6092598381681413,1.586934729190598,1.565111344701974,1.543774415585023,1.5229092462518425,1.5025016896912158,1.4825381237025712,1.4630054282596365,1.443890963949314
3,WASP-176b,2.1840951389763825,2.1360095329930373,2.089551634458906,2.0446532356177256,2.0012490077530707,1.9592764495644333,1.9186758189017112,1.879390052443033,1.8413646769559224,1.8045477150227296,1.7688895874978239,1.7343430144730407,1.7008629161317954,1.6684063145532337,1.6369322372734318,1.6064016232050755,1.5767772313536506,1.5480235526374788,1.5201067250151257,1.4929944520419476,1.4666559249123674,1.4410617479951529,1.4161838678293723,1.3919955055190885,1.368471092443586,1.3455862091824584,1.323317527544402,1.3016427555808618,1.280540585460459,1.2599906440787918,1.2399734462772676,1.2204703505459948,1.2014635170879286,1.1829358681244566,1.164871050326504,1.147253399258768,1.1300679057298486,1.1133001839449717,1.09693644136263,1.0809634501618097,1.0653685202300718,1.050139473588011,1.0352646201699487,1.02073273488449,1.0065330358833766,0.9926551639705087,0.979089163087147,0.9658254618126229,0.9528548558235207,0.9401684912577083
4,TOI-1801b,1.9021677882507801,1.8691287840461532,1.8367877995026953,1.805144337592727,1.7741951549209358,1.74393472465549,1.7143556329916914,1.6854489185588384,1.657204362824626,1.6296107383957792,1.6026560211252832,1.576327571095474,1.5506122868269179,1.5254967364476788,1.500967269033113,1.4770101088759349,1.4536114350615552,1.4307574483936214,1.4084344274315814,1.3866287751594053,1.3653270575952412,1.344516035473207,1.324182689973427,1.3043142433433854,1.284898175139937,1.2659222347212562,1.247374450533577,1.2292431366638108,1.2115168970648356,1.1941846278060093,1.1772355176532108,1.1606590472417218,1.144444987069458,1.1285833945070258,1.113064609994461,1.0978792525706895,1.083018214862253,1.0684726576397572,1.054234004035233,1.0402939335010655,1.0266443755786958,1.0132775035360368,1.0001857279238138,0.9873616900930383,0.9747982557099751,0.9624885082987816,0.9504257428374573,0.9386034594281778,0.9270153570596127,0.9156553274757671
5,TOI-836c,2.7499925115907833,2.6965070966997886,2.6444836269650858,2.5938856630177867,2.544675824042248,2.496816184813796,2.4502686014433124,2.4049949773671053,2.360957479260421,2.3181187110009653,2.2764418525078782,2.2358907691959833,2.1964300968740433,2.158025306150463,2.120642749769654,2.0842496957618133,2.0488143488354673,2.0143058620597833,1.9806943405613802,1.9479508386889506,1.9160473518686523,1.8849568041806446,1.8546530325223,1.8251107680850152,1.7963056157554507,1.7682140319511335,1.7408133013175366,1.7140815126425035,1.68799753428282,1.6625409893478784,1.6376922308414372,1.6134323169263358,1.5897429864460897,1.5666066348111771,1.5440062903361524,1.5219255910944869,1.500348762343478,1.4792605945576962,1.458646422098489,1.4384921025388258,1.418783996653872,1.3995089490823047,1.3806542696581385,1.36220771540788,1.344157473205303,1.326492143072664,1.3092007221154434,1.292272589075572,1.2756974894870516,1.2594655214170956
6,TOI-3807b,2.293550694760097,2.2436012148045017,2.1953145162960155,2.1486229992658505,2.10346170188451,2.0597682869923446,2.0174830064524643,1.9765486487232193,1.936910473979163,1.898516140246476,1.8613156233176806,1.8252611326455452,1.7903070249574682,1.7564097169596022,1.723527598200805,1.6916209449228319,1.6606518355274336,1.6305840681328119,1.6013830805646256,1.5730158730249937,1.5454509336006692,1.51865816670766,1.4926088245174822,1.4672754413698599,1.4426317711463128,1.4186527275536285,1.3953143272490065,1.3725936357251194,1.350468715863045,1.3289185790554146,1.3079231387973942,1.2874631666412801,1.2675202504098546,1.2480767545642244,1.2291157826236585,1.210621141536674,1.1925773079061905,1.1749693959741534,1.1577831272744497,1.1410048018672994,1.1246212710709658,1.1086199116111362,1.0929886011119943,1.0777156948561581,1.06279000374499,1.0482007733937568,1.0339376642998943,1.019990733025589,1.0063504143392592,0.9930075042636679
7,TOI-4087b,2.54059253638169,2.484255188990834,2.4298456843037255,2.3772816845829254,2.326484489382238,2.277378944789132,2.2298933368841447,2.1839592743026803,2.139511563744799,2.0964880814468407,2.0548296429593504,2.0144798730427422,1.9753850770643846,1.9374941149380969,1.9007582783757984,1.8651311720032302,1.8305685987200573,1.7970284495486415,1.7644705981089401,1.7328567997739681,1.7021505954949525,1.6723172202371435,1.643323515929145,1.615137848801199,1.5877300309692066,1.5610712461063103,1.5351339790363625,1.509891949078749,1.485320046971602,1.461394275202053,1.4380916915738948,1.4153903558470817,1.3932692792882135,1.371708376976541,1.3506884227162705,1.3301910064115756,1.3101984937680446,1.2906939881900716,1.271661294750127,1.2530848861130104,1.234949870303213,1.21724196021037,1.1999474447335041,1.1830531614697344,1.1665464708592521,1.1504152317028409,1.1346477779734647,1.1192328968476846,1.104159807887238,1.0894181433054029
8,TOI-2818b,3.7098096937356395,3.629294697612689,3.5514456282831586,3.4761551803490827,3.4033201215509314,3.332841291390691,3.2646235615438077,3.198575767077051,3.1346106157243376,3.07264458104472,3.0125977841247034,2.954393867549142,2.8979598646021607,2.8432260660395827,2.7901258862746223,2.738595730410699,2.6885748632266857,2.6400052809535657,2.592831586466599,2.547000868344621,2.5024625841081236,2.4591684478384352,2.4170723222907387,2.3761301155438126,2.3362996821762034,2.2975407289138223,2.2598147246630487,2.2230848148187405,2.1873157397175658,2.152473757095798,2.118526568401273,2.085443248804534,2.0531941807517415,2.021750990901529,1.9910864902897847,1.9611746175680855,1.9319903851664135,1.9035098282341465,1.8757099562181423,1.8485687069431456,1.8220649030634908,1.796178210761864,1.7708891005763634,1.7461788102417892,1.7220293094377686,1.6984232663407606,1.67534401588285,1.652775529624726,1.6307023871554767,1.6091097489367252
9,TOI-3235b,3.736816421502578,3.6794184962507694,3.6228258961268813,3.567079413139204,3.5122112279788658,3.458246066499945,3.4052022093859393,3.3530923737191007,3.301924482760333,3.2517023381474925,3.2024262068852787,3.1540933339072335,3.1066983896026454,3.060233860492817,3.0146903901938886,2.970057076889608,2.9263217327447624,2.883471109999866,2.841491097887403,2.8003668939880884,2.7600831531895937,2.720624117015879,2.6819737257486405,2.644115715461331,2.6070337018253005,2.570711252315887,2.535131948247816,2.5002794378940125,2.466137481787633,2.4326899911747932,2.399921060466944,2.367814994439599,2.3363563308338335,2.3055298589378244,2.275320634656726,2.2457139925171883,2.216695555000706,2.1882512395517506,2.1603672635651363,2.133030147621995,2.1062267172096254,2.079944103133636,2.0541697408056754,2.0288913685671024,2.0040970251908643,1.9797750466857074,1.955914062512463,1.9325029913081637,1.9095310362024105,1.8869876798002432
