,Planet Name,Eclipse Flux Ratio 3.9-3.939um,Eclipse Flux Ratio 3.939-3.978um,Eclipse Flux Ratio 3.978-4.017um,Eclipse Flux Ratio 4.017-4.056um,Eclipse Flux Ratio 4.056-4.095um,Eclipse Flux Ratio 4.095-4.134um,Eclipse Flux Ratio 4.134-4.173um,Eclipse Flux Ratio 4.173-4.212um,Eclipse Flux Ratio 4.212-4.251um,Eclipse Flux Ratio 4.251-4.29um,Eclipse Flux Ratio 4.29-4.329um,Eclipse Flux Ratio 4.329-4.368um,Eclipse Flux Ratio 4.368-4.407um,Eclipse Flux Ratio 4.407-4.446um,Eclipse Flux Ratio 4.446-4.485um,Eclipse Flux Ratio 4.485-4.524um,Eclipse Flux Ratio 4.524-4.563um,Eclipse Flux Ratio 4.563-4.602um,Eclipse Flux Ratio 4.602-4.641um,Eclipse Flux Ratio 4.641-4.68um,Eclipse Flux Ratio 4.68-4.719um,Eclipse Flux Ratio 4.719-4.758um,Eclipse Flux Ratio 4.758-4.797um,Eclipse Flux Ratio 4.797-4.836um,Eclipse Flux Ratio 4.836-4.875um,Eclipse Flux Ratio 4.875-4.914um,Eclipse Flux Ratio 4.914-4.953um,Eclipse Flux Ratio 4.953-4.992um,Eclipse Flux Ratio 4.992-5.031um,Eclipse Flux Ratio 5.031-5.07um,Eclipse Flux Ratio 5.07-5.109um,Eclipse Flux Ratio 5.109-5.148um,Eclipse Flux Ratio 5.148-5.187um,Eclipse Flux Ratio 5.187-5.226um,Eclipse Flux Ratio 5.226-5.265um,Eclipse Flux Ratio 5.265-5.304um,Eclipse Flux Ratio 5.304-5.343um,Eclipse Flux Ratio 5.343-5.382um,Eclipse Flux Ratio 5.382-5.421um,Eclipse Flux Ratio 5.421-5.46um,Eclipse Flux Ratio 5.46-5.499um,Eclipse Flux Ratio 5.499-5.538um,Eclipse Flux Ratio 5.538-5.577um,Eclipse Flux Ratio 5.577-5.616um,Eclipse Flux Ratio 5.616-5.655um,Eclipse Flux Ratio 5.655-5.694um,Eclipse Flux Ratio 5.694-5.733um,Eclipse Flux Ratio 5.733-5.772um,Eclipse Flux Ratio 5.772-5.811um,Eclipse Flux Ratio 5.811-5.85um,Eclipse Flux Ratio 5.85-5.889um,Eclipse Flux Ratio 5.889-5.928um,Eclipse Flux Ratio 5.928-5.967um,Eclipse Flux Ratio 5.967-6.006um,Eclipse Flux Ratio 6.006-6.045um,Eclipse Flux Ratio 6.045-6.084um,Eclipse Flux Ratio 6.084-6.123um,Eclipse Flux Ratio 6.123-6.162um,Eclipse Flux Ratio 6.162-6.201um,Eclipse Flux Ratio 6.201-6.24um,Eclipse Flux Ratio 6.24-6.279um,Eclipse Flux Ratio 6.279-6.318um,Eclipse Flux Ratio 6.318-6.357um,Eclipse Flux Ratio 6.357-6.396um,Eclipse Flux Ratio 6.396-6.435um,Eclipse Flux Ratio 6.435-6.474um,Eclipse Flux Ratio 6.474-6.513um,Eclipse Flux Ratio 6.513-6.552um,Eclipse Flux Ratio 6.552-6.591um,Eclipse Flux Ratio 6.591-6.63um,Eclipse Flux Ratio 6.63-6.669um,Eclipse Flux Ratio 6.669-6.708um,Eclipse Flux Ratio 6.708-6.747um,Eclipse Flux Ratio 6.747-6.786um,Eclipse Flux Ratio 6.786-6.825um,Eclipse Flux Ratio 6.825-6.864um,Eclipse Flux Ratio 6.864-6.903um,Eclipse Flux Ratio 6.903-6.942um,Eclipse Flux Ratio 6.942-6.981um,Eclipse Flux Ratio 6.981-7.02um,Eclipse Flux Ratio 7.02-7.059um,Eclipse Flux Ratio 7.059-7.098um,Eclipse Flux Ratio 7.098-7.137um,Eclipse Flux Ratio 7.137-7.176um,Eclipse Flux Ratio 7.176-7.215um,Eclipse Flux Ratio 7.215-7.254um,Eclipse Flux Ratio 7.254-7.293um,Eclipse Flux Ratio 7.293-7.332um,Eclipse Flux Ratio 7.332-7.371um,Eclipse Flux Ratio 7.371-7.41um,Eclipse Flux Ratio 7.41-7.449um,Eclipse Flux Ratio 7.449-7.488um,Eclipse Flux Ratio 7.488-7.527um,Eclipse Flux Ratio 7.527-7.566um,Eclipse Flux Ratio 7.566-7.605um,Eclipse Flux Ratio 7.605-7.644um,Eclipse Flux Ratio 7.644-7.683um,Eclipse Flux Ratio 7.683-7.722um,Eclipse Flux Ratio 7.722-7.761um,Eclipse Flux Ratio 7.761-7.8um
0,TOI-5704b,4.225105579156985e-05,4.327768885283492e-05,4.4305927365093914e-05,4.533545532522208e-05,4.6365968275555256e-05,4.7397173076363985e-05,4.842878766922533e-05,4.946054083294871e-05,5.0492171933562226e-05,5.152343066972541e-05,5.2554076814805e-05,5.358387995672922e-05,5.4612619236624554e-05,5.5640083087135766e-05,5.666606897123485e-05,5.7690383122236056e-05,5.8712840285654496e-05,5.973326346347041e-05,6.075148366129408e-05,6.176733963886339e-05,6.278067766424967e-05,6.379135127209466e-05,6.479922102615483e-05,6.580415428638568e-05,6.680602498075951e-05,6.780471338197496e-05,6.880010588918457e-05,6.979209481483675e-05,7.078057817670399e-05,7.176545949514422e-05,7.274664759562204e-05,7.372405641649782e-05,7.469760482207574e-05,7.566721642088632e-05,7.663281938916778e-05,7.759434629949684e-05,7.855173395451072e-05,7.950492322565329e-05,8.045385889687018e-05,8.139848951317138e-05,8.233876723397463e-05,8.327464769113745e-05,8.420608985158277e-05,8.513305588441915e-05,8.605551103245476e-05,8.697342348800165e-05,8.788676427286649e-05,8.87955071224221e-05,8.969962837365412e-05,9.059910685707685e-05,9.149392379241337e-05,9.23840626879336e-05,9.326950924334743e-05,9.415025125614863e-05,9.50262785313083e-05,9.58975827942166e-05,9.676415760677431e-05,9.76259982865364e-05,9.848310182881239e-05,9.933546683162924e-05,0.00010018309342346562,0.00010102598319366749,0.00010186413912545699,0.0001026975655314497,0.000103526267991596,0.00010435025329346562,0.00010516952937479612,0.00010598410526822755,0.00010679399104814922,0.00010759919777958507,0.00010839973746904658,0.00010919562301728539,0.00010998686817387819,0.00011077348749357908,0.00011155549629437764,0.00011233291061720063,0.00011310574718719982,0.00011387402337656792,0.00011463775716882806,0.00011539696712454297,0.00011615167234839318,0.00011690189245757308,0.00011764764755145759,0.00011838895818249248,0.0001191258453282631,0.00011985833036469833,0.00012058643504036781,0.00012131018145183114,0.00012202959202000105,0.00012274468946748177,0.00012345549679684635,0.00012416203726981845,0.0001248643343873232,0.00012556241187037612,0.00012625629364177698,0.00012694600380857936,0.00012763156664530545,0.0001283130065778791,0.00012899034816824808,0.00012966361609967157
1,TOI-672b,6.324864962654584e-05,6.566035042047113e-05,6.810913317491159e-05,7.059408573907442e-05,7.311429050834574e-05,7.566882603600496e-05,7.825676855335899e-05,8.087719340051685e-05,8.352917637021024e-05,8.621179496721303e-05,8.892412958603334e-05,9.166526460964104e-05,9.443428943206043e-05,9.723029940770054e-05,0.00010005239673032151,0.000102899691244539,0.00010577130119276318,0.00010866635390044417,0.00011158398640246342,0.00011452334601346765,0.00011748359084488667,0.00012046389027132164,0.00012346342534892053,0.00012648138918829057,0.00012951698728442084,0.00013256943780601336,0.0001356379718465396,0.00013872183363925787,0.00014182028073834806,0.00014493258416823385,0.00014805802854308102,0.00015119591215838113,0.00015434554705644454,0.00015750625906754817,0.00016067738782840561,0.00016385828677954885,0.00016704832314313347,0.00017024687788260966,0.00017345334564562628,0.00017666713469146648,0.0001798876668042477,0.00018311437719305103,0.00018634671438008506,0.00018958414007792587,0.0001928261290568203,0.00019607216900297897,0.00019932176036873764,0.00020257441621540797,0.00020582966204959541,0.00020908703565371045,0.0002123460869113575,0.00021560637762824147,0.00021886748134919152,0.0002221289831718639,0.00022539047955764659,0.00022865157814025503,0.00023191189753247728,0.00023517106713148708,0.0002384287269231262,0.00024168452728551615,0.00024493812879234175,0.00024818920201611933,0.0002514374273317403,0.00025468249472055543,0.00025792410357524965,0.0002611619625057289,0.00026439578914623003,0.0002676253099638405,0.0002708502600686018,0.0002740703830253528,0.0002772854306674562,0.00028049516291253396,0.0002836993475803308,0.00028689776021280415,0.00029009018389653744,0.00029327640908755314,0.0002964562334386002,0.00029962946162897597,0.00030279590519693614,0.00030595538237473843,0.00030910771792635805,0.00031225274298790276,0.00031539029491075795,0.000318520217107472,0.0003216423589004018,0.0003247565753731221,0.0003278627272246021,0.00033096068062614853,0.00033405030708110974,0.0003371314832873306,0.0003402040910023454,0.0003432680169112958,0.0003463231524975507,0.0003493693939160113,0.00035240664186907437,0.00035543480148523144,0.0003584537822002722,0.0003614634976410677,0.00036446386551189825,0.00036745480748329737
2,TOI-199b,3.621818118066127e-07,3.9526389058235266e-07,4.3059318609650226e-07,4.6826279980150114e-07,5.083663012484367e-07,5.509975910732224e-07,5.962507651240481e-07,6.442199801407787e-07,6.949993213693404e-07,7.486826724661494e-07,8.053635880197791e-07,8.651351689891657e-07,9.280899413302752e-07,9.94319738056104e-07,1.063915584948586e-06,1.13696759011526e-06,1.2135648375588227e-06,1.2937952849037082e-06,1.3777456654009554e-06,1.465501394310672e-06,1.5571464797405971e-06,1.6527634379994516e-06,1.7524332135051893e-06,1.8562351032706584e-06,1.964246685972844e-06,2.0765437555965106e-06,2.1932002596289273e-06,2.314288241769139e-06,2.4398777891033227e-06,2.570036983686605e-06,2.7048318584617465e-06,2.844326357436008e-06,2.988582300029377e-06,3.137659349499996e-06,3.2916149853463433e-06,3.450504479579958e-06,3.614380876757773e-06,3.783294977658916e-06,3.957295326487472e-06,4.136428201479789e-06,4.3207376087928584e-06,4.510265279548519e-06,4.705050669907214e-06,4.905130964044347e-06,5.110541079902176e-06,5.321313677590264e-06,5.53747917030833e-06,5.759065737666065e-06,5.986099341275965e-06,6.218603742496588e-06,6.45660052220568e-06,6.700109102484377e-06,6.949146770096236e-06,7.203728701647028e-06,7.463867990313947e-06,7.729575674035561e-06,8.000860765056742e-06,8.277730280725522e-06,8.560189275442216e-06,8.848240873663826e-06,9.141886303870152e-06,9.441124933401044e-06,9.745954304077554e-06,1.0056370168522755e-05,1.0372366527101403e-05,1.0693935665400567e-05,1.102106819217682e-05,1.1353753077698335e-05,1.1691977692413837e-05,1.2035727845882828e-05,1.238498782590517e-05,1.2739740437790417e-05,1.3099967043710886e-05,1.3465647602084616e-05,1.3836760706937764e-05,1.4213283627198282e-05,1.4595192345875614e-05,1.4982461599083569e-05,1.5375064914866235e-05,1.5772974651788938e-05,1.6176162037259043e-05,1.6584597205543145e-05,1.699824923544996e-05,1.741708618764982e-05,1.7841075141604308e-05,1.8270182232080913e-05,1.8704372685230196e-05,1.9143610854204035e-05,1.9587860254296052e-05,2.003708359758641e-05,2.0491242827074923e-05,2.0950299150288438e-05,2.1414213072349056e-05,2.1882944428492146e-05,2.2356452416023573e-05,2.2834695625707575e-05,2.3317632072577303e-05,2.380521922616192e-05,2.429741404012441e-05,2.4794172981306183e-05
3,WASP-176b,0.000766794806160577,0.0007747726621598728,0.0007826556340770346,0.0007904448574164753,0.0007981414756889885,0.0008057466382262508,0.0008132614981809706,0.0008206872106990389,0.0008280249312509896,0.0008352758141109784,0.0008424410109723083,0.000849521669689319,0.0008565189331361648,0.0008634339381736964,0.0008702678147162726,0.0008770216848909274,0.0008836966622818481,0.0008902938512536354,0.0008968143463472813,0.0009032592317432406,0.0009096295807863769,0.0009159264555679404,0.0009221509065600929,0.0009283039722988089,0.0009343866791113,0.0009404000408843763,0.0009463450588704337,0.000952222721527985,0.0009580340043938937,0.000963779869984663,0.0009694612677243371,0.0009750791338967494,0.0009806343916200211,0.0009861279508413625,0.0009915607083503873,0.0009969335478092658,0.0010022473397981852,0.0010075029418746889,0.0010127011986455772,0.0010178429418501538,0.0010229289904536882,0.0010279601507500605,0.0010329372164726194,0.0010378609689123731,0.0010427321770426945,0.001047551597649779,0.001052319975468165,0.0010570380433206751,0.001061706522262183,0.0010663261217266635,0.0010708975396770302,0.00107542146275729,0.001079898566446608,0.0010843295152148753,0.0010887149626794398,0.0010930555517626695,0.001097351914850046,0.0011016046739485224,0.0011058144408448913,0.0011099818172639409,0.0011141073950261897,0.001118191756205014,0.0011222354732829962,0.0011262391093073453,0.001130203218044243,0.0011341283441319982,0.001138015023232893,0.0011418637821836199,0.0011456751391442249,0.0011494496037454708,0.0011531876772345577,0.0011568898526191332,0.001160556614809543,0.001164188440759272,0.0011677857996035415,0.0011713491527960227,0.0011748789542436458,0.0011783756504394759,0.0011818396805936425,0.0011852714767623081,0.001188671463974666,0.0011920400603579635,0.0011953776772605455,0.0011986847193729221,0.0012019615848468655,0.0012052086654125366,0.0012084263464936548,0.001211615007320724,0.0012147750210423182,0.0012179067548344507,0.0012210105700080388,0.0012240868221144812,0.001227135861049366,0.0012301580311543305,0.0012331536713170942,0.0012361231150696845,0.0012390666906848744,0.0012419847212708649,0.0012448775248642247,0.0012477454145211164
4,TOI-1801b,1.2712461260397526e-06,1.345599080511591e-06,1.4226002272265648e-06,1.5022653177800876e-06,1.584607882216155e-06,1.6696392637991956e-06,1.7573686573811026e-06,1.8478031510190176e-06,1.940947770511913e-06,2.036805526537207e-06,2.13537746408237e-06,2.236662713880463e-06,2.3406585455728613e-06,2.447360422336786e-06,2.556762056729665e-06,2.6688554675165816e-06,2.7836310372613043e-06,2.9010775704751963e-06,3.0211823521319664e-06,3.143931206369465e-06,3.2693085552126667e-06,3.397297477164349e-06,3.527879765522162e-06,3.661035986292194e-06,3.7967455355803685e-06,3.934986696353537e-06,4.075736694472301e-06,4.218971753907176e-06,4.364667151058912e-06,4.512797268112356e-06,4.663335645361469e-06,4.816255032450789e-06,4.971527438485873e-06,5.129124180971959e-06,5.289015933546624e-06,5.4511727724779e-06,5.615564221905038e-06,5.782159297804088e-06,5.950926550665363e-06,6.121834106874059e-06,6.2948497087895785e-06,6.469940753522595e-06,6.647074330412535e-06,6.826217257211061e-06,7.007336114980162e-06,7.190397281715882e-06,7.375366964711154e-06,7.562211231673227e-06,7.750896040613083e-06,7.941387268525842e-06,8.13365073888279e-06,8.327652247956681e-06,8.52335759000336e-06,8.720732581323557e-06,8.919743083229516e-06,9.12035502394193e-06,9.322534419443086e-06,9.526247393312555e-06,9.731460195572281e-06,9.938139220567851e-06,1.0146251023913211e-05,1.035576233852586e-05,1.0566640089779764e-05,1.0778851409803e-05,1.09923636509471e-05,1.120714439845477e-05,1.1423161482352528e-05,1.164038298859434e-05,1.185877726948224e-05,1.2078312953389264e-05,1.2298958953809852e-05,1.2520684477762332e-05,1.2743459033567679e-05,1.2967252438028197e-05,1.3192034823029451e-05,1.3417776641587992e-05,1.3644448673367248e-05,1.3872022029683054e-05,1.4100468158020011e-05,1.432975884607928e-05,1.4559866225377808e-05,1.4790762774418383e-05,1.5022421321449626e-05,1.5254815046834077e-05,1.5487917485042417e-05,1.572170252629098e-05,1.5956144417839454e-05,1.619121776496479e-05,1.64268975316273e-05,1.6663159040843886e-05,1.6899977974783274e-05,1.7137330374597337e-05,1.7375192640002158e-05,1.7613541528622263e-05,1.7852354155110448e-05,1.8091607990055782e-05,1.8331280858691404e-05,1.857135093941364e-05,1.8811796762123292e-05,1.905259720639977e-05
5,TOI-836c,6.350454266841218e-06,6.610082990550546e-06,6.874407630742233e-06,7.143338065121285e-06,7.416782574406953e-06,7.69464804657152e-06,7.976840172089279e-06,8.26326363023801e-06,8.553822266531193e-06,8.848419261390563e-06,9.146957290196403e-06,9.449338674876315e-06,9.755465527213755e-06,1.0065239884074557e-05,1.0378563834764125e-05,1.069533964073929e-05,1.101546984790845e-05,1.1338857391760454e-05,1.1665405695568042e-05,1.1995018761915024e-05,1.2327601257798499e-05,1.2663058593557661e-05,1.300129699588049e-05,1.3342223575137528e-05,1.3685746387289646e-05,1.403177449061294e-05,1.4380217997480178e-05,1.4730988121432846e-05,1.5083997219773469e-05,1.5439158831901366e-05,1.57963877136096e-05,1.6155599867554444e-05,1.651671257010219e-05,1.6879644394751483e-05,1.7244315232322765e-05,1.7610646308099506e-05,1.79785601960991e-05,1.834798083064458e-05,1.8718833515401464e-05,1.909104493003734e-05,1.946454313465535e-05,1.9839257572145874e-05,2.0215119068594887e-05,2.059205983188051e-05,2.097001344858404e-05,2.1348914879334864e-05,2.1728700452703902e-05,2.210930785775353e-05,2.249067613534765e-05,2.2872745668319317e-05,2.32554581705891e-05,2.363875667532176e-05,2.4022585522204772e-05,2.4406890343927138e-05,2.4791618051933048e-05,2.517671682152039e-05,2.556213607635054e-05,2.594782647243153e-05,2.633373988163351e-05,2.6719829374791687e-05,2.7106049204448422e-05,2.749235478728345e-05,2.7878702686277722e-05,2.8265050592653515e-05,2.865135730763111e-05,2.9037582724039073e-05,2.9423687807813274e-05,2.980963457941705e-05,3.019538609521289e-05,3.058090642881369e-05,3.096616065243975e-05,3.1351114818305815e-05,3.1735735940060574e-05,3.211999197429911e-05,3.2503851802167874e-05,3.288728521107924e-05,3.327026287655211e-05,3.365275634419334e-05,3.4034738011833245e-05,3.4416181111827836e-05,3.479705969353865e-05,3.5177348606000436e-05,3.555702348078581e-05,3.593606071507491e-05,3.631443745493746e-05,3.6692131578833556e-05,3.7069121681339084e-05,3.744538705710039e-05,3.782090768502272e-05,3.8195664212696044e-05,3.856963794106105e-05,3.894281080931827e-05,3.931516538008177e-05,3.9686684824779396e-05,4.00573529093002e-05,4.0427153979890095e-05,4.0796072949295544e-05,4.116409528315569e-05,4.153120698664206e-05,4.189739459134533e-05
6,TOI-3807b,0.0014798796213544906,0.0014962731405217167,0.0015124818797290932,0.001528507692008081,0.0015443524672255882,0.001560018126769486,0.0015755066186428366,0.0015908199129387507,0.0016059599976696432,0.0016209288749263185,0.0016357285573439793,0.001650361064853745,0.0016648284216996708,0.0016791326537026346,0.0016932757857536598,0.0017072598395204421,0.0017210868313519334,0.001734758770366859,0.0017482776567130022,0.0017616454799849808,0.0017748642177890918,0.0017879358344445539,0.0018008622798112368,0.0018136454882346253,0.001826287377599406,0.0018387898484836624,0.001851154783406215,0.0018633840461601508,0.0018754794812260813,0.0018874429132590999,0.0018992761466438397,0.0019109809651124225,0.001922559131420438,0.0019340123870764518,0.0019453424521208354,0.0019565510249500285,0.0019676397821825863,0.001978610378563652,0.0019894644469047092,0.002000203598055708,0.0020108294209068445,0.002021343482417478,0.002031747327669864,0.002042042479945505,0.002052230440822127,0.0020623126902893922,0.00207229068688163,0.0020821658678259482,0.0020919396492042595,0.002101613426127816,0.002111188572922977,0.002120666443327015,0.002130048370692867,0.002139335668201795,0.002148529629083027,0.002157631526839499,0.0021666426154788834,0.0021755641297491754,0.002184397285378129,0.0021931432793159218,0.002201803289980458,0.0022103784775047656,0.002218869983985996,0.002227278933735574,0.0022356064335300623,0.002243853572862372,0.002252021424192959,0.0022601110432006787,0.0022681234690330155,0.002276059724555401,0.0022839208165993923,0.002291707736209474,0.0022994214588882827,0.0023070629448400833,0.0023146331392123087,0.0023221329723350365,0.0023295633599582505,0.002336925203486781,0.0023442193902128076,0.002351446793545833,0.002358608273240048,0.0023657046756190166,0.0023727368337976016,0.002379705567901099,0.0023866116852815267,0.002393455980731023,0.0024002392366923296,0.0024069622234663382,0.002413625699416673,0.0024202304111713047,0.0024267770938211797,0.0024332664711158723,0.0024396992556562423,0.0024460761490841276,0.0024523978422690564,0.0024586650154920058,0.0024648783386262106,0.0024710384713150534,0.002477146063147039,0.0024832017538278877
7,TOI-4087b,0.0008834745892088748,0.0008954964699274861,0.0009074119401928375,0.0009192211060279915,0.0009309241473239962,0.0009425213124432231,0.0009540129131409692,0.0009653993197884759,0.0009766809568812621,0.0009878582988173536,0.0009989318659307067,0.0010099022207658028,0.0010207699645800586,0.0010315357340613506,0.0010422001982485789,0.0010527640556438032,0.001063228031505079,0.0010735928753096663,0.0010838593583778532,0.001094028271648124,0.0011041004235949235,0.0011140766382807224,0.0011239577535345545,0.0011337446192496191,0.0011434380957929477,0.0011530390525205374,0.001162548366391705,0.001171966920676776,0.0011812956037525594,0.001190535307980359,0.0011996869286615888,0.0012087513630663238,0.0012177295095304054,0.0012266222666169498,0.0012354305323383679,0.001244155203435215,0.0012527971747084141,0.001261357338401583,0.0012698365836304065,0.0012782357958561457,0.0012865558564005785,0.0012947976419997935,0.001302962024394432,0.0013110498699541028,0.0013190620393338354,0.0013269993871605557,0.0013348627617476953,0.0013426530048361448,0.0013503709513598885,0.001358017429234728,0.0013655932591686262,0.0013730992544922606,0.001380536221008491,0.0013879049568594928,0.0013952062524104024,0.001402440890148381,0.0014096096445960725,0.0014167132822384887,0.0014237525614624134,0.0014307282325074781,0.0014376410374281029,0.0014444917100655495,0.0014512809760293818,0.001458009552687669,0.0014646781491653015,0.0014712874663498378,0.0014778381969043305,0.0014843310252866102,0.001490766627774547,0.0014971456724968265,0.00150346881946882,0.0015097367206331378,0.0015159500199044963,0.0015221093532185427,0.0015282153485842997,0.0015342686261399314,0.001540269798211525,0.0015462194693746237,0.001552118236518255,0.0015579666889112046,0.0015637654082703255,0.001569514968830661,0.00157521593741719,0.0015808688735180075,0.0015864743293587734,0.001592032849978258,0.0015975449733048519,0.0016030112302338785,0.001608432144705597,0.0016138082337837608,0.0016191400077346237,0.0016244279701062912,0.0016296726178083051,0.0016348744411913859,0.0016400339241272352,0.0016451515440883287,0.0016502277722276163,0.00165526307345807,0.0016602579065320092,0.0016652127241201554
8,TOI-2818b,0.0009146407667559826,0.000927984273668971,0.0009412220192160232,0.0009543536175659181,0.0009673787816172582,0.0009802973166350782,0.0009931091142288413,0.0010058141466560975,0.0010184124614365194,0.0010309041762615137,0.0010432894741851076,0.0010555685990823076,0.0010677418513616527,0.0010798095839191983,0.0010917721983216876,0.0011036301412071707,0.001115383900891846,0.0011270340041723875,0.0011385810133135068,0.0011500255232109722,0.001161368158720764,0.0011726095721454818,0.0011837504408695636,0.0011947914651352736,0.0012057333659518195,0.0012165768831303486,0.0012273227734379243,0.001237971808863949,0.0012485247749928307,0.0012589824694770062,0.0012693457006047475,0.0012796152859574717,0.0012897920511515445,0.001299876828659839,0.001309870456708566,0.0013197737782451244,0.0013295876399729597,0.0013393128914496182,0.001348950384244416,0.0013585009711523052,0.001367965505460738,0.0013773448402664762,0.001386639827839479,0.0013958513190311553,0.001404980162724407,0.001414027205323046,0.001422993290278292,0.0014318792576501847,0.0014406859437018687,0.0014494141805248186,0.0014580647956931882,0.0014666386119455508,0.001475136446892412,0.0014835591127479641,0.0014919074160846234,0.001500182157608987,0.0015083841319579261,0.0015165141275135798,0.0015245729262361159,0.0015325613035131642,0.0015404800280249009,0.0015483298616238157,0.0015561115592282531,0.001563825868728864,0.0015714735309071564,0.0015790552793653833,0.0015865718404670392,0.0015940239332872896,0.0016014122695726894,0.0016087375537095806,0.0016160004827006065,0.0016232017461487959,0.0016303420262487106,0.001637421997784182,0.001644442328132187,0.0016514036772724231,0.0016583066978022069,0.0016651520349562946,0.0016719403266312839,0.0016786722034142602,0.0016853482886153635,0.0016919691983039902,0.0016985355413483435,0.001705047919458071,0.0017115069272297424,0.001717913152194933,0.0017242671748706943,0.0017305695688122113,0.0017368209006674376,0.0017430217302335472,0.0017491726105150144,0.001755274087783168,0.0017613267016370695,0.001767330985065578,0.0017732874645104491,0.0017791966599303736,0.001785059084865814,0.0017908752465045405,0.0017966456457477581,0.0018023707772767388
9,TOI-3235b,0.00039485393956925776,0.00041216212979282155,0.00042983538853904175,0.0004478686429487761,0.00046625663342284875,0.0004849939286622153,0.0005040749402580987,0.0005234939368169929,0.000543245057608862,0.0005633223257299552,0.0005837196607745111,0.000604430891012174,0.0006254497650702657,0.0006467699631221236,0.0006683851075845797,0.0006902887733292815,0.0007124744974140318,0.0007349357883415709,0.000757666134854352,0.0007806590142748015,0.000803907900401378,0.0008274062709714119,0.0008511476147022926,0.0008751254379230106,0.0008993332708084224,0.0009237646732288909,0.0009484132402281262,0.0009732726071421719,0.0009983364543725485,0.00102359851182654,0.0010490525630375688,0.001074692448978492,0.0011005120715805211,0.0011265053969702688,0.0011526664584372507,0.0011789893591439044,0.0012054682745899522,0.0012320974548426541,0.001258871226544212,0.0012857839947072675,0.0013128302443091546,0.001340004541695212,0.0013673015358011682,0.0013947159592042537,0.0014222426290124064,0.0014498764476005436,0.0014776124032026229,0.001505445570367807,0.0015333711102887952,0.0015613842710100103,0.0015894803875230615,0.0016176548817565459,0.0016459032624670082,0.0016742211250375233,0.0017026041511901233,0.0017310481086179898,0.001759548850543069,0.0017881023152044764,0.0018167045252828584,0.0018453515872655537,0.0018740396907572275,0.0019027651077403655,0.001931524191789839,0.0019603133772454866,0.0019891291783464913,0.002017968188331112,0.0020468270785051457,0.0020757025972822922,0.0021045915691994595,0.0021334908939098177,0.0021623975451563176,0.002191308569728161,0.0022202210864026295,0.002249132284874487,0.0022780394246750667,0.002306939834082995,0.0023358309090284303,0.002364710111992506,0.0023935749709036304,0.00242242307803213,0.0024512520888846723,0.00248005972109974,0.0025088437533454366,0.0025376020242207096,0.002566332431161067,0.0025950329293497666,0.0026237015306353724,0.002652336302456505,0.0026809353667745727,0.0027094968990151597,0.0027380191270187336,0.002766500330001261,0.0027949388375252482,0.002823333028481722,0.0028516813300835495,0.0028799822168705455,0.0029082342097266492,0.0029364358749095613,0.0029645858230930525,0.002992682708422228
