,Planet Name,RSM Estimate 3.9-3.939um,RSM Estimate 3.939-3.978um,RSM Estimate 3.978-4.017um,RSM Estimate 4.017-4.056um,RSM Estimate 4.056-4.095um,RSM Estimate 4.095-4.134um,RSM Estimate 4.134-4.173um,RSM Estimate 4.173-4.212um,RSM Estimate 4.212-4.251um,RSM Estimate 4.251-4.29um,RSM Estimate 4.29-4.329um,RSM Estimate 4.329-4.368um,RSM Estimate 4.368-4.407um,RSM Estimate 4.407-4.446um,RSM Estimate 4.446-4.485um,RSM Estimate 4.485-4.524um,RSM Estimate 4.524-4.563um,RSM Estimate 4.563-4.602um,RSM Estimate 4.602-4.641um,RSM Estimate 4.641-4.68um,RSM Estimate 4.68-4.719um,RSM Estimate 4.719-4.758um,RSM Estimate 4.758-4.797um,RSM Estimate 4.797-4.836um,RSM Estimate 4.836-4.875um,RSM Estimate 4.875-4.914um,RSM Estimate 4.914-4.953um,RSM Estimate 4.953-4.992um,RSM Estimate 4.992-5.031um,RSM Estimate 5.031-5.07um,RSM Estimate 5.07-5.109um,RSM Estimate 5.109-5.148um,RSM Estimate 5.148-5.187um,RSM Estimate 5.187-5.226um,RSM Estimate 5.226-5.265um,RSM Estimate 5.265-5.304um,RSM Estimate 5.304-5.343um,RSM Estimate 5.343-5.382um,RSM Estimate 5.382-5.421um,RSM Estimate 5.421-5.46um,RSM Estimate 5.46-5.499um,RSM Estimate 5.499-5.538um,RSM Estimate 5.538-5.577um,RSM Estimate 5.577-5.616um,RSM Estimate 5.616-5.655um,RSM Estimate 5.655-5.694um,RSM Estimate 5.694-5.733um,RSM Estimate 5.733-5.772um,RSM Estimate 5.772-5.811um,RSM Estimate 5.811-5.85um,RSM Estimate 5.85-5.889um,RSM Estimate 5.889-5.928um,RSM Estimate 5.928-5.967um,RSM Estimate 5.967-6.006um,RSM Estimate 6.006-6.045um,RSM Estimate 6.045-6.084um,RSM Estimate 6.084-6.123um,RSM Estimate 6.123-6.162um,RSM Estimate 6.162-6.201um,RSM Estimate 6.201-6.24um,RSM Estimate 6.24-6.279um,RSM Estimate 6.279-6.318um,RSM Estimate 6.318-6.357um,RSM Estimate 6.357-6.396um,RSM Estimate 6.396-6.435um,RSM Estimate 6.435-6.474um,RSM Estimate 6.474-6.513um,RSM Estimate 6.513-6.552um,RSM Estimate 6.552-6.591um,RSM Estimate 6.591-6.63um,RSM Estimate 6.63-6.669um,RSM Estimate 6.669-6.708um,RSM Estimate 6.708-6.747um,RSM Estimate 6.747-6.786um,RSM Estimate 6.786-6.825um,RSM Estimate 6.825-6.864um,RSM Estimate 6.864-6.903um,RSM Estimate 6.903-6.942um,RSM Estimate 6.942-6.981um,RSM Estimate 6.981-7.02um,RSM Estimate 7.02-7.059um,RSM Estimate 7.059-7.098um,RSM Estimate 7.098-7.137um,RSM Estimate 7.137-7.176um,RSM Estimate 7.176-7.215um,RSM Estimate 7.215-7.254um,RSM Estimate 7.254-7.293um,RSM Estimate 7.293-7.332um,RSM Estimate 7.332-7.371um,RSM Estimate 7.371-7.41um,RSM Estimate 7.41-7.449um,RSM Estimate 7.449-7.488um,RSM Estimate 7.488-7.527um,RSM Estimate 7.527-7.566um,RSM Estimate 7.566-7.605um,RSM Estimate 7.605-7.644um,RSM Estimate 7.644-7.683um,RSM Estimate 7.683-7.722um,RSM Estimate 7.722-7.761um,RSM Estimate 7.761-7.8um
0,TOI-5704b,0.010673731575167805,0.010539838357738364,0.010408662384500125,0.01028012916139529,0.010154166703834752,0.010030705439616056,0.009909678115869711,0.009791019709876793,0.009674667343595577,0.009560560201752076,0.009448639453343802,0.009338848176411424,0.009231131285945958,0.009125435464795478,0.009021709097440506,0.008919902206520239,0.008819966391987356,0.008721854772777675,0.008625521930885357,0.008530923857742054,0.0084380179027944,0.008346762724186343,0.008257118241456678,0.008169045590158725,0.0080825070783206,0.007997466144667939,0.007913887318526668,0.007831736181337213,0.007750979329707499,0.007671584339938309,0.00759351973395701,0.007516754946598391,0.007441260294174401,0.007367006944276905,0.007293966886760487,0.007222112905854424,0.007151418553354934,0.007081858122853516,0.007013406624953056,0.006946039763434344,0.006879733912330626,0.006814466093869767,0.00675021395725151,0.0066869557582227256,0.006624670339415346,0.006563337111419128,0.006502936034556205,0.0064434476013284225,0.006384852819509684,0.006327133195859172,0.006270270720426267,0.006214247851424853,0.006159047500655789,0.006104653019451161,0.006051048185122953,0.005998217187894063,0.005946144618292801,0.005894815454992449,0.005844215053078114,0.0057943291327240635,0.005745143768265326,0.005696645377648149,0.005648820712244517,0.005601656847016158,0.00555514117101613,0.0055092613782117,0.005464005458619871,0.0054193616897419096,0.005375318628283929,0.0053318651021558115,0.005288990202736387,0.005246683277393303,0.005204933922251176,0.0051637319751967874,0.00512306750911256,0.0050829308253298264,0.005043312447295716,0.00500420311444279,0.004965593776255525,0.004927475586527907,0.004889839897802306,0.004852678255984579,0.0048159823951304795,0.004779744232394027,0.004743955863134947,0.004708609556178033,0.004673697749219523,0.004639213044375224,0.00460514820386551,0.004571496145832015,0.00453824994028247,0.004505402805157903,0.00447294810251833,0.0044408793348445115,0.0044091901414491565,0.004377874294995143,0.004346925698118405,0.004316338380149381,0.0042861064939309764,0.00425622431273142
1,TOI-672b,0.026160874374086908,0.02584706124046174,0.025539252846370455,0.025237297487520658,0.02494104797505482,0.02465036149509713,0.024365099471698907,0.02408512743327075,0.023810314882539214,0.023540535170073575,0.023275665371383116,0.023015586167569504,0.022760181729524414,0.0225093396056295,0.02226295061290588,0.02202090873157231,0.021783111002941433,0.021549457430587227,0.021319850884711913,0.021094197009645068,0.0208724041343842,0.020654383186103714,0.02044004760655731,0.020229313271279876,0.02002209841151362,0.01981832353878279,0.01961791137202248,0.019420786767193377,0.019226876649297432,0.019036109946718213,0.018848417527809632,0.018663732139658013,0.01848198834894472,0.018303122484837696,0.018127072583842694,0.017953778336546516,0.017783181036185095,0.017615223528977913,0.01744985016615615,0.01728700675763659,0.017126640527277533,0.016968700069655514,0.016813135308318475,0.016659897455457637,0.016508938972942307,0.016360213534678654,0.016213675990238506,0.01606928232971268,0.01592698964974465,0.015786756120708005,0.01564854095497702,0.01551230437625572,0.015378007589931826,0.01524561275440848,0.015115082953387626,0.014986382169066302,0.014859475256214302,0.014734327917101534,0.014610906677244559,0.014489178861943156,0.014369112573578544,0.01425067666964633,0.014133840741498005,0.014018575093764802,0.013904850724443857,0.013792639305615084,0.013681913164775732,0.013572645266766777,0.013464809196266357,0.013358379140838402,0.013253329874512994,0.01314963674187619,0.013047275642659416,0.012946223016806166,0.012846455829999635,0.012747951559635363,0.012650688181228322,0.012554644155232103,0.012459798414259784,0.012366130350696457,0.012273619804682855,0.012182247052461164,0.012091992795074443,0.012002838147399664,0.011914764627510364,0.011827754146354204,0.01174178899773608,0.011656851848596383,0.011572925729574916,0.011489994025849989,0.01140804046824632,0.011327049124599422,0.011247004391369098,0.011167890985497992,0.011089693936500576,0.01101239857877847,0.010935990544157888,0.010860455754635763,0.010785780415330907,0.010711951007637843
2,TOI-199b,0.0008298398262282017,0.0008191760911328451,0.0008087353627899862,0.0007985112869765815,0.0007884977349091153,0.0007786887938486896,0.0007690787581449999,0.0007596621206975399,0.0007504335648127423,0.0007413879564378098,0.0007325203367522023,0.0007238259150987438,0.0007153000622378677,0.0007069383039087178,0.0006987363146816789,0.0006906899120883265,0.0006827950510148223,0.0006750478183457868,0.0006674444278463377,0.0006599812152708787,0.0006526546336871661,0.0006454612490053742,0.0006383977357024017,0.0006314608727316028,0.0006246475396092063,0.0006179547126691274,0.0006113794614777155,0.0006049189454011819,0.0005985704103182918,0.000592331185471507,0.0005861986804500707,0.0005801703822988454,0.0005742438527470551,0.0005684167255513531,0.000562686703947942,0.0005570515582087275,0.000551509123296699,0.0005460572966161743,0.0005406940358532805,0.0005354173569029586,0.0005302253318784338,0.0005251160871993078,0.00052008780175508,0.0005151387051405922,0.0005102670759600792,0.0005054712401971116,0.0005007495696473586,0.0004961004804114406,0.0004915224314452668,0.00048701392316556294,0.00048257349610793124,0.0004781997296353433,0.0004738912406950634,0.00046964668262163917,0.0004654647439842966,0.0004613441474767421,0.0004572836488476383,0.0004532820358700653,0.0004493381273483529,0.0004454507721607521,0.00044161884833647465,0.0004378412621657054,0.00043411694734125304,0.00043044486413052797,0.00042682399857675655,0.000423253361728014,0.00041973198889324974,0.00041625893892411226,0.0004128332935214325,0.00040945415656564463,0.0004061206534700846,0.00040283193055616287,0.0003995871544498052,0.0003963855114981887,0.0003932262072060029,0.00039010846569048505,0.0003870315291546664,0.0003839946573779076,0.00038099712722319015,0.0003780382321606436,0.00037511728180648354,0.00037223360147689935,0.0003693865317564518,0.0003665754280801972,0.00036379966032925725,0.00036105861243923115,0.00035835168202101814,0.0003556782799935956,0.0003530378302283295,0.00035042976920437465,0.00034785354567484875,0.000345308620343293,0.00034279446555008443,0.0003403105649685752,0.00033785641331041534,0.00033543151603983794,0.0003330353890966945,0.00033066755862774073,0.0003283275607259851,0.00032601494117795037
3,WASP-176b,0.10471720333653375,0.10334659405299305,0.10200528939746728,0.10069243132280155,0.09940719329280535,0.09814877890800575,0.09691642059979885,0.09570937838927304,0.09452693870710709,0.09336841327127884,0.09223313801941696,0.09112047209281583,0.09002979686938722,0.0889605150428995,0.08791204974601065,0.08688384371482326,0.0858753584927341,0.08488607367151395,0.08391548616766946,0.08296310953228153,0.08202847329253722,0.08111112232334584,0.08021061624752099,0.07932652886302348,0.07845844759591661,0.07760597297775876,0.07676871814615435,0.07594630836735199,0.07513838057977199,0.07434458295743424,0.07356457449230866,0.07279802459466161,0.07204461271052415,0.07130402795545275,0.0705759687637996,0.06986014255274961,0.06915626540041661,0.06846406173735244,0.06778326405079758,0.06711361260112154,0.0664548551498644,0.06580674669882287,0.06516904923971002,0.06454153151388452,0.0639239687816716,0.06331614260087871,0.06271784061406659,0.062128856344183504,0.06154898899818899,0.06097804327833499,0.0604158292007301,0.05986216192088443,0.059316861565947974,0.05877975307331177,0.05825066603533108,0.05772943454989028,0.057215897076563264,0.056709896298131536,0.0562112789872319,0.05571989587791839,0.05523560154193159,0.0547582542694795,0.054287715954342744,0.05382385198312132,0.053366531128468404,0.052915625446116936,0.052471010175579924,0.05203256364435989,0.05160016717551084,0.05117370499844886,0.05075306416286634,0.050338134455612214,0.04992880832045094,0.049524980780568266,0.049126549363716535,0.04873341402989692,0.04834547710149837,0.0479626431957697,0.0475848191595499,0.04721191400618387,0.046843838854513146,0.04648050686987697,0.04612183320706202,0.04576773495509683,0.04541813108384966,0.04507294239234871,0.044732091458765534,0.04439550259199948,0.044063101784805575,0.043734816668405924,0.04341057646854052,0.04309031196289289,0.04277395543984428,0.04246144065852485,0.04215270281009014,0.04184767848019214,0.04154630561261468,0.04124852347400809,0.040954272619696516,0.04066349486053625
4,TOI-1801b,0.0023022720072088366,0.0022744735502664157,0.0022472117581258918,0.0022204728961714303,0.0021942436472804465,0.002168511098279067,0.0021432627267741213,0.0021184863883638824,0.0020941703042257473,0.002070303049080141,0.002046873539526314,0.002023871022744641,0.002001285065560832,0.0019791055438648283,0.001957322632376553,0.0019359267947519703,0.0019149087740205032,0.0018942595833454099,0.0018739704970984373,0.0018540330422406812,0.0018344389899996362,0.0018151803478341376,0.0017962493516788596,0.0017776384584584882,0.0017593403388634482,0.0017413478703791258,0.0017236541305589706,0.001706252390534284,0.001689136108752074,0.0016722989249332225,0.0016557346542432805,0.001639437281668364,0.0016234009565889126,0.001607619987544198,0.0015920888371807622,0.0015768021173781328,0.0015617545845452625,0.0015469411350819363,0.0015323568009981982,0.0015179967456870479,0.0015038562598442963,0.0014899307575297418,0.0014762157723653274,0.0014627069538647865,0.0014494000638894994,0.0014362909732267657,0.0014233756582854166,0.0014106501979044507,0.0013981107702705062,0.001385753649940682,0.0013735752049659825,0.0013615718941121003,0.0013497402641743515,0.001338076947382397,0.0013265786588922525,0.0013152421943619854,0.0013040644276081463,0.0012930423083399758,0.0012821728599685396,0.0012714531774880875,0.001260880425426983,0.0012504518358657146,0.0012401647065195475,0.0012300163988834044,0.0012200043364370898,0.001210126002907974,0.0012003789405898952,0.001190760748715906,0.001181269081882594,0.001171901648524855,0.0011626562094389666,0.0011535305763519354,0.0011445226105361713,0.001135630221467463,0.0011268513655247538,0.001118184044730251,0.0011096263055288876,0.0011011762376051115,0.001092831972736037,0.0010845916836800282,0.0010764535830988563,0.0010684159225126059,0.0010604769912865367,0.0010526351156480915,0.0010448886577336758,0.0010372360146638684,0.0010296756176462105,0.001022205931104627,0.0010148254518346099,0.0010075327081832224,0.001000326259253321,0.0009932046941309044,0.0009861666311348956,0.0009792107170889922,0.0009723356266142713,0.0009655400614421616,0.0009588227497474018,0.0009521824454997734,0.0009456179278342785,0.0009391280004395283
5,TOI-836c,0.005195056736604476,0.005129995375125866,0.005066251639241057,0.005003789504669475,0.004942574156041473,0.004882571940401366,0.004823750322620248,0.004766077842645947,0.004709524074514586,0.004654059587056344,0.004599655906225009,0.004546285478983304,0.004493921638682036,0.004442538571869207,0.00439211128646749,0.004342615581264686,0.004294028016659457,0.004246325886608664,0.0041994871917246275,0.004153490613474311,0.004108315489430347,0.00406394178952958,0.0040203500932966835,0.003977521567988584,0.0039354379476209626,0.0038940815128397067,0.0038534350715980744,0.0038134819406069,0.003774205927523255,0.003735591313845875,0.0036976228384868475,0.003660285681990315,0.0036235654513704025,0.0035874481655417006,0.003551920241316947,0.003516968479947629,0.00348258005418408,0.0034487424958339783,0.003415443683796046,0.0033826718325511446,0.0033504154810904117,0.0033186634822610726,0.0032874049925143817,0.003256629462037867,0.0032263266252549458,0.0031964864916785673,0.003167099337103024,0.003138155695119992,0.003109646348945474,0.003081562323546074,0.00305389487805055,0.0030266354984359633,0.002999775890478192,0.002973307972954159,0.002947223871087391,0.002921515910226327,0.002896176609746283,0.002871198677166215,0.0028465750024717334,0.002822298652636278,0.0027983628663326467,0.002774761048827455,0.0027514867670514133,0.0027285337448383898,0.002705895858327539,0.0026835671315206264,0.002661541731990411,0.002639813966733497,0.002618378278161398,0.0025972292402261354,0.0025763615546744996,0.002555770047425432,0.00253544966506742,0.0025153954714704947,0.0024956026445085936,0.0024760664728881955,0.0024567823530802658,0.0024377457863502417,0.002418952375883228,0.0024003978240016207,0.0023820779294704384,0.00236398858488788,0.0023461257741587815,0.002328485570046426,0.0023110641318013145,0.002293857702863463,0.002276862608635838,0.0022600752543263966,0.0022434921228563676,0.0022271097728322796,0.002210924836580022,0.0021949340182381336,0.0021791340919084605,0.0021635218998630056,0.0021480943508037664,0.002132848418174399,0.0021177811385225563,0.002102889609909965,0.0020881709903692327,0.0020736224964066226
6,TOI-3807b,0.12027885539334882,0.11871094070786266,0.11717638748086612,0.11567422459476567,0.1142035163361464,0.11276336086613145,0.11135288876592205,0.10997126165349709,0.10861767086757863,0.107291336215332,0.10599150478036094,0.10471744978776011,0.10346846952326016,0.1022438863035785,0.10104304549525317,0.0998653145794818,0.0987100822605278,0.0975767576154338,0.09646476928290751,0.09537356468940074,0.09430260931042049,0.09325138596530548,0.09221939414379746,0.09120614936274886,0.090211182551481,0.08923403946438782,0.08827428011937061,0.08733147826087868,0.0864052208463188,0.08549510755469535,0.08460075031639865,0.0837217728631149,0.08285781029688882,0.0820085086774189,0.08117352462671622,0.0803525249503022,0.07954518627415849,0.07875119469671134,0.07797024545510232,0.0772020426051325,0.07644629871422444,0.07570273456678056,0.07497107888141494,0.07425106803949534,0.073542445824462,0.07284496317148084,0.07215837792694049,0.0714824546173545,0.070816964227251,0.07016168398567987,0.06951639716091682,0.06888089286302712,0.0682549658539682,0.06763841636485884,0.06703104992014734,0.06643267716836332,0.06584311371917771,0.06526217998650416,0.0646897010373859,0.06412550644642676,0.06356943015553383,0.06302131033875227,0.06248098927198176,0.061948313207369134,0.06142313225220446,0.06090530025210078,0.06039467467832509,0.059891116519094775,0.05939449017466303,0.05890466335607721,0.05842150698744652,0.05794489511156356,0.0574747047987827,0.05701081605900554,0.05655311175665333,0.05610147752851024,0.05565580170434765,0.05521597523018978,0.05478189159413594,0.054353446754658225,0.05393053907124907,0.05351306923734611,0.05310094021546537,0.05269405717442411,0.05229232742860818,0.05189566037919128,0.051503967457239834,0.05111716206863327,0.05073515954073436,0.05035787707074209,0.04998523367567743,0.04961715014392852,0.049253548988303274,0.04889435440055397,0.048539492207292055,0.04818888982725893,0.047842476229918635,0.04750018189529836,0.04716193877504676,0.046827680254686116
7,TOI-4087b,0.07502082995999691,0.07403625042228174,0.0730727894346117,0.07212982624827427,0.07120676301974226,0.07030302380568101,0.06941805360837755,0.06855131746881232,0.06770229960469691,0.06687050259104763,0.06605544658094133,0.06525666856424214,0.0644737216622743,0.06370617445647868,0.06295361034920642,0.06221562695496691,0.06149183552048388,0.06078186037203381,0.060085338388627944,0.05940191849970466,0.05873126120601795,0.058073038122535725,0.05742693154222809,0.056792634019639146,0.05616984797324912,0.055558285305688376,0.05495766704086432,0.05436772297718381,0.05378819135605035,0.053218818544880635,0.052659358733922884,0.05210957364619741,0.051569232259918295,0.051038110542788735,0.05051599119759586,0.050002663418561626,0.049497922657931494,0.04900157040232775,0.04851341395837693,0.048033266247207135,0.047560945607385205,0.047096275605887174,0.04663908485675752,0.046189206847089236,0.045746479769975985,0.045310746364146094,0.04488185375995803,0.04445965333147151,0.044044000554321006,0.04363475486915002,0.04323177955033295,0.042834941579764495,0.04244411152550667,0.042059163425053246,0.04167997467303582,0.04130642591316756,0.04093840093424527,0.04057578657003682,0.04021847260288785,0.03986635167089113,0.039519319178467974,0.03917727321021957,0.038840114447911675,0.038507746090460225,0.03818007377680523,0.03785700551153194,0.03753845159315278,0.037224324544930326,0.03691453904812782,0.03660901187761151,0.0363076618396997,0.036010409712158596,0.035717178186281506,0.03542789181095555,0.035142476938638444,0.03486086167317051,0.034582975819363655,0.03430875083427824,0.034038119780132915,0.033771017278794876,0.033507379467770555,0.03324714395764971,0.03299024979095829,0.03273663740234472,0.032486248580069696,0.03223902642874076,0.03199491533324877,0.03175386092386117,0.031515810042430537,0.03128071070967482,0.0310485120934974,0.030819164478300177,0.03059261923525628,0.03036882879351945,0.030147746612318196,0.029929327153912607,0.029713525857391763,0.029500299113264846,0.029289604238826546,0.029081399454281114
8,TOI-2818b,0.09815938246734916,0.09688144562012542,0.09563065861756373,0.09440623262949102,0.09320740751713684,0.09203345059726449,0.09088365546679486,0.08975734088470733,0.08865384970810017,0.0875725478795845,0.0865128234632556,0.08547408572664547,0.08445576426628075,0.0834573081745291,0.08247818524554812,0.08151788121834852,0.08057589905501229,0.07965175825225027,0.07874499418458239,0.07785515747755038,0.07698181340938394,0.07612454133969951,0.0752829341638876,0.07445659779185232,0.07364515064990718,0.07284822320469533,0.0720654575079943,0.07129650676141797,0.07054103490001826,0.06979871619386929,0.06906923486676034,0.06835228473116989,0.06764756883873882,0.06695479914550029,0.06627369619116455,0.0656039887917934,0.06494541374522839,0.0642977155486937,0.06366064612796887,0.06303396457763652,0.06241743691187534,0.061810835825295694,0.06121394046339556,0.060626536202181405,0.06004841443652233,0.05947937237688031,0.058919212854019354,0.05836774413133886,0.05782477972449323,0.0572901382279986,0.05676364314848596,0.05624512274432819,0.05573440987138082,0.05523134183453578,0.054735760244870854,0.05424751088214009,0.05376644356238165,0.0532924120104273,0.05282527373710629,0.05236488992094789,0.05191112529419457,0.05146384803294759,0.05102292965127489,0.050588244899114426,0.0501596716638332,0.049737090875263595,0.049320386414109976,0.048909445023574895,0.0485041562240615,0.04810441223085859,0.047710107874675306,0.047321140524899455,0.04693741001550079,0.04655881857345796,0.04618527074961145,0.045816673351848365,0.045452935380546566,0.04509396796616417,0.04473968430890634,0.04438999962040314,0.04404483106729657,0.043704097716678096,0.04336772048332044,0.04303562207860762,0.04270772696112623,0.042383961288843225,0.04206425287281609,0.04174853113237835,0.04143672705174775,0.04112877313800191,0.04082460338038132,0.04052415321085998,0.040227359465941484,0.039934160349651755,0.039644495397662044,0.03935830544251434,0.03907553257992163,0.038796120136082704,0.03852001263598716,0.038247155772691284
9,TOI-3235b,0.09894611231816583,0.09779386923967745,0.09666277881599038,0.09555233942280385,0.09446206277368124,0.0933914736062615,0.09234010936731438,0.09130751989795993,0.09029326712010771,0.08929692472513058,0.0883180778655552,0.08735632285043132,0.0864112668450114,0.08548252757519587,0.08456973303711766,0.08367252121224196,0.08279053978820697,0.08192344588560921,0.08107090579088562,0.080232594695432,0.07940819644097993,0.07859740327129526,0.0777999155902307,0.07701544172607079,0.07624369770215769,0.07548440701376646,0.07473730041110854,0.07400211568842714,0.07327859747906808,0.07256649705642962,0.07186557214068179,0.07117558671113781,0.07049631082415866,0.06982752043646494,0.06916899723373043,0.06852052846432816,0.06788190677809393,0.06725293006999725,0.06663340132854845,0.06602312848885876,0.06542192429020272,0.06482960613793665,0.06424599596968653,0.0636709201256604,0.06310420922294592,0.06254569803371081,0.06199522536716491,0.06145263395516906,0.0609177703413789,0.06039048477383653,0.05987063110086618,0.05935806667018863,0.05885265223117015,0.058354251840067047,0.057862732768205395,0.05737796541298499,0.05689982321162102,0.05642818255753599,0.055962922719315474,0.05550392576214571,0.05505107647165221,0.05460426228006209,0.05416337319461486,0.05372830172814466,0.05329894283177896,0.052875193829653944,0.05245695435561609,0.0520441262918298,0.051636613709213595,0.05123432280967628,0.050837161870078994,0.05044504118785291,0.050057873028248615,0.049675571573145644,0.04929805287137194,0.048925234790484315,0.048557036969981204,0.04819338077587234,0.047834189256576475,0.04747938710011798,0.04712890059255302,0.0467826575775999,0.04644058741744941,0.046102620954685855,0.045768690475311756,0.04543872967282647,0.045112673613329914,0.044790458701618144,0.04447202264824029,0.04415730443748297,0.04384624429626287,0.043538783663886096,0.04323486516265063,0.04293443256928155,0.04263743078714739,0.04234380581924627,0.04205350474195001,0.04176647567945842,0.041482667778953874,0.04120203118645056
