,Planet Name,Eclipse Flux Ratio 1.1-1.1425um,Eclipse Flux Ratio 1.1425-1.185um,Eclipse Flux Ratio 1.185-1.2275um,Eclipse Flux Ratio 1.2275-1.27um,Eclipse Flux Ratio 1.27-1.3125um,Eclipse Flux Ratio 1.3125-1.355um,Eclipse Flux Ratio 1.355-1.3975um,Eclipse Flux Ratio 1.3975-1.44um,Eclipse Flux Ratio 1.44-1.4825um,Eclipse Flux Ratio 1.4825-1.525um,Eclipse Flux Ratio 1.525-1.5675um,Eclipse Flux Ratio 1.5675-1.61um,Eclipse Flux Ratio 1.61-1.6525um,Eclipse Flux Ratio 1.6525-1.695um,Eclipse Flux Ratio 1.695-1.7375um,Eclipse Flux Ratio 1.7375-1.78um,Eclipse Flux Ratio 1.78-1.8225um,Eclipse Flux Ratio 1.8225-1.865um,Eclipse Flux Ratio 1.865-1.9075um,Eclipse Flux Ratio 1.9075-1.95um
0,TOI-5704b,3.9074344183956154e-08,5.690887842126764e-08,8.06643113969492e-08,1.1158179731320529e-07,1.5099317853944793e-07,2.0030118250408825e-07,2.6095807205464556e-07,3.344436659738273e-07,4.2224354404516236e-07,5.258281224090023e-07,6.466331451526556e-07,7.860419988034631e-07,9.4537012588798e-07,1.1258516972393521e-06,1.3286286030985726e-06,1.5547417412240875e-06,1.8051245158272786e-06,2.080598412935538e-06,2.3818704839742016e-06,2.7095325479282317e-06
1,TOI-672b,1.8273675241282223e-09,3.17123808886528e-09,5.2916709617334185e-09,8.523961761285444e-09,1.3300700771384401e-08,2.0165213064443243e-08,2.9783601237278584e-08,4.295484443241225e-08,6.06185137170146e-08,8.385978808212372e-08,1.1391158584589948e-07,1.5215375335277605e-07,2.001093690344017e-07,2.594383209625664e-07,3.3192839699985817e-07,4.194841874437834e-07,5.241141410576489e-07,6.479161380645082e-07,7.930619502362231e-07,9.6178095121367e-07
2,TOI-199b,2.976932493145686e-17,9.923885926870328e-17,3.03907622955576e-16,8.623015506101857e-16,2.283845134336977e-15,5.6831876292103214e-15,1.3363488994321073e-14,2.9842961284755934e-14,6.357678548778265e-14,1.2972204530519012e-13,2.54404240558633e-13,4.810657345713203e-13,8.796025429188106e-13,1.5591179371317666e-12,2.6852302005927553e-12,4.5029581617414295e-12,7.366263152290952e-12,1.1775342560175247e-11,1.8422743003952837e-11,2.8249287662069376e-11
3,WASP-176b,3.207246961334373e-05,3.8336660392238155e-05,4.5214038550850904e-05,5.268790736995913e-05,6.073656114230676e-05,6.933425558214571e-05,7.845211491472329e-05,8.80589579172823e-05,9.812203356099968e-05,0.0001086076631982925,0.00011948179076960429,0.00013071044559566792,0.00014226012428116114,0.00015409809935214828,0.00016619266270844187,0.00017851331197641957,0.00019103088754270596,0.0002037176675458814,0.00021654742748555638,0.0002294954704367231
4,TOI-1801b,2.566188349909922e-13,5.736355103696446e-13,1.2113582155161247e-12,2.43048200453035e-12,4.65657532354498e-12,8.556453884437349e-12,1.5137050407011095e-11,2.5868965671135178e-11,4.283594646372159e-11,6.891041286348003e-11,1.0795393441402752e-10,1.650403214471619e-10,2.466978394364732e-10,3.6116604420046735e-10,5.186619303301925e-10,7.316495210196654e-10,1.015106721317755e-09,1.3867832073213107e-09,1.867443314374286e-09,2.481088289665436e-09
5,TOI-836c,8.786374829774654e-11,1.586663642019017e-10,2.7469272860966094e-10,4.5788022835340255e-10,7.375870657092718e-10,1.1519731343381977e-09,1.7493540163834914e-09,2.5894713548689995e-09,3.744626549049383e-09,5.30063150469211e-09,7.357539175596837e-09,1.0030126948928805e-08,1.3448116706752062e-08,1.775612591475112e-08,2.3113353779138158e-08,2.9693014973218957e-08,3.7681540422775735e-08,4.727757004868561e-08,5.869076620215283e-08,7.214047888304202e-08
6,TOI-3807b,5.083352714707422e-05,6.139959268481445e-05,7.312100775398432e-05,8.598303526645685e-05,9.996024222994313e-05,0.00011501811108080845,0.00013111462093459868,0.00014820174971621073,0.0001662268644891625,0.0001851339804784785,0.0002048648795140056,0.00022536008627819251,0.0002465597062370624,0.0002684041328716759,0.000290834634181702,0.0003137938297266672,0.00033722606997601504,0.00036107772967803583,0.0003852974265063332,0.00040983617553766395
7,TOI-4087b,1.4596611167625508e-05,1.833544725362031e-05,2.2645103644815174e-05,2.7545865796927795e-05,3.305180082756238e-05,3.917098930634812e-05,4.590588351020006e-05,5.325375524849901e-05,6.120720112641396e-05,6.975467830337001e-05,7.888104894132193e-05,8.85681163232865e-05,9.879513988788638e-05,0.00010953932009624704,0.00012077624711316792,0.00013248030977532402,0.00014462506328892023,0.00015718355561250796,0.00017012861360540343,0.00018343309082395224
8,TOI-2818b,1.1468418985731398e-05,1.4612602847532461e-05,1.828830419250015e-05,2.252362569953803e-05,2.7341061093468603e-05,3.275745920837042e-05,3.8784141739091574e-05,4.542714277253732e-05,5.268754000731439e-05,6.056185054827606e-05,6.904246774030141e-05,7.81181192754018e-05,8.777433048981835e-05,9.799388018604904e-05,0.00010875723936877098,0.00012004298592920529,0.00013182819054377635,0.00014408877088899636,0.000156799812749195,0.00016993585774839566
9,TOI-3235b,2.90339627049234e-09,5.395212568690423e-09,9.594851213943e-09,1.6402956908047917e-08,2.7060564699468727e-08,4.3226297523555344e-08,6.70567522969586e-08,1.012872301744113e-07,1.4930984672079897e-07,2.152461253162971e-07,3.040114088491736e-07,4.213687870724001e-07,5.739706913646588e-07,7.693868161014588e-07,1.016117550488033e-06,1.323592615876647e-06,1.7021550770684388e-06,2.1630313144111047e-06,2.718287895593912e-06,3.3807765665334806e-06
10,TOI-4463Ab,1.337883454002378e-05,1.6966131160049852e-05,2.1140644961857522e-05,2.5930230434602332e-05,3.1356468183409626e-05,3.7434713137986144e-05,4.4174300595291863e-05,5.157887384997658e-05,5.9646800098482406e-05,6.83716452551191e-05,7.774268270952092e-05,8.7745415476971e-05,9.836209537923988e-05,0.00010957222668519587,0.00012135304495828025,0.00013367996467831587,0.0001465269915410621,0.0001598670972260175,0.0001736725559089954,0.00018791524293375385
11,TOI-3785b,1.5031914667500661e-10,2.870167317985612e-10,5.23462017478578e-10,9.161367233453523e-10,1.544840095232892e-09,2.518753370756973e-09,3.983003108308005e-09,6.12552604642611e-09,9.18401135780834e-09,1.3452683837095998e-08,1.9288693466049273e-08,2.7117891494905757e-08,3.7439798405388623e-08,5.0831602170528425e-08,6.795106326815705e-08,8.953824324240004e-08,1.1641601385948578e-07,1.4948934211144486e-07,1.8974338099114757e-07,2.382404260650707e-07
12,WASP-124b,1.3065313075533239e-05,1.665719577332492e-05,2.085802045040775e-05,2.5700116154599995e-05,3.120936134231931e-05,3.740514152231731e-05,4.4300484634975874e-05,5.19023371960692e-05,6.021194633927383e-05,6.922531635129987e-05,7.893371245172684e-05,8.932418895022548e-05,0.00010038012319119097,0.00011208174066365386,0.0001244066201966021,0.00013733017122559684,0.00015082607769956448,0.0001648667053196231,0.00017942347050461938,0.00019446717080924886
13,WASP-25b,5.0570279832549624e-06,6.729203740441491e-06,8.768524456357039e-06,1.121282535684208e-05,1.4097398157016123e-05,1.7454424848552442e-05,2.131254763334255e-05,2.569656998773794e-05,3.062727883713953e-05,3.612137463590822e-05,4.219149445675001e-05,4.8846312665536636e-05,5.6090704086079194e-05,6.392595548024426e-05,7.23500124646813e-05,8.135775048543047e-05,9.094126004697672e-05,0.00010109013795014005,0.00011179177777036012,0.00012303165416464014
14,LHS1140c,3.612252124448776e-15,9.71997258415425e-15,2.43972474808438e-14,5.75236227952365e-14,1.2818256212465024e-13,2.713969129514704e-13,5.485401621276575e-13,1.0627562765740662e-12,1.980929127636882e-12,3.5638979719121924e-12,6.206695778428755e-12,1.049057499956293e-11,1.7248470408083895e-11,2.7645328723556363e-11,4.327441597716973e-11,6.62703093339233e-11,9.943880970494283e-11,1.4640349822640592e-10,2.1176812878727064e-10,3.0129352547693744e-10
15,TOI-1199b,7.57984014720422e-06,9.428337501455162e-06,1.1539050149465151e-05,1.3918348364392049e-05,1.6569774915212974e-05,1.9494222490846896e-05,2.2690155136469156e-05,2.61538572309293e-05,2.9879696315416435e-05,3.386038881466788e-05,3.8087260212759377e-05,4.2550493469579616e-05,4.723936135715685e-05,5.214243995710732e-05,5.724780181275937e-05,6.25431882046714e-05,6.801616075396593e-05,7.365423309244259e-05,7.944498370810746e-05,8.537615131236902e-05
16,TOI-1273b,2.230917396082519e-06,2.9802155849375444e-06,3.897535833157507e-06,5.000961356136768e-06,6.3075039039680465e-06,7.832822484799432e-06,9.591003717101519e-06,1.1594402620628863e-05,1.3853540116396357e-05,1.637705180828822e-05,1.9171681629041022e-05,2.2242313507532216e-05,2.5592034215236857e-05,2.9222220855530898e-05,3.3132646967799375e-05,3.732160184675959e-05,4.17860183625941e-05,4.652160526253223e-05,5.1522980606436125e-05,5.6783803615950655e-05
17,TOI-5803b,1.4763628849003968e-10,2.6301814869937395e-10,4.496110043224794e-10,7.405717239354998e-10,1.1796684592541117e-09,1.8230540756812524e-09,2.74094775997969e-09,4.019150458922771e-09,5.760328405988955e-09,8.085011101787237e-09,1.1132264379194689e-08,1.5060014321723156e-08,2.0045012703416055e-08,2.6282448405270865e-08,3.398522131514109e-08,4.338290515628449e-08,5.472043334755221e-08,6.82565473812143e-08,8.426205044737009e-08,1.0301791035985577e-07
18,TOI-3819b,2.1291070165191796e-05,2.5794135831067067e-05,3.080414853508225e-05,3.6316560250355375e-05,4.2322000175880014e-05,4.8806954226170167e-05,5.575444154677611e-05,6.31446648752862e-05,7.095561876647248e-05,7.916364559701125e-05,8.77439339228899e-05,9.667095731279193e-05,0.00010591885438445667,0.0001154617525940126,0.0001252740395265827,0.0001353305861488252,0.00014560692682898254,0.0001560794010055543,0.00016672526127092902,0.00017752275239343594
19,TOI-4791b,9.048983809354512e-06,1.1327565723877952e-05,1.394514214919465e-05,1.691235763385199e-05,2.0236164111220823e-05,2.3919994193582778e-05,2.7964003189070053e-05,3.2365357953607936e-05,3.711855384877044e-05,4.221574436801505e-05,4.764707116021874e-05,5.34009850657312e-05,5.9464551306596246e-05,6.582373411188598e-05,7.246365781831703e-05,7.936884289338012e-05,8.652341642211181e-05,9.391129742279463e-05,0.00010151635795476985,0.00010932256139405461
20,TOI-4377b,2.2110623433784916e-05,2.5547089196166452e-05,2.9198385555040633e-05,3.3047622423404013e-05,3.70773976129828e-05,4.127016400781106e-05,4.56085290643349e-05,5.007549281233654e-05,5.4654631425429353e-05,5.933023366621812e-05,6.408739730995243e-05,6.891209217738573e-05,7.379119578321546e-05,7.871250691577555e-05,8.36647417639707e-05,8.863751653568063e-05,9.3621319890015e-05,9.86074779453433e-05,0.00010358811413022576,0.00010855610571476567
21,Wolf327b,2.737846680460932e-07,3.640805392779746e-07,4.743099522290356e-07,6.066059836403179e-07,7.629860274706692e-07,9.453197435977676e-07,1.1553035369483109e-06,1.3944414970644035e-06,1.6640324617105639e-06,1.9651626845834435e-06,2.298703474148433e-06,2.6653131146615014e-06,3.0654423685438014e-06,3.4993428797639576e-06,3.967077840760287e-06,4.468534342527631e-06,5.003436892360398e-06,5.571361651495685e-06,6.1717510119760735e-06,6.8039281959801265e-06
22,HD118203b,2.257094166450402e-06,2.8940287276252224e-06,3.6431630353474753e-06,4.511228258037418e-06,5.503798282216453e-06,6.6252595728555425e-06,7.87881620308873e-06,9.266523666363432e-06,1.0789345221135305e-05,1.2447224964365612e-05,1.4239172459228424e-05,1.6163354458930036e-05,1.8217190003659872e-05,2.039744587497667e-05,2.270033004242142e-05,2.5121581315020177e-05,2.7656553909213236e-05,3.030029606471445e-05,3.3047622185115004e-05,3.589317825740001e-05
23,TOI-1470b,1.5770886502165008e-09,2.607322660772544e-09,4.15883463882344e-09,6.423346145492697e-09,9.636819142739927e-09,1.4082708089603877e-08,2.00941607064664e-08,2.805506791656562e-08,3.839992470955753e-08,5.161252009491883e-08,6.822352277787922e-08,8.880706790200102e-08,1.139764785194908e-07,1.4437927363048861e-07,1.806916235672459e-07,2.2361241447143413e-07,2.738570780961631e-07,3.321513326669091e-07,3.9922496649026157e-07,4.7580577969271594e-07
