,Planet Name,Noise Estimate 1.1-1.1425um,Full Phase Curve Noise Estimate 1.1-1.1425um,Noise Estimate 1.1425-1.185um,Full Phase Curve Noise Estimate 1.1425-1.185um,Noise Estimate 1.185-1.2275um,Full Phase Curve Noise Estimate 1.185-1.2275um,Noise Estimate 1.2275-1.27um,Full Phase Curve Noise Estimate 1.2275-1.27um,Noise Estimate 1.27-1.3125um,Full Phase Curve Noise Estimate 1.27-1.3125um,Noise Estimate 1.3125-1.355um,Full Phase Curve Noise Estimate 1.3125-1.355um,Noise Estimate 1.355-1.3975um,Full Phase Curve Noise Estimate 1.355-1.3975um,Noise Estimate 1.3975-1.44um,Full Phase Curve Noise Estimate 1.3975-1.44um,Noise Estimate 1.44-1.4825um,Full Phase Curve Noise Estimate 1.44-1.4825um,Noise Estimate 1.4825-1.525um,Full Phase Curve Noise Estimate 1.4825-1.525um,Noise Estimate 1.525-1.5675um,Full Phase Curve Noise Estimate 1.525-1.5675um,Noise Estimate 1.5675-1.61um,Full Phase Curve Noise Estimate 1.5675-1.61um,Noise Estimate 1.61-1.6525um,Full Phase Curve Noise Estimate 1.61-1.6525um,Noise Estimate 1.6525-1.695um,Full Phase Curve Noise Estimate 1.6525-1.695um,Noise Estimate 1.695-1.7375um,Full Phase Curve Noise Estimate 1.695-1.7375um,Noise Estimate 1.7375-1.78um,Full Phase Curve Noise Estimate 1.7375-1.78um,Noise Estimate 1.78-1.8225um,Full Phase Curve Noise Estimate 1.78-1.8225um,Noise Estimate 1.8225-1.865um,Full Phase Curve Noise Estimate 1.8225-1.865um,Noise Estimate 1.865-1.9075um,Full Phase Curve Noise Estimate 1.865-1.9075um,Noise Estimate 1.9075-1.95um,Full Phase Curve Noise Estimate 1.9075-1.95um
0,TOI-5704b,4.710904346215291e-05,1.4728358357759827e-05,4.8052971603287185e-05,1.5023471798935276e-05,4.905573268655387e-05,1.5336979004689356e-05,5.0111608870954064e-05,1.5667092326513945e-05,5.121582330783884e-05,1.6012318311484682e-05,5.2364351157743544e-05,1.6371398617813846e-05,5.3553774281727195e-05,1.6743264584973877e-05,5.478116832395811e-05,1.712700193074868e-05,5.6044014099539665e-05,1.752182304717171e-05,5.734012741880211e-05,1.7927045060513995e-05,5.866760303801592e-05,1.8342072307812652e-05,6.002476953625473e-05,1.876638222939419e-05,6.141015271768875e-05,1.9199513926822228e-05,6.282244572101007e-05,1.9641058817789595e-05,6.426048444639726e-05,2.0090652953506967e-05,6.572322722902761e-05,2.0547970663749053e-05,6.720973792713335e-05,2.101271926943735e-05,6.871917177337481e-05,2.14846346591573e-05,7.025076347620169e-05,2.1963477569120622e-05,7.180381716383895e-05,2.244903043921315e-05
1,TOI-672b,6.822329355736447e-05,2.1689456222202176e-05,6.890093910614992e-05,2.1904892368687745e-05,6.969659573658707e-05,2.2157846436923415e-05,7.059613340810001e-05,2.2443826223725943e-05,7.158790778254083e-05,2.2759129777029906e-05,7.266223690638947e-05,2.310067902340804e-05,7.381100378443997e-05,2.3465893418840905e-05,7.502735113179687e-05,2.3852592904688895e-05,7.630544446239501e-05,2.4258922589118275e-05,7.764028642498746e-05,2.468329372105232e-05,7.902756998390056e-05,2.512433701359765e-05,8.04635613379435e-05,2.5580865421784022e-05,8.194500581823473e-05,2.6051844225729954e-05,8.346905169696504e-05,2.6536366808028828e-05,8.503318807104106e-05,2.7033634905801778e-05,8.663519389105692e-05,2.7542942406057995e-05,8.827309587956895e-05,2.8063661967130175e-05,8.994513358756372e-05,2.8595233909474624e-05,9.164973021980975e-05,2.9137156940506932e-05,9.338546815077334e-05,2.9688980370655396e-05
2,TOI-199b,4.11572047510621e-05,2.564068305441559e-06,4.2213743480163784e-05,2.629890012361323e-06,4.331366345963506e-05,2.6984143442478675e-06,4.4453439394124515e-05,2.7694216773893157e-06,4.5630097193002055e-05,2.8427267277857387e-06,4.684110670720282e-05,2.9181718687211235e-06,4.808429863022546e-05,2.995621953747149e-06,4.935779945924329e-05,3.0749602648007897e-06,5.065998010697901e-05,3.1560853107560146e-06,5.198941493991832e-05,3.238908275529922e-06,5.334484885793504e-05,3.32335096716382e-06,5.472517063250012e-05,3.4093441568102046e-06,5.6129391157474416e-05,3.496826223770648e-06,5.75566255867885e-05,3.585742042684341e-06,5.900607857057553e-05,3.6760420637483352e-06,6.047703197870293e-05,3.767681547901188e-06,6.196883463447427e-05,3.860619927238967e-06,6.348089368305134e-05,3.954820267273297e-06,6.501266729719742e-05,4.0502488125036985e-06,6.656365848321715e-05,4.146874600531487e-06
3,WASP-176b,6.617272689039671e-05,2.491593236338284e-05,6.815959368309166e-05,2.5664044779905048e-05,7.020867728479832e-05,2.6435583612082892e-05,7.231577492474966e-05,2.7228966396005765e-05,7.447730660232905e-05,2.8042845158612627e-05,7.669019740886638e-05,2.8876062108468104e-05,7.895178577369966e-05,2.9727615087769267e-05,8.125975121037584e-05,3.0596630366714864e-05,8.361205689187275e-05,3.1482341021426966e-05,8.600690361772724e-05,3.238406960125248e-05,8.844269261582684e-05,3.3301214122569303e-05,9.09179952565021e-05,3.423323666527214e-05,9.343152821982707e-05,3.517965402254788e-05,9.598213299857773e-05,3.614002998315069e-05,9.856875887362501e-05,3.711396892114854e-05,0.0001011904486896096,3.8101110440056094e-05,0.00010384632690360151,3.91011248728119e-05,0.00010653558949010303,4.0113709480721894e-05,0.00010925749537099675,4.113858522658879e-05,0.00011201135910513588,4.2175494022132795e-05
4,TOI-1801b,2.9369087483565927e-05,5.646541050514708e-06,2.9703331177008617e-05,5.710803201558927e-06,3.008605117846629e-05,5.784385474085884e-06,3.0511578700615216e-05,5.866197979267812e-06,3.097523389457126e-05,5.955340962938045e-06,3.147311894854682e-05,6.051065026454961e-06,3.200196069032297e-05,6.152740865237343e-06,3.2558989501111564e-05,6.259835988577392e-06,3.314184519402793e-05,6.3718966237067635e-06,3.3748503146068554e-05,6.488533513829255e-06,3.437721580489783e-05,6.609410672135392e-06,3.502646598272958e-05,6.734236402019998e-06,3.569492927046029e-05,6.862756070771899e-06,3.6381443569697136e-05,6.994746251759826e-06,3.7084984225040775e-05,7.130009943331001e-06,3.780464359614948e-05,7.268372641308143e-06,3.8539614174832545e-05,7.4096790930587035e-06,3.928917455187036e-05,7.5537905994564295e-06,4.005267768925696e-05,7.700582760086636e-06,4.082954106877582e-05,7.849943579197868e-06
5,TOI-836c,1.903425603677749e-05,3.555455552126912e-06,1.9408461728882445e-05,3.6253543547415954e-06,1.9806723169192752e-05,3.6997465897947213e-06,2.0226678865833725e-05,3.7781911484044453e-06,2.0666357108279798e-05,3.860319729906859e-06,2.1124097534098907e-05,3.945822191115058e-06,2.159849085105547e-05,4.034435286862333e-06,2.2088332017433907e-05,4.125933924439522e-06,2.2592583516175957e-05,4.220124303480691e-06,2.311034628215555e-05,4.3168384853972225e-06,2.364083649097759e-05,4.415930057700388e-06,2.4183366879581753e-05,4.5172706448309365e-06,2.4737331601561223e-05,4.620747079246801e-06,2.5302193862301032e-05,4.726259091760126e-06,2.5877475757240505e-05,4.833717413401308e-06,2.6462749868947167e-05,4.943042205815727e-06,2.705763227795378e-05,5.054161755740794e-06,2.7661776717370724e-05,5.167011383131601e-06,2.8274869658523056e-05,5.281532523194973e-06,2.889662615883015e-05,5.397671950804675e-06
6,TOI-3807b,0.00011365151978052289,3.0343137476638625e-05,0.00011695426863788252,3.122491858104625e-05,0.00012036642253677408,3.213590908117732e-05,0.00012388025056756703,3.3074044947846906e-05,0.00012748918286084685,3.4037572131032335e-05,0.00013118758964521452,3.502498757184049e-05,0.00013497060923307695,3.6034993277465887e-05,0.000138834012756064,3.7066460207711166e-05,0.00014277409680813095,3.811839961241298e-05,0.00014678759749943052,3.9189940085200894e-05,0.00015087162109367086,4.028030904478174e-05,0.00015502358760476214,4.1388817676146583e-05,0.0001592411846052915,4.25148485981726e-05,0.00016352232914493885,4.365784569644936e-05,0.00016786513615708946,4.4817305688349784e-05,0.00017226789209221947,4.5992771083566006e-05,0.00017672903278949777,4.718382427618104e-05,0.0001812471248062783,4.8390082559941965e-05,0.00018582084958540464,4.961119390118356e-05,0.00019044898996438148,5.084683333699287e-05
7,TOI-4087b,7.833393696597617e-05,2.539063985174062e-05,8.073634620974073e-05,2.6169340760280595e-05,8.321130622889241e-05,2.6971557793251014e-05,8.575406776663422e-05,2.7795751558230584e-05,8.836057864055046e-05,2.8640608607838575e-05,9.102735266960181e-05,2.9504998954605238e-05,9.375136737290997e-05,3.0387942911738207e-05,9.65299833320658e-05,3.1288584955758896e-05,9.936088004317298e-05,3.2206172934011786e-05,0.00010224200444799754,3.314004138189453e-05,0.00010517152930650844,3.408959803001091e-05,0.00010814781927576105,3.505431280920635e-05,0.00011116940307326494,3.603370882778765e-05,0.00011423495048163721,3.702735491796469e-05,0.00011734325323353754,3.803485944002075e-05,0.00012049320902804939,3.9055865101488944e-05,0.0001236838080906417,4.009004460078782e-05,0.0001269141218118955,4.1137096944653994e-05,0.0001301832930950383,4.2196744319456385e-05,0.00013349052811592545,4.326872942033139e-05
8,TOI-2818b,6.965308580558977e-05,2.260355211673276e-05,7.165606018531499e-05,2.32535496761656e-05,7.372659996881887e-05,2.392547330115513e-05,7.585986500707456e-05,2.4617752285112888e-05,7.805174498093511e-05,2.5329052763042383e-05,8.029872021815281e-05,2.6058232544412275e-05,8.259775338231859e-05,2.6804305964466663e-05,8.494620433903062e-05,2.75664162569208e-05,8.734176261526098e-05,2.834381363593395e-05,8.978239335066919e-05,2.913583775643705e-05,9.226629369485748e-05,2.9941903564337334e-05,9.479185736461436e-05,3.0761489794771004e-05,9.735764562884945e-05,3.159412955624565e-05,9.996236339643999e-05,3.243940257075993e-05,0.00010260483938518811,3.329692873830971e-05,0.00010528400957737807,3.416636276794895e-05,0.00010799890333948544,3.5047389673411084e-05,0.00011074863171485723,3.5939720973894365e-05,0.00011353237749916461,3.684309147338596e-05,0.000116349386786635,3.775725651727763e-05
9,TOI-3235b,0.00019560720340622048,5.0481751707833654e-05,0.00019629788476001697,5.066000079071215e-05,0.00019740342628576143,5.094531580893993e-05,0.00019886961070695632,5.132370452172646e-05,0.00020065208756468614,5.178372108854997e-05,0.00020271424048754903,5.231591566023637e-05,0.00020502557944527376,5.291241945633732e-05,0.00020756051445920513,5.356662828781386e-05,0.0002102974100698055,5.427295853669361e-05,0.0002132178489202941,5.50266571038272e-05,0.00021630605282774032,5.582365200055964e-05,0.0002195484236862255,5.666043386632174e-05,0.00022293317642962541,5.7533961244707075e-05,0.00022645004335568824,5.8441584276269475e-05,0.0002300900342339184,5.9380982787846734e-05,0.00023384524036568837,6.0350115724950615e-05,0.00023770867353247482,6.134717958798482e-05,0.00024167413283165284,6.237057406560485e-05,0.00024573609395160114,6.341887345915155e-05,0.0002498896166151846,6.449080279592774e-05
