,Planet Name,TSM Estimate 1.1-1.1425um,TSM Estimate 1.1425-1.185um,TSM Estimate 1.185-1.2275um,TSM Estimate 1.2275-1.27um,TSM Estimate 1.27-1.3125um,TSM Estimate 1.3125-1.355um,TSM Estimate 1.355-1.3975um,TSM Estimate 1.3975-1.44um,TSM Estimate 1.44-1.4825um,TSM Estimate 1.4825-1.525um,TSM Estimate 1.525-1.5675um,TSM Estimate 1.5675-1.61um,TSM Estimate 1.61-1.6525um,TSM Estimate 1.6525-1.695um,TSM Estimate 1.695-1.7375um,TSM Estimate 1.7375-1.78um,TSM Estimate 1.78-1.8225um,TSM Estimate 1.8225-1.865um,TSM Estimate 1.865-1.9075um,TSM Estimate 1.9075-1.95um
0,TOI-5704b,3.3536556259664563,3.2877781200515783,3.2205717861808973,3.1527127585863823,3.0847401923258086,3.017081375931162,2.9500723480222293,2.8839747941566416,2.8189898810628753,2.7552695773909726,2.6929259158308096,2.6320385710989456,2.572661060900444,2.514825821050624,2.458548359879427,2.40383065929194,2.350663959023801,2.2990310354985906,2.2489080662342924,2.200266154099553
1,TOI-672b,7.3314301835041675,7.259325055554765,7.176452570149877,7.085010034659187,6.98685475099905,6.883552377404789,6.776419340742912,6.666559675362863,6.554896798367043,6.442200777914094,6.329111646814174,6.216159281141144,6.103780317179823,5.99233252847311,5.882107033158114,5.77333865303623,5.666214701327746,5.560882436375457,5.457455383719355,5.3560186987228295
2,TOI-199b,6.9103410659347135,6.7373868959049314,6.566295700556381,6.397937393072417,6.232954555134404,6.071810470409179,5.9148272981477845,5.76221641293382,5.614102523328208,5.470542849520948,5.331542374555658,5.197065972809273,5.067048052461807,4.9414002167568185,4.82001734465666,4.702782409204592,4.589570286870065,4.480250759706648,4.374690871398967,4.2727567659469425
3,WASP-176b,4.8394618565422265,4.698390504180821,4.561265075973734,4.428361419934954,4.299838465418491,4.175766897849151,4.056151290198418,3.9409471843001453,3.8300742695948307,3.72342654204627,3.6208801231381087,3.52229926348446,3.4275409364598497,3.336458335784289,3.248903520638229,3.1647293976505884,3.0837911872100565,3.00594748911781,2.931061037433147,2.858999214792828
4,TOI-1801b,3.443662258917319,3.40491164251236,3.3615982883916877,3.3147160013702512,3.265099417496969,3.213447587172377,3.1603444277893806,3.106276321706611,3.051647171540758,2.996791226806713,2.941983979155975,2.887451397348065,2.833377743367435,2.779912181116318,2.727174360713532,2.6752591355284765,2.624240546031269,2.574175184374861,2.525105036188986,2.47705988111978
5,TOI-836c,5.449272517828461,5.344207581591501,5.236749533605432,5.128021708681373,5.0189226758772305,4.910167080562411,4.802319246923373,4.695820772553381,4.591013163424096,4.48815638901139,4.387444088880162,4.28901603465712,4.192968343925013,4.09936185308673,4.008228982283964,3.9195793646614216,3.8334044624826293,3.749681351935264,3.668375825288952,3.5894449320280497
6,TOI-3807b,5.029658957018383,4.887623094910308,4.749068489330704,4.6143625139915265,4.483740279885435,4.357335827182879,4.235206373379628,4.117351167017185,4.003726146564597,3.8942553334254044,3.7888396790537233,3.687363924903123,3.5897019094635896,3.495720660486637,3.4052835361115408,3.3182526209634666,3.2344905385394505,3.1538618063808204,3.076233833384419,3.0014776373965915
7,TOI-4087b,5.668329988668155,5.499661860857321,5.3360850124536485,5.177860544680156,5.025121053597455,4.877903080916063,4.736172031161081,4.599841300160943,4.468786949569618,4.342858949528156,4.221889773425647,4.10570094716835,3.9941080167719853,3.886924292106718,3.78396364340595,3.6850425647749203,3.5899816709175187,3.4986067562503984,3.4107495169179027,3.326248014009555
8,TOI-2818b,8.108970084690744,7.882303152632395,7.660936342416464,7.445502164435058,7.2364146277816905,7.033920186641275,6.838137430803692,6.649088013982126,6.466720755246545,6.290930415475666,6.1215723151498525,5.958473700239672,5.801442562170552,5.65027446243873,5.504757792013666,5.364677802176755,5.229819670746816,5.099970810999677,4.974922586361595,4.854471559353375
9,TOI-3235b,6.202706608194827,6.180882156023129,6.146266637854135,6.1009527240746655,6.0467553958895754,5.98524351451666,5.91776936546657,5.845495692374282,5.769420045522844,5.6903964622203445,5.609154609022913,5.526316576575793,5.442411545063509,5.357888544417435,5.273127526874076,5.188448955732082,5.104122096800637,5.020372180350137,4.937386582767273,4.855320159407325
10,TOI-4463Ab,6.883827778951983,6.6946302573999334,6.509501567449292,6.329033668017153,6.153625913219962,5.98352917064884,5.8188803101079705,5.659729171466457,5.506059654460474,5.35780620983709,5.21486672855878,5.077112606282015,4.94439658993816,4.816558880939476,4.693431866693404,4.574843772065516,4.460621460024966,4.350592561963294,4.2445870800285315,4.142438573901205
11,TOI-3785b,6.29060584667603,6.2475156054690695,6.193362308808015,6.130158270478693,6.059626020224653,5.9832357732944885,5.902239184058156,5.817699319683318,5.730517003566246,5.6414537934769955,5.551151912285446,5.460151463601829,5.3689052563694615,5.277791541536639,5.18712493685366,5.097165786598814,5.008128174028695,4.920186776938351,4.833482731597172,4.74812864778221
12,WASP-124b,5.395443010778098,5.235164011935545,5.079694278218465,4.929287238488164,4.784073331210719,4.644090984598357,4.509310414919792,4.379651904413762,4.254999830122765,4.1352134175659945,4.020134966510325,3.9095961232356706,3.803422641682931,3.7014379748898447,3.603465960710976,3.509332806350824,3.4188685304467237,3.3319079860961955,3.248291560880656,3.167865628737663
13,WASP-25b,11.892063117487334,11.557699204652952,11.231369595359684,10.913968266275193,10.606073146373813,10.308020284573496,10.019961560313787,9.741909597889848,9.473772721837262,9.215382152579776,8.966513148252693,8.726901417571431,8.496255834239125,8.274268255784639,8.060621073510195,7.854992983583239,7.657063363140911,7.466515552628543,7.283039281115586,7.106332420926784
14,LHS1140c,3.000084336760113,3.015730624536666,3.0231055408675536,3.023287634475493,3.0172436245814955,3.0058351926040054,2.989826970395403,2.96989500309634,2.946635211802952,2.9205715556224114,2.8921637141486927,2.861814194705413,2.829874824771712,2.7966526267902885,2.762415095817173,2.727394914361279,2.6917941462407917,2.6557879544602705,2.6195278884679993,2.583144784726205
15,TOI-1199b,8.350812764898965,8.117909210454668,7.890393737211257,7.668926713714445,7.453942319880442,7.245701157611538,7.044331256898463,6.84986004433347,6.662239267213174,6.481364420765031,6.307089880770433,6.139240676662792,5.977621633408812,5.822024450366455,5.672233161174642,5.528028322338306,5.3891902031871,5.2555011914427,5.126747582981782,5.002720888656805
16,TOI-1273b,16.397347909008467,15.941907875201192,15.496796094009632,15.063341459136774,14.642424546371258,14.234581432305964,13.84008468176257,13.459006539843783,13.09126824262777,12.736678488001036,12.394963431411718,12.06579004711955,11.748784289509937,11.44354517439716,11.14965565612062,10.866690986554826,10.59422509450148,10.3318354087824,10.079106458361293,9.835632512354042
17,TOI-5803b,3.0685314319008365,2.9943715714090837,2.920701401207053,2.8479476386430793,2.7764313704681545,2.7063898233121373,2.6379937587416773,2.571361370815231,2.5065693907091218,2.443661961655874,2.3826577334149657,2.3235555341434964,2.2663389046647695,2.2109797221632905,2.157441094282037,2.10567966803272,2.055647468891358,2.0072933623771627,1.9605642120578464,1.9154057933064528
18,TOI-3819b,1.5392741425132341,1.4950723449642254,1.4520348836086108,1.4102613618203317,1.3698126033764315,1.3307199814349788,1.2929926440265678,1.2566231109465347,1.2215916083205693,1.1878694234893983,1.1554214985615174,1.1242084315599334,1.094188016075117,1.065316421063717,1.0375490898540811,1.0108414199724236,0.9851492718929057,0.9604293443309038,0.9366394455447064,0.9137386837557328
19,TOI-4791b,1.1985214514051332,1.1628699065645705,1.1282932329736093,1.094846855716611,1.0625589986908717,1.0314375501336492,1.0014753347373777,0.9726541613342805,0.9449479284023368,0.9183250035539701,0.8927500428156999,0.8681853771171456,0.8445920640993658,0.8219306809383269,0.8001619167018323,0.7792470095653079,0.7591480640550833,0.7398282756506203,0.7212520840152133,0.7033852714256237
20,TOI-4377b,1.4582146028117158,1.4247406221861534,1.391276704963864,1.358051688499347,1.3252413224900539,1.2929788535737226,1.2613635453698975,1.2304675337515012,1.200341342183477,1.1710183195639587,1.142518211818823,1.1148500369298167,1.0880143995335307,1.0620053542783874,1.0368119055294975,1.0124192137293644,0.9888095649009104,0.9659631487255728,0.9438586817836166,0.9224739054597435
21,Wolf327b,4.541270592221731,4.512776668131887,4.4760511804932746,4.4325622639851385,4.383569557579549,4.33015062284957,4.27322488191544,4.213574974964846,4.151865604746467,4.088660028847666,4.024434406564547,3.9595902235360243,3.894465015785196,3.8293416030575695,3.7644560242874605,3.700004348762438,3.6361485169795937,3.573021346403033,3.510730819930556,3.449363759133998
22,HD118203b,2.4557449929724537,2.38505446667735,2.3162447175498326,2.2494716277679476,2.184829614407351,2.122366460467451,2.062094795456639,2.004000983239563,1.9480520012217342,1.894200761359499,1.8423902208393572,1.7925565514154056,1.7446315757730457,1.6985446326277487,1.6542239962941465,1.6115979486741416,1.570595580104042,1.5311473788165766,1.4931856558021295,1.4566448417472841
23,TOI-1470b,1.8148104538159635,1.7985015056789302,1.7793744822676698,1.7579845152059939,1.7348025753040208,1.7102271401994587,1.6845944996457176,1.6581877599314874,1.6312446503377487,1.6039642523442545,1.5765127758779658,1.5490285022994787,1.5216260048867325,1.4943997466862937,1.4674271442032467,1.440771174328511,1.414482591606243,1.3886018136352511,1.3631605241399043,1.3381830360179192
24,V1298Taub,3.8088247316306525,3.7215112799213523,3.634209158017296,3.547517809086672,3.461897826450347,3.3776986142673247,3.2951806571450395,3.2145334416162012,3.135889877185234,3.05933790199735,2.984929824708636,2.9126898456906334,2.842620113172446,2.7747055995781342,2.7089180269305944,2.645219025063964,2.5835626702870442,2.5238975232647136,2.4661682617734404,2.410316985475831
25,TOI-2109b,2.3181942799709647,2.2441422238354014,2.172878147891947,2.1044133014289437,2.038719873482474,1.9757423300076862,1.9154059272550101,1.8576230927290298,1.802298193385428,1.74933108251552,1.6986197208791023,1.6500620957679955,1.6035576076660725,1.5590080534704993,1.5163183044860549,1.475396754106117,1.436155592395247,1.3985109513104836,1.362382954009437,1.3276956938223168
26,K2-138g,2.6688345864851204,2.600207631120821,2.5325368117761387,2.4661292731303814,2.4012078031015376,2.3379290329655533,2.2763978378652316,2.2166787328962467,2.1588048938066264,2.102785298877052,2.0486103836210696,1.9962565171654936,1.9456895440145787,1.8968675836707456,1.84974324030857,1.8042653430212632,1.7603803122193042,1.7180332281023183,1.67716866160479,1.6377313159432947
27,K2-141c,14.417587110568611,14.133150582263658,13.843146715429617,13.550466811017534,13.257414678593996,12.965814567024841,12.677099727063432,12.392384961192812,12.11252599766382,11.838168057041534,11.569785571341436,11.3077146684736,11.052179743697286,10.803315198544633,10.561183229118615,10.325788383060718,10.097089471737064,9.875009316053593,9.659442716315434,9.450262964981999
28,TRAPPIST-1b,4.099388545714469,4.172165497041155,4.230593151830973,4.276055036550206,4.309857864104002,4.333221486749899,4.3472743575317345,4.353052874373396,4.351503384313964,4.34348593972085,4.329779140257658,4.311085578640579,4.2880375472366286,4.26120276652634,4.231089973520434,4.19815426480894,4.1628021300274884,4.125396141007551,4.086259282683976,4.045678926212696
29,TRAPPIST-1e,3.4983930006844126,3.560500403847889,3.610362205500429,3.649159098628783,3.678006223998533,3.6979445960322077,3.709937229624866,3.7148685803977366,3.7135462551001717,3.7067042171388653,3.6950069186834775,3.6790539480416933,3.6593848996350893,3.6364842626340144,3.6107861900780343,3.5826790586012383,3.5525097639614374,3.520587722732184,3.487188568272648,3.4525575413618634
30,TRAPPIST-1f,3.149751397530838,3.2056693232392712,3.250562015228927,3.2854925014055736,3.3114647902337135,3.329416151091476,3.3402136270786396,3.3446535310532717,3.3434629855790554,3.3373028089990173,3.3267712357452455,3.3124081005674944,3.294699223178738,3.2740808097002154,3.250943746502567,3.225637705519663,3.198475011695487,3.16973424587695,3.139663572452126,3.108483792081872
31,TRAPPIST-1g,2.9947284105054313,3.047894193972295,3.0905773785026303,3.123788672393309,3.1484826692911136,3.1655505084895084,3.1758165593676373,3.180037942230796,3.178905992465354,3.173049004567061,3.163035769346303,3.1493795522193064,3.1325422620522665,3.1129386359781313,3.090940321905479,3.0668797817789386,3.041053968679883,3.0137277523937573,2.985137083270173,2.9554918947066193
32,GJ3473b,2.6312414320590083,2.624092404574045,2.6113334894169977,2.5938614592643736,2.57245647716784,2.5477948850906724,2.520461305759554,2.4909598095533325,2.4597240394213595,2.42712627587817,2.393485477977522,2.359074366622469,2.324125631722651,2.2888373500893713,2.253377700288641,2.2178890564426426,2.1824915368169915,2.147286076015475,2.1123570823905036,2.0777747352719715
33,TOI-2202b,2.0628832801646686,2.0128774334558104,1.9632199050095516,1.9141952947996583,1.8660174492004995,1.8188440733605742,1.7727884015259785,1.727928516844049,1.6843147950446324,1.6419758510029672,1.600923290300274,1.561155506343747,1.522660714539771,1.4854193760017462,1.4494061322971192,1.414591348154225,1.3809423395342102,1.3484243489720449,1.3170013177642617,1.2866364947675208
34,TOI-833b,2.7138503108292107,2.6811749538021385,2.6451249453384715,2.606465527325299,2.5658369794255718,2.523773540707878,2.4807197237769514,2.4370442816001354,2.3930521038968244,2.348994312829372,2.305076808105277,2.261467486350288,2.2183023328035185,2.1756905573162566,2.133718922503499,2.0924553902378458,2.051952193629248,2.012248425124608,1.9733722171930537,1.9353425799936121
