,Planet Name,Eclipse Flux Ratio 0.6-0.647um,Eclipse Flux Ratio 0.647-0.694um,Eclipse Flux Ratio 0.694-0.741um,Eclipse Flux Ratio 0.741-0.788um,Eclipse Flux Ratio 0.788-0.835um,Eclipse Flux Ratio 0.835-0.882um,Eclipse Flux Ratio 0.882-0.929um,Eclipse Flux Ratio 0.929-0.976um,Eclipse Flux Ratio 0.976-1.023um,Eclipse Flux Ratio 1.023-1.07um,Eclipse Flux Ratio 1.07-1.117um,Eclipse Flux Ratio 1.117-1.164um,Eclipse Flux Ratio 1.164-1.211um,Eclipse Flux Ratio 1.211-1.258um,Eclipse Flux Ratio 1.258-1.305um,Eclipse Flux Ratio 1.305-1.352um,Eclipse Flux Ratio 1.352-1.399um,Eclipse Flux Ratio 1.399-1.446um,Eclipse Flux Ratio 1.446-1.493um,Eclipse Flux Ratio 1.493-1.54um,Eclipse Flux Ratio 1.54-1.587um,Eclipse Flux Ratio 1.587-1.634um,Eclipse Flux Ratio 1.634-1.681um,Eclipse Flux Ratio 1.681-1.728um,Eclipse Flux Ratio 1.728-1.775um,Eclipse Flux Ratio 1.775-1.822um,Eclipse Flux Ratio 1.822-1.869um,Eclipse Flux Ratio 1.869-1.916um,Eclipse Flux Ratio 1.916-1.963um,Eclipse Flux Ratio 1.963-2.01um,Eclipse Flux Ratio 2.01-2.057um,Eclipse Flux Ratio 2.057-2.104um,Eclipse Flux Ratio 2.104-2.151um,Eclipse Flux Ratio 2.151-2.198um,Eclipse Flux Ratio 2.198-2.245um,Eclipse Flux Ratio 2.245-2.292um,Eclipse Flux Ratio 2.292-2.339um,Eclipse Flux Ratio 2.339-2.386um,Eclipse Flux Ratio 2.386-2.433um,Eclipse Flux Ratio 2.433-2.48um,Eclipse Flux Ratio 2.48-2.527um,Eclipse Flux Ratio 2.527-2.574um,Eclipse Flux Ratio 2.574-2.621um,Eclipse Flux Ratio 2.621-2.668um,Eclipse Flux Ratio 2.668-2.715um,Eclipse Flux Ratio 2.715-2.762um,Eclipse Flux Ratio 2.762-2.809um,Eclipse Flux Ratio 2.809-2.856um,Eclipse Flux Ratio 2.856-2.903um,Eclipse Flux Ratio 2.903-2.95um,Eclipse Flux Ratio 2.95-2.997um,Eclipse Flux Ratio 2.997-3.044um,Eclipse Flux Ratio 3.044-3.091um,Eclipse Flux Ratio 3.091-3.138um,Eclipse Flux Ratio 3.138-3.185um,Eclipse Flux Ratio 3.185-3.232um,Eclipse Flux Ratio 3.232-3.279um,Eclipse Flux Ratio 3.279-3.326um,Eclipse Flux Ratio 3.326-3.373um,Eclipse Flux Ratio 3.373-3.42um,Eclipse Flux Ratio 3.42-3.467um,Eclipse Flux Ratio 3.467-3.514um,Eclipse Flux Ratio 3.514-3.561um,Eclipse Flux Ratio 3.561-3.608um,Eclipse Flux Ratio 3.608-3.655um,Eclipse Flux Ratio 3.655-3.702um,Eclipse Flux Ratio 3.702-3.749um,Eclipse Flux Ratio 3.749-3.796um,Eclipse Flux Ratio 3.796-3.843um,Eclipse Flux Ratio 3.843-3.89um,Eclipse Flux Ratio 3.89-3.937um,Eclipse Flux Ratio 3.937-3.984um,Eclipse Flux Ratio 3.984-4.031um,Eclipse Flux Ratio 4.031-4.078um,Eclipse Flux Ratio 4.078-4.125um,Eclipse Flux Ratio 4.125-4.172um,Eclipse Flux Ratio 4.172-4.219um,Eclipse Flux Ratio 4.219-4.266um,Eclipse Flux Ratio 4.266-4.313um,Eclipse Flux Ratio 4.313-4.36um,Eclipse Flux Ratio 4.36-4.407um,Eclipse Flux Ratio 4.407-4.454um,Eclipse Flux Ratio 4.454-4.501um,Eclipse Flux Ratio 4.501-4.548um,Eclipse Flux Ratio 4.548-4.595um,Eclipse Flux Ratio 4.595-4.642um,Eclipse Flux Ratio 4.642-4.689um,Eclipse Flux Ratio 4.689-4.736um,Eclipse Flux Ratio 4.736-4.783um,Eclipse Flux Ratio 4.783-4.83um,Eclipse Flux Ratio 4.83-4.877um,Eclipse Flux Ratio 4.877-4.924um,Eclipse Flux Ratio 4.924-4.971um,Eclipse Flux Ratio 4.971-5.018um,Eclipse Flux Ratio 5.018-5.065um,Eclipse Flux Ratio 5.065-5.112um,Eclipse Flux Ratio 5.112-5.159um,Eclipse Flux Ratio 5.159-5.206um,Eclipse Flux Ratio 5.206-5.253um,Eclipse Flux Ratio 5.253-5.3um
0,TOI-5704b,1.0063859551245122e-11,3.703999107084142e-11,1.1517588345532316e-10,3.1184991466432783e-10,7.526674127651707e-10,1.6495064568113502e-09,3.3311858972905963e-09,6.273438488636486e-09,1.1124781210669573e-08,1.8725388912059083e-08,3.0116990713699e-08,4.654288051974037e-08,6.943815775729411e-08,1.0041115428596376e-07,1.4121759189056815e-07,1.9372934343360305e-07,2.5989976953579477e-07,3.417275213333468e-07,4.4122049368962454e-07,5.603613336535507e-07,7.010755986096246e-07,8.652033495812122e-07,1.0544746794420396e-06,1.270489426480947e-06,1.5147011170379617e-06,1.788405017911654e-06,2.0927300576531187e-06,2.4286342913838807e-06,2.796903531049574e-06,3.1981527363970207e-06,3.632829755975129e-06,4.101221017126879e-06,4.603458784910709e-06,5.139529638501924e-06,5.709283846892261e-06,6.3124453612669945e-06,6.948622177486857e-06,7.617316857304301e-06,8.317937030360199e-06,9.049805730019496e-06,9.81217144434494e-06,1.0604217788803033e-05,1.1425072729618428e-05,1.227381730611867e-05,1.3149493817088761e-05,1.4051113450281025e-05,1.497766334602248e-05,1.592811309556298e-05,1.6901420682648886e-05,1.7896537883017206e-05,1.8912415141299424e-05,1.9948005948403624e-05,2.100227074499239e-05,2.207418037835477e-05,2.316271914093312e-05,2.4266887419138405e-05,2.538570398098274e-05,2.6518207930574887e-05,2.766346035674673e-05,2.88205457020762e-05,2.9988572877407084e-05,3.116667614568733e-05,3.235401579759614e-05,3.3549778640041414e-05,3.475317831720988e-05,3.596345548246342e-05,3.717987783801546e-05,3.840174005800235e-05,3.9628363609298406e-05,4.0859096483212136e-05,4.2093312850056935e-05,4.333041264750733e-05,4.4569821112637986e-05,4.5810988266596525e-05,4.705338835997934e-05,4.8296519286163196e-05,4.9539901969090984e-05,5.078307973131544e-05,5.2025617647466136e-05,5.3267101887720574e-05,5.450713905532736e-05,5.574535552174167e-05,5.698139676249205e-05,5.821492669649618e-05,5.94456270311804e-05,6.067319661543006e-05,6.189735080210334e-05,6.311782082157507e-05,6.433435316753955e-05,6.554670899608996e-05,6.675466353890002e-05,6.795800553116663e-05,6.915653665482187e-05,7.035007099738947e-05,7.15384345267451e-05,7.272146458193663e-05,7.389900938013037e-05,7.507092753967136e-05,7.623708761917759e-05,7.739736767252957e-05
1,TOI-672b,1.1121722942457832e-14,7.316462919900215e-14,3.7818361933295693e-13,1.6031881324382618e-12,5.7627567526501224e-12,1.803326910566484e-11,5.0171684168279145e-11,1.2623368303949144e-10,2.9124864631140435e-10,6.233126231027659e-10,1.2492376297709526e-09,2.3635008815438538e-09,4.249839648509633e-09,7.304500524172269e-09,1.2059922246612966e-08,1.9207531285066872e-08,2.96183587540839e-08,4.436032769912606e-08,6.4711282543548e-08,9.216710465051954e-08,1.2844454805046248e-07,1.7547871080170235e-07,2.3541531020332685e-07,3.105981411671098e-07,4.0355225988067723e-07,5.169635481316724e-07,6.536553799315983e-07,8.165631366366915e-07,1.0087073063652118e-06,1.2331658654856451e-06,1.4930465815238863e-06,1.7914598046699095e-06,2.1314922349770833e-06,2.516182069192908e-06,2.948495848802242e-06,3.4313072522263993e-06,3.967378001284068e-06,4.5593409863361644e-06,5.209685656759398e-06,5.920745673796285e-06,6.694688781320241e-06,7.533508816271665e-06,8.439019753919373e-06,9.412851663019722e-06,1.0456448431659921e-05,1.1571067115340127e-05,1.2757778753941141e-05,1.401747050294366e-05,1.5350848925965176e-05,1.6758444299772593e-05,1.8240615788885786e-05,1.9797557354247113e-05,2.1429304268795185e-05,2.313574012180386e-05,2.491660420324582e-05,2.6771499168976168e-05,2.8699898897013004e-05,3.070115645446721e-05,3.277451210362491e-05,3.49191012842243e-05,3.7133962517029795e-05,3.941804518135175e-05,4.1770217126160816e-05,4.4189272080894734e-05,4.66739368379523e-05,4.922287818422672e-05,5.183470956385969e-05,5.450799745873041e-05,5.724126747704797e-05,6.003301014382329e-05,6.28816863899893e-05,6.578573273954448e-05,6.874356619634479e-05,7.175358883409626e-05,7.48141920947318e-05,7.79237608017184e-05,8.10806768959652e-05,8.42833229029114e-05,8.753008514008783e-05,9.081935667499393e-05,9.41495400435297e-05,9.751904973948591e-05,0.00010092631448575042,0.00010436977929794191,0.0001078479073511503,0.00011135918166036187,0.00011490210658498404,0.00011847520916767121,0.000122077040317397,0.0001257061758464335,0.0001293612173705805,0.00013304079308165426,0.00013674355840089878,0.00014046819652161936,0.000144213418848977,0.000147977965344514,0.00015176060478261328,0.0001555601349257329,0.0001593753826248978,0.00016320520385157964
2,TOI-199b,1.5498664367007923e-28,8.902710535394867e-27,3.0665978162976777e-25,6.931481820017514e-24,1.102718190130399e-22,1.305037142301376e-21,1.2010720948043331e-20,8.910966497196721e-20,5.488950430136892e-19,2.876391762516934e-18,1.308668809892938e-17,5.258412826281413e-17,1.893228763403678e-16,6.183364633001414e-16,1.8514181602330602e-15,5.128526641549299e-15,1.324679926460044e-14,3.212459742078735e-14,7.35828453450916e-14,1.6003451870478313e-13,3.320198968131408e-13,6.59797869031934e-13,1.2604837762034717e-12,2.322488931739984e-12,4.1392407539244616e-12,7.154320426000912e-12,1.2020225402311487e-11,1.9672930574785296e-11,3.1424275274606075e-11,4.907394217765105e-11,7.504242514494717e-11,1.1252591969235379e-10,1.6567353153658732e-10,2.3978660895994337e-10,3.4153938924609514e-10,4.792195342531727e-10,6.629865401968748e-10,9.051454642750216e-10,1.2204329347180096e-09,1.626312015891532e-09,2.1432721964624902e-09,2.7951305621843715e-09,3.609330107195715e-09,4.617231126730583e-09,5.8543917144878416e-09,7.36083355169466e-09,9.181289412293402e-09,1.1365429108538106e-08,1.39680609517402e-08,1.7049306191878494e-08,2.067474431543666e-08,2.491552751189212e-08,2.984846305535189e-08,3.555606277956331e-08,4.212655924375775e-08,4.965388858659443e-08,5.823764044019424e-08,6.798297562145616e-08,7.900051263026778e-08,9.14061842616535e-08,1.0532106588013628e-07,1.2087117710926524e-07,1.3818725885775424e-07,1.5740452773699943e-07,1.7866241002441214e-07,2.0210425739494478e-07,2.2787704668160308e-07,2.5613106593709945e-07,2.8701958905567746e-07,3.206985411791271e-07,3.5732615705684435e-07,3.9706263445900955e-07,4.400697846571009e-07,4.865106818894924e-07,5.365493136240273e-07,5.903502333163366e-07,6.480782172443002e-07,7.098979268771564e-07,7.759735781139605e-07,8.464686186018473e-07,9.215454142211405e-07,1.0013649457027647e-06,1.086086516224761e-06,1.175867470719679e-06,1.2708629275138556e-06,1.3712255228137072e-06,1.4771051684535837e-06,1.5886488232245951e-06,1.7060002780146245e-06,1.8292999549063958e-06,1.958684720303105e-06,2.094287712079766e-06,2.2362381806930503e-06,2.38466134412271e-06,2.5396782564638144e-06,2.7014056899406037e-06,2.869956030069553e-06,3.045437183661253e-06,3.2279524993174464e-06,3.417600700050804e-06
3,WASP-176b,5.769480736894385e-07,1.0962650614444737e-06,1.9131831116930453e-06,3.1142283098616827e-06,4.784918538934863e-06,7.0048109186398456e-06,9.843635237893892e-06,1.3358673984111895e-05,1.759334405396989e-05,2.2576813256144308e-05,2.8324430447884014e-05,3.483874072497725e-05,4.211087763703992e-05,5.012215858435715e-05,5.8845747724148294e-05,6.824828710242223e-05,7.829142837261562e-05,8.893322325533049e-05,0.00010012935083537693,0.0001118341744722837,0.0001240016313583879,0.00013658596448217438,0.00014954231076866318,0.00016282716118468004,0.00017639870919739515,0.00019021710361822854,0.0002042446209001529,0.00021844577064203212,0.00023278734657281746,0.0002472384337678367,0.00026177038137240017,0.0002763567487259862,0.00029097323152184833,0.0003055975735145705,0.00032020946830367504,0.000334790454869709,0.000349323809811055,0.0003637944386135521,0.00037818876776854975,0.000392494639125953,0.00040670120751541667,0.00042079884238025773,0.0004347790339351065,0.000448634304171097,0.0004623581228839204,0.0004759448287837379,0.0004893895556561526,0.0005026881634753397,0.0005158371743200404,0.0005288337129069877,0.0005416754515316517,0.0005543605591906155,0.0005668876546514744,0.0005792557632333185,0.0005914642770622757,0.000603512918571274,0.0006154017070201883,0.0006271309278212654,0.0006387011044645807,0.0006501129728488542,0.0006613674578339047,0.0006724656518420998,0.0006834087953471448,0.0006941982590993138,0.000704835527946651,0.0007153221861216815,0.0007256599038726945,0.000735850425327719,0.0007458955574878329,0.0007557971602544418,0.000765557137402672,0.0007751774284199985,0.0007846600011357375,0.0007940068450730695,0.0008032199654608518,0.0008123013778476492,0.0008212531032651961,0.0008300771638929059,0.0008387755791790976,0.0008473503623783554,0.0008558035174678635,0.0008641370364087219,0.0008723528967211317,0.0008804530593450197,0.0008884394667600863,0.000896314041341513,0.000904078683929605,0.0009117352725935219,0.0009192856615709667,0.0009267316803672778,0.0009340751329988055,0.0009413177973667681,0.0009484614247489958,0.0009555077393980618,0.0009624584382353182,0.0009693151906312659,0.000976079638263538,0.0009827533950445425,0.0009893380471115163,0.0009958351528723847
4,TOI-1801b,6.88844473604411e-21,1.0509940089348966e-19,1.1345836011719724e-18,9.211587554242452e-18,5.898613593653483e-17,3.093268751256216e-16,1.3690566417771997e-15,5.2403538450792854e-15,1.7697414818561794e-14,5.360856711434855e-14,1.4767333049317482e-13,3.7421692537125227e-13,8.809145222299481e-13,1.9423944754598085e-12,4.0403628370897e-12,7.977001480224918e-12,1.5027795784709795e-11,2.7138622446910607e-11,4.716995415974907e-11,7.918858193798245e-11,1.2880453925278e-10,2.035481765279956e-10,3.1327980906997665e-10,4.706222374819211e-10,6.914048548474513e-10,9.951070875640817e-10,1.4052885870153443e-09,1.9499938676363557e-09,2.6621199048676426e-09,3.579736469141154e-09,4.746350570219409e-09,6.2111082069763825e-09,8.028928552818705e-09,1.0260567658961978e-08,1.2972610643976837e-08,1.6237393092336264e-08,2.0132853958094768e-08,2.4742323629499284e-08,3.0154251938066944e-08,3.6461881785789015e-08,4.376287472118862e-08,5.215889523144405e-08,6.1755160751931e-08,7.265996444838449e-08,8.4984177724628e-08,9.884073917543618e-08,1.1434413636424123e-07,1.3160988638257282e-07,1.5075402066413537e-07,1.7189257900098219e-07,1.9514111715970546e-07,2.2061423193694e-07,2.4842510693840985e-07,2.78685081824581e-07,3.1150324724700754e-07,3.469860672090226e-07,3.852370301271529e-07,4.263563294486789e-07,4.704405742980198e-07,5.175825302808167e-07,5.678708902696563e-07,6.213900747285087e-07,6.782200609026923e-07,7.384362400057865e-07,8.02109301372206e-07,8.693051424118534e-07,9.400848030988185e-07,1.0145044236471315e-06,1.0926152239704797e-06,1.1744635034871191e-06,1.2600906598136646e-06,1.3495332248897075e-06,1.4428229170870525e-06,1.5399867078811036e-06,1.6410469016953412e-06,1.7460212275715113e-06,1.8549229413664696e-06,1.96776093723022e-06,2.084539867177213e-06,2.2052602676235673e-06,2.329918691825339e-06,2.4585078472165275e-06,2.5910167367094816e-06,2.727430803084123e-06,2.8677320756552656e-06,3.0118993184689663e-06,3.1599081793390526e-06,3.311731339092931e-06,3.4673386604519237e-06,3.626697336025063e-06,3.789772034946361e-06,3.956525047734352e-06,4.126916428998691e-06,4.300904137661946e-06,4.4784441744055404e-06,4.659490716086956e-06,4.843996246910826e-06,5.031911686169693e-06,5.223186512400867e-06,5.417768883834066e-06
5,TOI-836c,2.217045758566309e-16,1.6757723025181817e-15,9.777169420266414e-15,4.610093655678321e-14,1.8206904403553304e-13,6.195289943055694e-13,1.8578116812452523e-12,5.000319472371936e-12,1.226143498732934e-11,2.7732450218184625e-11,5.845146523364376e-11,1.1579787070810277e-10,2.1720068361091486e-10,3.8811661220437853e-10,6.642033328381522e-10,1.0935901414768767e-09,1.7391343973808382e-09,2.680548800080175e-09,4.016290851198822e-09,5.865120114302112e-09,8.367248787951439e-09,1.1685034191795326e-08,1.6003185752870346e-08,2.1528482073109287e-08,2.8489014244411197e-08,3.71329888336999e-08,4.7727137415849074e-08,6.055478908820521e-08,7.591366824028596e-08,9.411348235372284e-08,1.1547336426377338e-07,1.4031923066887785e-07,1.689811142748099e-07,2.017905213182983e-07,2.3907785979025364e-07,2.8116997686308135e-07,3.2838783714168493e-07,3.8104436665633405e-07,4.394424811863999e-07,5.038733116793078e-07,5.746146342929577e-07,6.519295079864307e-07,7.360651186255984e-07,8.272518252453207e-07,9.25702401388496e-07,1.0316114622821129e-06,1.1451550669615955e-06,1.2664904832627784e-06,1.395756102810155e-06,1.5330714926856843e-06,1.6785375703117213e-06,1.832236888175356e-06,1.9942340153144747e-06,2.164576002937216e-06,2.3432929221201614e-06,2.5303984621947414e-06,2.725890579158503e-06,2.929752184214753e-06,3.141951863331101e-06,3.3624446194982603e-06,3.5911726301519717e-06,3.828066012982717e-06,4.07304359409168e-06,4.32601367315119e-06,4.586874780889238e-06,4.8555164248377535e-06,5.1318198198612425e-06,5.415658600515705e-06,5.70689951277754e-06,6.005403083128864e-06,6.311024263391053e-06,6.623613050063893e-06,6.943015077254879e-06,7.269072182575184e-06,7.601622945636811e-06,7.940503199012105e-06,8.285546511714926e-06,8.636584645433992e-06,8.993447983895605e-06,9.355965935857853e-06,9.72396731234279e-06,1.009728067879934e-05,1.0475734682959779e-05,1.0859158359208038e-05,1.1247381410320408e-05,1.164023446747017e-05,1.2037549329408691e-05,1.2439159181747127e-05,1.2844898797267501e-05,1.3254604718189444e-05,1.3668115421310715e-05,1.408527146692686e-05,1.4505915632418407e-05,1.4929893031373533e-05,1.5357051219091125e-05,1.5787240285283895e-05,1.6220312934774004e-05,1.665612455694543e-05,1.709453328468806e-05,1.7535400043538396e-05
6,TOI-3807b,7.310275409532978e-07,1.438198521279636e-06,2.587389587127814e-06,4.3260584396940364e-06,6.806921586430139e-06,1.0179151042006224e-05,1.4580735055733279e-05,2.0132565641397395e-05,2.693443477832642e-05,3.5062850711518486e-05,4.457042483030179e-05,5.5486506880942754e-05,6.781873529526372e-05,8.155519626545959e-05,9.666693138823454e-05,0.00011311058648273693,0.00013083104562532842,0.00014976394021300781,0.00016983796109980358,0.00019097693222415338,0.00021310162721422247,0.00023613132720104707,0.00025998512960457486,0.0002845830250763081,0.00030984676406199,0.0003357005364170009,0.0003620714878393935,0.0003888900961104453,0.0004160904286546305,0.00044361030105006204,0.0004713913540528645,0.0004993790645950796,0.0005275227041758798,0.0005557752561530073,0.0005840933016911954,0.000612436882553279,0.0006407693475309463,0.0006690571881001046,0.0006972698678396487,0.0007253796492580635,0.0007533614209144352,0.0007811925270834438,0.000808852601682737,0.0008363234077415524,0.0008635886833286504,0.0008906339945638696,0.0009174465961006626,0.0009440152992776926,0.0009703303479882168,0.0009963833021996984,0.0010221669289671958,0.0010476751007175648,0.0010729027005333496,0.0010978455341318235,0.0011225002482131504,0.0011468642548396178,0.0011709356615033032,0.0011947132065407693,0.001218196199559051,0.0012413844665462,0.001264278299351076,0.0012868784092302172,0.0013091858841738852,0.0013312021497382913,0.0013529289331262319,0.0013743682302736109,0.0013955222757143252,0.0014163935150106762,0.0014369845795506547,0.0014572982635270237,0.0014773375029261428,0.0014971053563667806,0.0015166049876407892,0.0015358396498185145,0.0015548126707920725,0.001573527440139248,0.0015919873971997958,0.0016101960202642561,0.00162815681678322,0.0016458733145121962,0.001663349053513949,0.0016805875789463842,0.0016975924345698007,0.0017143671569126585,0.0017309152700398951,0.0017472402808723611,0.0017633456750101215,0.0017792349130162123,0.0017949114271209833,0.0018103786183104268,0.0018256398537648915,0.0018406984646173457,0.001855557744002886,0.0018702209453735443,0.0018846912810545674,0.0018989719210203422,0.0019130659918699363,0.0019269765759838957,0.0019407067108454838,0.001954259388510924
7,TOI-4087b,8.894780676882856e-08,2.0033962512880933e-07,4.0547049191912553e-07,7.518010302096493e-07,1.2962735021028815e-06,2.10305020979064e-06,3.2406532223490276e-06,4.7788971110675275e-06,6.785945338364975e-06,9.325727227980878e-06,1.245585506541553e-05,1.622609685119839e-05,2.0677396727838856e-05,2.5841392809752406e-05,3.174035825782698e-05,3.8387481788937464e-05,4.578740415099128e-05,5.393693374999316e-05,6.282587471233117e-05,7.243791212890889e-05,8.275151067342551e-05,9.374079337256749e-05,0.00010537637658606359,0.00011762614505814485,0.00013045595723396996,0.00014383027600436057,0.000157712723812632,0.00017206656381111402,0.000186855110673422,0.00020204207591926639,0.0002175918533393645,0.00023346975044467654,0.00024964217191086955,0.000266076760829769,0.00028274250328114945,0.0002996098013520022,0.0003166505192954335,0.0003338380070663819,0.000351147105017115,0.0003685541330963078,0.0003860368674808481,0.00040357450718506827,0.0004211476328408533,0.0004387381595249844,0.0004563292852267204,0.0004739054362976257,0.0004914522110050498,0.0005089563221181057,0.0005264055392880055,0.0005437886318406677,0.000561095312476139,0.0005783161822642328,0.0005954426772367032,0.0006124670168012192,0.0006293821541395508,0.0006461817287001199,0.0006628600208518858,0.0006794119087311723,0.0006958328272843526,0.0007121187294862705,0.0007282660496960385,0.0007442716690976716,0.0007601328831621957,0.0007758473710599019,0.0007914131669457811,0.0008068286330374841,0.0008220924344030292,0.0008372035153746628,0.0008521610775054888,0.0008669645589865073,0.0008816136154433912,0.000896108102034505,0.000910448056774202,0.0009246336850082746,0.0009386653449714199,0.0009525435343597025,0.0009662688778541708,0.0009798421155349823,0.000993264092128546,0.001006535747033311,0.0010196581050728802,0.0010326322679280607,0.0010454594062023303,0.0010581407520779212,0.001070677592522348,0.0010830712630077028,0.0010953231417074219,0.001107434644137473,0.0011194072182110517,0.0011312423396778975,0.0011429415079212296,0.001154506242087096,0.0011659380775226294,0.001177238562501248,0.0011884092552143712,0.0011994517210105625,0.0012103675298643494,0.0012211582540581683,0.001231825466062032,0.0012423707365965709
8,TOI-2818b,5.1683768228283354e-08,1.21954506202198e-07,2.570943994285719e-07,4.941640722675222e-07,8.797847720594707e-07,1.4688899320626255e-06,2.32272283620661e-06,3.5063780409986743e-06,5.086185451158317e-06,7.12718986009294e-06,9.690910678956923e-06,1.2833495503157684e-05,1.660431861961268e-05,2.104502679874501e-05,2.6189000712072812e-05,3.2061179579989364e-05,3.8678186597310226e-05,4.60486904914482e-05,5.4173941676502276e-05,6.304842777432838e-05,7.266060118596535e-05,8.299363978398206e-05,9.40262099147243e-05,0.00010573320830377294,0.00011808646592047411,0.00013105540230057546,0.00014460762326940754,0.00015870945852921708,0.00017332643828075204,0.00018842371005969803,0.00020396639840078123,0.00021991991090583932,0.00023625019488453204,0.00025292394904182007,0.00026990879477566126,0.00028717341157972483,0.00030468764086617533,0.0003224225622697978,0.00034035054619563793,0.00035844528604976134,0.00037668181326290376,0.000395036497891368,0.0004134870372666678,0.00043201243487050425,0.00045059297133790164,0.00046921016924045717,0.00048784675307412135,0.0005064866056714423,0.0005251147220758645,0.0005437171617542104,0.0005622809998814017,0.000580794278307181,0.0005992459567064698,0.0006176258643213986,0.0006359246526224503,0.0006541337491471161,0.0006722453127156014,0.0006902521901732285,0.0007081478747671068,0.000725926466229414,0.0007435826326102643,0.0007611115738789416,0.000778508987292408,0.000795771034513932,0.0008128943104518038,0.0008298758137779775,0.0008467129190786304,0.0008634033505827614,0.000879945157410693,0.0008963366902814422,0.0009125765796161699,0.000928663714974072,0.0009445972257570057,0.0009603764631196584,0.0009760009830231103,0.0009914705303710211,0.0010067850241693905,0.0010219445436527605,0.0010369493153218048,0.0010517997008394587,0.0010664961857349995,0.001081039368867775,0.0010954299526045985,0.0011096687336670935,0.001123756594607527,0.0011376944958738618,0.0011514834684269075,0.001165124606874494,0.0011786190630895985,0.0011919680402812682,0.001205172787488994,0.0012182345944729588,0.0012311547869742277,0.0012439347223205384,0.00125657578535484,0.0012690793846651587,0.0012814469490956945,0.0012936799245203323,0.0013057797708609451,0.0013177479593339775
9,TOI-3235b,4.130572980514675e-15,3.40191419641121e-14,2.1408968493287364e-13,1.0797984692697645e-12,4.5299848067684155e-12,1.6277991193251555e-11,5.1291814400414326e-11,1.4443914036682228e-10,3.69191333144193e-10,8.675782916238211e-10,1.8944520751078727e-09,3.8784394775095485e-09,7.5007918143009e-09,1.3791827575573904e-08,2.424302429656027e-08,4.093127339527446e-08,6.665055530293512e-08,1.050454504898523e-07,1.6074053324462637e-07,2.394597925273357e-07,3.4813073042083353e-07,4.949686136432363e-07,6.895373925105654e-07,9.427849499790306e-07,1.2670515070293432e-06,1.676051112939604e-06,2.1848271331184727e-06,2.8096834761964775e-06,3.5680939569820503e-06,4.478592668567548e-06,5.56064854268481e-06,6.834527427823239e-06,8.321145030161377e-06,1.0041913966070003e-05,1.2018587990395017e-05,1.4273106214559409e-05,1.6827439833453313e-05,1.970344355831326e-05,2.2922713619738112e-05,2.6506453873227742e-05,3.0475351219027584e-05,3.4849461245996703e-05,3.9648104730881855e-05,4.48897753730883e-05,5.059205892254544e-05,5.677156366508002e-05,6.344386206535807e-05,7.062344323073132e-05,7.832367574850114e-05,8.655678036212041e-05,9.533381188641086e-05,0.00010466464971562059,0.00011455799624872511,0.0001250213825414816,0.00013606118049221176,0.00014768262087608283,0.00015988981655890976,0.00017268579024454434,0.0001860725061382422,0.00020005090494068436,0.00021462094162242614,0.00022978162546546873,0.0002455310618965488,0.0002618664956749189,0.00027878435503527144,0.0002962802964235646,0.00031434924949945626,0.0003329854621135787,0.0003521825450007565,0.0003719335159613202,0.000392230843331833,0.00041306648857374853,0.00043443194783372225,0.0004563182923525624,0.00047871620762113753,0.0005016160312009927,0.0005250077891450922,0.0005488812309700465,0.0005732258631454562,0.0005980309810788058,0.0006232856995856623,0.0006489789818449023,0.0006750996668474842,0.0007016364953548514,0.0007285781343896327,0.0007559132002868745,0.0007836302803387826,0.000811717953069853,0.0008401648071824812,0.0008689594592157104,0.0008980905699617394,0.0009275468596862985,0.0009573171222000004,0.000987390237828385,0.001017755185328621,0.0010484010528007876,0.0010793170476413236,0.001110492505585666,0.00114191689888639,0.0011735798436721954
