w1,w2,w3,num_targets,diversity
0.1,0.1,0.1,269,212.2446523259548
0.1,0.1,0.575,269,212.2446523259548
0.1,0.1,1.05,269,212.2446523259548
0.1,0.1,1.525,269,212.2446523259548
0.1,0.1,2.0,269,212.2446523259548
0.1,0.575,0.1,269,212.2446523259548
0.1,0.575,0.575,269,212.2446523259548
0.1,0.575,1.05,269,212.2446523259548
0.1,0.575,1.525,269,212.2446523259548
0.1,0.575,2.0,269,212.2446523259548
0.1,1.05,0.1,269,212.2446523259548
0.1,1.05,0.575,269,212.2446523259548
0.1,1.05,1.05,269,212.2446523259548
0.1,1.05,1.525,269,212.2446523259548
0.1,1.05,2.0,269,212.2446523259548
0.1,1.525,0.1,269,212.2446523259548
0.1,1.525,0.575,269,212.2446523259548
0.1,1.525,1.05,269,212.2446523259548
0.1,1.525,1.525,269,212.2446523259548
0.1,1.525,2.0,269,212.2446523259548
0.1,2.0,0.1,269,212.2446523259548
0.1,2.0,0.575,269,212.2446523259548
0.1,2.0,1.05,269,212.2446523259548
0.1,2.0,1.525,269,212.2446523259548
0.1,2.0,2.0,269,212.2446523259548
0.575,0.1,0.1,269,212.2446523259548
0.575,0.1,0.575,269,212.2446523259548
0.575,0.1,1.05,269,212.2446523259548
0.575,0.1,1.525,269,212.2446523259548
0.575,0.1,2.0,269,212.2446523259548
0.575,0.575,0.1,269,212.2446523259548
0.575,0.575,0.575,269,212.2446523259548
0.575,0.575,1.05,269,212.2446523259548
0.575,0.575,1.525,269,212.2446523259548
0.575,0.575,2.0,269,212.2446523259548
0.575,1.05,0.1,269,212.2446523259548
0.575,1.05,0.575,269,212.2446523259548
0.575,1.05,1.05,269,212.2446523259548
0.575,1.05,1.525,269,212.2446523259548
0.575,1.05,2.0,269,212.2446523259548
0.575,1.525,0.1,269,212.2446523259548
0.575,1.525,0.575,269,212.2446523259548
0.575,1.525,1.05,269,212.2446523259548
0.575,1.525,1.525,269,212.2446523259548
0.575,1.525,2.0,269,212.2446523259548
0.575,2.0,0.1,269,212.2446523259548
0.575,2.0,0.575,269,212.2446523259548
0.575,2.0,1.05,269,212.2446523259548
0.575,2.0,1.525,269,212.2446523259548
0.575,2.0,2.0,269,212.2446523259548
1.05,0.1,0.1,269,212.2446523259548
1.05,0.1,0.575,269,212.2446523259548
1.05,0.1,1.05,269,212.2446523259548
1.05,0.1,1.525,269,212.2446523259548
1.05,0.1,2.0,269,212.2446523259548
1.05,0.575,0.1,269,212.2446523259548
1.05,0.575,0.575,269,212.2446523259548
1.05,0.575,1.05,269,212.2446523259548
1.05,0.575,1.525,269,212.2446523259548
1.05,0.575,2.0,269,212.2446523259548
1.05,1.05,0.1,269,212.2446523259548
1.05,1.05,0.575,269,212.2446523259548
1.05,1.05,1.05,269,212.2446523259548
1.05,1.05,1.525,269,212.2446523259548
1.05,1.05,2.0,269,212.2446523259548
1.05,1.525,0.1,269,212.2446523259548
1.05,1.525,0.575,269,212.2446523259548
1.05,1.525,1.05,269,212.2446523259548
1.05,1.525,1.525,269,212.2446523259548
1.05,1.525,2.0,269,212.2446523259548
1.05,2.0,0.1,269,212.2446523259548
1.05,2.0,0.575,269,212.2446523259548
1.05,2.0,1.05,269,212.2446523259548
1.05,2.0,1.525,269,212.2446523259548
1.05,2.0,2.0,269,212.2446523259548
1.525,0.1,0.1,269,212.2446523259548
1.525,0.1,0.575,269,212.2446523259548
1.525,0.1,1.05,269,212.2446523259548
1.525,0.1,1.525,269,212.2446523259548
1.525,0.1,2.0,269,212.2446523259548
1.525,0.575,0.1,269,212.2446523259548
1.525,0.575,0.575,269,212.2446523259548
1.525,0.575,1.05,269,212.2446523259548
1.525,0.575,1.525,269,212.2446523259548
1.525,0.575,2.0,269,212.2446523259548
1.525,1.05,0.1,269,212.2446523259548
1.525,1.05,0.575,269,212.2446523259548
1.525,1.05,1.05,269,212.2446523259548
1.525,1.05,1.525,269,212.2446523259548
1.525,1.05,2.0,269,212.2446523259548
1.525,1.525,0.1,269,212.2446523259548
1.525,1.525,0.575,269,212.2446523259548
1.525,1.525,1.05,269,212.2446523259548
1.525,1.525,1.525,269,212.2446523259548
1.525,1.525,2.0,269,212.2446523259548
1.525,2.0,0.1,269,212.2446523259548
1.525,2.0,0.575,269,212.2446523259548
1.525,2.0,1.05,269,212.2446523259548
1.525,2.0,1.525,269,212.2446523259548
1.525,2.0,2.0,269,212.2446523259548
2.0,0.1,0.1,269,212.2446523259548
2.0,0.1,0.575,269,212.2446523259548
2.0,0.1,1.05,269,212.2446523259548
2.0,0.1,1.525,269,212.2446523259548
2.0,0.1,2.0,269,212.2446523259548
2.0,0.575,0.1,269,212.2446523259548
2.0,0.575,0.575,269,212.2446523259548
2.0,0.575,1.05,269,212.2446523259548
2.0,0.575,1.525,269,212.2446523259548
2.0,0.575,2.0,269,212.2446523259548
2.0,1.05,0.1,269,212.2446523259548
2.0,1.05,0.575,269,212.2446523259548
2.0,1.05,1.05,269,212.2446523259548
2.0,1.05,1.525,269,212.2446523259548
2.0,1.05,2.0,269,212.2446523259548
2.0,1.525,0.1,269,212.2446523259548
2.0,1.525,0.575,269,212.2446523259548
2.0,1.525,1.05,269,212.2446523259548
2.0,1.525,1.525,269,212.2446523259548
2.0,1.525,2.0,269,212.2446523259548
2.0,2.0,0.1,269,212.2446523259548
2.0,2.0,0.575,269,212.2446523259548
2.0,2.0,1.05,269,212.2446523259548
2.0,2.0,1.525,269,212.2446523259548
2.0,2.0,2.0,269,212.2446523259548
