,Planet Name,Reference,Notes,Planet Period [days],Planet Mass [Mjup],Mass Error Upper (Mjup),Mass Error Lower (Mjup),Planet Radius [Rjup],Radius Error Upper (Rjup),Radius Error Lower (Rjup),Star Temperature [K],Teff Error Upper (K),Teff Error Lower (K),Mass star (Msun),Mass star Error Upper (Msun),Mass star Error Lower (Msun),Star Radius [Rs],Radius star Error Upper (Rsun),Radius star Error Lower (Rsun),eccentricity,eccentricity Error Upper,eccentricity Error Lower,Fe/H,Fe/H Error Upper,Fe/H Error Lower,Star Distance [pc],distance Error Upper (pc),distance Error Lower (pc),inclination,inclination Error Upper,inclination Error Lower,Planet Semi-major Axis [au],Planet Semi-major Axis Error Upper [au],Planet Semi-major Axis Error Lower [au],Transit Duration [hrs],Transit Duration Error Upper [days],Transit Duration Error Lower [days],Eclipse Duration [hrs],Eclipse Duration Error Upper (days),Eclipse Duration Error Lower (days),Kmag,Mean Molecular Weight,Planet Albedo,Planet Geometric Albedo,Heat Redistribution Factor
0,HIP-33609b,[31],bright - also ~150 Myr . BD is large. B star host,39.47,68.0,7.4,7.1,1.58,0.07,0.07,10400.0,800.0,660.0,2.38,0.1,0.1,1.86,0.09,0.08,0.56,0.029,0.031,-0.01,0.19,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.3058,0.0042,0.0041,6.4704,0.0008,0.0008,8.184000000000001,0.031,0.028,7.28,2.3,0.2,0.25,0.8
1,TOI-4603b,[1],tier 2,7.25,12.9,0.58,0.57,1.04,0.04,0.04,6264.0,95.0,94.0,1.77,0.06,0.06,2.74,0.05,0.05,0.325,0.02,0.02,0.34,0.04,0.04,225.643,2.484,2.432,80.21,0.39,0.41,0.0888,0.001,0.001,2.8536,0.0022,0.0022,2.8536,0.0,0.0,7.786,2.3,0.2,0.25,0.8
2,TOI-2119b,[27],,7.2,64.4,2.3,2.2,1.08,0.03,0.03,3621.0,48.0,46.0,0.53,0.02,0.02,0.5,0.02,0.02,0.337,0.002,0.001,0.06,0.08,0.08,20.0,0.0,0.0,88.42,0.1,0.1,0.0611,0.0009,0.0009,0.61416,0.00045,0.00043,0.5808,0.0019,0.002,8.139,2.3,0.2,0.25,0.8
3,TOI-569b,[15],,6.56,64.1,1.9,1.4,0.75,0.02,0.02,5768.0,110.0,92.0,1.21,0.05,0.05,1.48,0.03,0.03,0.002,0.002,0.001,0.29,0.09,0.08,20.0,0.0,0.0,85.37,0.13,0.13,0.07428,0.00059,0.00059,0.5136,0.0015,0.0013,0.5136,0.0,0.0,8.444,2.3,0.2,0.25,0.8
4,TOI-503b,[17],,3.68,53.7,1.2,1.2,1.34,0.26,0.15,7650.0,140.0,160.0,1.8,0.06,0.06,1.7,0.05,0.04,0.0,0.0,0.0,0.3,0.08,0.09,20.0,0.0,0.0,83.35,0.41,0.41,0.05727,0.00063,0.00063,1.8408000000000002,0.0012,0.0011,1.8408000000000002,0.0,0.0,8.895,2.3,0.2,0.25,0.8
5,KELT-1b,[7][8],tier 3,1.22,27.4,0.9,0.9,1.13,0.03,0.03,6516.0,49.0,49.0,1.34,0.06,0.06,1.47,0.05,0.04,0.01,0.01,0.007,0.05,0.08,0.08,268.43,3.057,2.989,86.8,0.8,0.8,1.217514,1.5e-05,1.5e-05,2.76456,0.00066,0.00058,2.7888,0.0026,0.0017,9.437,2.3,0.2,0.25,0.8
6,TOI-1278b,[3],,14.48,18.5,0.5,0.5,1.09,0.24,0.2,3799.0,42.0,42.0,0.55,0.02,0.02,0.57,0.01,0.01,0.013,0.004,0.004,-0.01,0.28,0.28,20.0,0.0,0.0,88.3,0.1,0.1,0.095,0.001,0.001,1.6176,0.0041,0.0041,1.6176,0.0,0.0,9.735,2.3,0.2,0.25,0.8
7,EPIC212036875b,[13][16],,5.17,52.3,1.9,1.9,0.87,0.02,0.02,6238.0,59.0,60.0,1.29,0.07,0.06,1.5,0.03,0.03,0.132,0.004,0.004,0.01,0.1,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.06,0.003,0.003,2.17008,0.00042,0.00042,2.17008,0.0,0.0,9.744,2.3,0.2,0.25,0.8
8,TOI-852b,[18],,4.95,53.7,1.4,1.3,0.83,0.04,0.04,5768.0,84.0,81.0,1.32,0.05,0.04,1.71,0.04,0.04,0.004,0.004,0.003,0.33,0.09,0.09,20.0,0.0,0.0,84.35,0.3,0.3,0.063,0.00077,0.00073,0.384,0.0013,0.0013,0.384,0.0,0.0,9.88,2.3,0.2,0.25,0.8
9,TOI-811b,[18],,25.17,59.9,13.0,8.6,1.26,0.06,0.06,6107.0,77.0,77.0,1.32,0.05,0.07,1.27,0.06,0.09,0.509,0.075,0.075,0.4,0.07,0.09,20.0,0.0,0.0,89.27,0.44,0.44,0.1874,0.0026,0.0035,0.4536,0.0018,0.0014,0.4536,0.0,0.0,10.076,2.3,0.2,0.25,0.8
10,WASP-30b,[24],,4.16,62.5,1.2,1.2,0.96,0.03,0.03,6202.0,42.0,51.0,1.25,0.03,0.04,1.39,0.03,0.03,0.004,0.0,0.0,0.08,0.07,0.05,20.0,0.0,0.0,0.0,0.0,0.0,0.05325,0.00039,0.00039,3.8280000000000003,0.0017,0.0017,3.8280000000000003,0.0,0.0,10.199,2.3,0.2,0.25,0.8
11,TOI-2490b,,eccentric orbit (e=0.8),60.33,73.6,2.4,2.4,1.0,0.02,0.02,5558.0,80.0,80.0,1.0,0.03,0.02,1.11,0.012,0.012,0.78,0.0,0.0,0.32,0.05,0.05,267.75,0.97,0.97,89.2,0.03,0.03,0.3081,0.0051,0.0051,7.924799999999999,0.0023,0.0022,7.924799999999999,0.0,0.0,10.2,2.3,0.2,0.25,0.8
