planet_ID,star_distance,star_mass_kg,star_radius_m,star_temperature,planet_mass_kg,planet_orbital_period,planet_distance,planet_radius_m,planet_surface_gravity
0,100.051,1.5318709643857784e+30,612216000.0,5053.0,4.9946818999999996e+25,3.6462,0.04250109616032122,17517385.34234,10.389140867603114
1,28.2938,1.536643148075454e+30,542646000.0,5071.0,3.0408565953999995e+25,16.201656,0.11499078119565773,13097061.582948,11.315104476319966
2,258.893,1.8889893771631484e+30,688743000.0,5416.0,9.85062e+25,88.40655258,0.3818300226515189,26286536.0,9.09928390117234
3,1010.28,2.0878303642329535e+30,751356000.0,5900.0,1.95494e+28,3.57532,0.04651349210012519,70400376.99999997,251.76411653118967
4,1070.17,2.028178068112012e+30,953109000.0000001,5866.0,5.99768e+25,31.58889961,0.19687729033966792,19644991.000000004,9.919504761164536
5,219.482,2.0520389865603886e+30,1029636000.0,5928.0,3.6781981626e+25,3.647523,0.04686259212244255,14534639.798084,11.113144059554628
6,346.758,3.083029504517328e+30,967022999.9999999,7068.0,2.8544699586e+26,3.9592516,0.056689205817686814,49008013.337804995,7.585804557787684
7,280.347,1.5289546292459514e+30,605259000.0,5042.0,3.4883747223e+26,4.3619499,0.04786496291353965,54964772.612328,7.369951457918493
8,749.892,2.1449971480155226e+30,980937000.0,6046.0,2.975397652058e+27,2.1460405,0.0333938578445288,106212012.489147,16.834805691980876
9,268.254,1.9911936445170284e+30,1203561000.0,5805.6,1.5661502256400002e+27,6.65642,0.06928364412208174,93409215.044074,11.456826603085677
10,152.892,1.789529115430832e+30,723528000.0,5623.0,5.14328436752e+26,10.1802065,0.08875300367493799,69609870.532014,6.774999267247238
11,766.071,2.0411027322715493e+30,1008765000.0,5906.0,2.9747785035800002e+26,3.0071496,0.041129874965526496,50245569.26075199,7.52089387399545
12,36.9941,1.6503801926793823e+30,605259000.0,5212.0,2.5343994000000002e+26,55.087,0.26629602247406853,24259117.0,27.487512940479498
13,453.795,1.252698218539772e+30,424377000.0,4098.0,3.4163999999999996e+25,5.53608151,0.052507466999662314,14122021.999999998,10.934157204457518
