planet_ID,Star Distance [pc],star_mass_kg,Star Radius [Rs],Star Temperature [K],Planet Mass [Mjup],planet_orbital_period,Planet Semi-major Axis [au],Planet Radius [Rjup],planet_surface_gravity,Transit Duration [hrs],Eclipse Duration [hrs],Mean Molecular Weight,Planet Albedo,Planet Geometric Albedo,Heat Redistribution Factor
0,100.051,1.5318709643857784e+30,0.88,5053.0,0.026315500000000002,3.6462,0.0425010961603212,0.25056694,10.389140867603114,2.763372664635321,2.763372664635321,2.3,0.2,0.25,0.8
1,28.2938,1.536643148075454e+30,0.78,5071.0,0.016021373,16.201656,0.1149907811956577,0.187339068,11.315104476319966,3.9992244483580026,3.9992244483580026,2.3,0.2,0.25,0.8
2,258.893,1.8889893771631484e+30,0.99,5416.0,0.0519,88.40655258,0.3818300226515189,0.376,9.09928390117234,8.454335570041772,8.454335570041772,2.3,0.2,0.25,0.8
3,1010.28,2.0878303642329532e+30,1.08,5900.0,10.299999999999999,3.57532,0.0465134921001251,1.0069999999999997,251.76411653118967,3.2331325781558378,3.2331325781558378,2.3,0.2,0.25,0.8
4,1070.17,2.028178068112012e+30,1.37,5866.0,0.0316,31.58889961,0.1968772903396679,0.281,9.919504761164536,7.971694713867036,7.971694713867036,2.3,0.2,0.25,0.8
5,219.482,2.052038986560389e+30,1.48,5928.0,0.019379337,3.647523,0.0468625921224425,0.207902044,11.113144059554628,4.16573742401037,4.16573742401037,2.3,0.2,0.25,0.8
6,346.758,3.083029504517328e+30,1.39,7068.0,0.15039357,3.9592516,0.0566892058176868,0.7010057550000001,7.585804557787684,3.632401963497351,3.632401963497351,2.3,0.2,0.25,0.8
7,280.347,1.5289546292459514e+30,0.87,5042.0,0.18379213500000002,4.3619499,0.0478649629135396,0.786210648,7.369951457918493,3.076813334722008,3.076813334722008,2.3,0.2,0.25,0.8
8,749.892,2.1449971480155223e+30,1.41,6046.0,1.567648921,2.1460405,0.0333938578445288,1.5192460769999998,16.834805691980876,3.5964919290409063,3.5964919290409063,2.3,0.2,0.25,0.8
9,268.254,1.9911936445170284e+30,1.73,5805.6,0.8251581800000001,6.65642,0.0692836441220817,1.336116134,11.456826603085675,6.379838686367085,6.379838686367085,2.3,0.2,0.25,0.8
10,152.892,1.789529115430832e+30,1.04,5623.0,0.270984424,10.1802065,0.0887530036749379,0.9956926739999999,6.774999267247238,4.648476233707636,4.648476233707636,2.3,0.2,0.25,0.8
11,766.071,2.041102732271549e+30,1.45,5906.0,0.156732271,3.0071496,0.0411298749655264,0.7187076319999999,7.52089387399545,3.9737042792276656,3.9737042792276656,2.3,0.2,0.25,0.8
12,36.9941,1.6503801926793823e+30,0.87,5212.0,0.13352999999999998,55.087,0.2662960224740685,0.347,27.487512940479498,6.650289118669713,6.650289118669713,2.3,0.2,0.25,0.8
13,453.795,1.252698218539772e+30,0.61,4098.0,0.018000000000000002,5.53608151,0.0525074669996623,0.20199999999999999,10.934157204457518,2.3621399892405255,2.3621399892405255,2.3,0.2,0.25,0.8
14,247.074,2.1518323069460472e+30,1.02659,6051.5,0.033808382,6.8697281,0.0726097461827041,0.290832688,9.907258613579328,3.551535085834731,3.551535085834731,2.3,0.2,0.25,0.8
15,1236.56,1.9685257719910705e+30,0.99,5761.0,0.0242,25.873148,0.1706411677622895,0.24,10.413780752132109,5.463373293465908,5.463373293465908,2.3,0.2,0.25,0.8
16,1416.44,2.107714462939934e+30,1.08,5903.0,0.09840000000000002,4.19042557,0.0518696451539801,0.5479999999999999,8.121748349849074,3.2634067735053294,3.2634067735053294,2.3,0.2,0.25,0.8
